"","beta","mu","v","",""
"thetaparm",0.35558200860396,0.225638614967465,0.675558436661959,0,0.000734189638059022
"thetaparm",0.441759815672413,0.315519374795258,0.429130545584485,2,0.00028411606908756
"thetaparm",0.412013241788372,0.291925725527108,0.478596260771155,1,0.000946936937634126
"thetaparm",0.452617024770007,0.325160955777392,0.388695970876142,3,0.00127884275111658
"thetaparm",0.385597486281767,0.254736006492749,0.594368682475761,1,0.000922889526488897
"thetaparm",0.285776751115918,0.129059152910486,0.857951034558937,3,0.00123108660307798
"thetaparm",0.438691596034914,0.308494028169662,0.475610634777695,3,0.000147938464262056
"thetaparm",0.454919833689928,0.344207085901871,0.228650705190375,3,0.000644103301437299
"thetaparm",0.475056060822681,0.357652014819905,0.267255503451452,1,0.00112975071878573
"thetaparm",0.421674077631906,0.295013799332082,0.472566185286269,2,0.000976344652349581
"thetaparm",0.427363661350682,0.298100917134434,0.49401812790893,3,0.000277571054084106
"thetaparm",0.404185495804995,0.273318074876443,0.587020120816305,2,0.00118221592953783
"thetaparm",0.483154366491362,0.370181884383783,0.110662284307182,1,0.000865235676597062
"thetaparm",0.341684634331614,0.2127435952425,0.684821582166478,2,0.000304763802376925
"thetaparm",0.340910830534995,0.209914167178795,0.688464333070442,1,0.0010447843554531
"thetaparm",0.475308985915035,0.359847577288747,0.2302580117248,0,0.000792697650567931
"thetaparm",0.428878913866356,0.312738058157265,0.34004297410138,2,0.00112231126053381
"thetaparm",0.498173339525238,0.386322194244713,0.0987381534650922,1,0.000967475878332024
"thetaparm",0.434354770230129,0.322727979626507,0.326336595229805,3,0.00118093300104729
"thetaparm",0.387607354205102,0.267864105990157,0.508135604206473,3,0.000702257156123862
"thetaparm",0.529772443929687,0.417150493944064,0.000652359798550606,1,0.00120601254763831
"thetaparm",0.232266827486455,0.0744877012912184,0.919637046987191,1,0.000385597946460512
"thetaparm",0.298724223393947,0.150040965992957,0.833521208260208,2,0.000373594647119103
"thetaparm",0.481643629027531,0.367731093196198,0.170453701168299,0,0.00032903886419363
"thetaparm",0.494804147863761,0.372980746906251,0.198734672972932,3,0.000964596874612721
"thetaparm",0.480377160012722,0.36858744174242,0.0943974419496953,1,0.00108191303830819
"thetaparm",0.288402792997658,0.135180806042627,0.860723840072751,3,0.00113808226109658
"thetaparm",0.452097815927118,0.323872633744031,0.443050733301789,3,0.000753228000671135
"thetaparm",0.324159051291645,0.17921418719925,0.791796755045652,3,0.000792679521186251
"thetaparm",0.517878985963762,0.400706635788083,0.114831584040076,2,0.00100695751379769
"thetaparm",0.391989628318697,0.275278371293098,0.476785201113671,3,0.000272080750906786
"thetaparm",0.486625214805827,0.365141639718786,0.264331644633785,3,0.000512402386925258
"thetaparm",0.246813076781109,0.0884128103498369,0.909454879816622,1,0.00084842072458291
"thetaparm",0.49196841288358,0.372975858859718,0.16124371625483,2,0.00119233857283198
"thetaparm",0.315333088161424,0.166089866310358,0.811912887729704,3,0.000150762345973405
"thetaparm",0.362371748313308,0.224040941568092,0.683189410483465,3,0.00109575914485345
"thetaparm",0.364382766420022,0.234370884951204,0.65689843101427,0,0.000608925832567567
"thetaparm",0.525341714732349,0.408938479144126,0.0518492227420211,2,0.000376505049698744
"thetaparm",0.399077506968752,0.263759791385382,0.62474229815416,3,0.00111746231868949
"thetaparm",0.36246008775197,0.237940101651475,0.62072098068893,2,0.000134728619569879
"thetaparm",0.343541775597259,0.204418110428378,0.726829791907221,2,0.000593563857998719
"thetaparm",0.246399635681883,0.0906705944798887,0.900449339533225,0,0.000635167190054232
"thetaparm",0.429872431792319,0.308440672466531,0.434362285071984,0,0.000567270578502022
"thetaparm",0.370256259571761,0.245974397985265,0.596885087434202,2,0.000146338946994194
"thetaparm",0.271206867415458,0.130158599698916,0.846981594804674,2,1.31167551049652e-05
"thetaparm",0.489251065533608,0.377291674958542,0.0775062709581107,1,0.000649151353754564
"thetaparm",0.401450947858393,0.272067966638133,0.569875512737781,2,0.000425245833959607
"thetaparm",0.494938573334366,0.384728326462209,0.0384152901824564,1,0.000242495618662991
"thetaparm",0.397839833516628,0.273289554286748,0.529879858251661,0,0.000274363982376517
"thetaparm",0.479124868055806,0.366242846706882,0.118583429139107,1,0.00105269845398953
"thetaparm",0.26540122483857,0.116405913839117,0.874732338357717,0,0.00061547945679967
"thetaparm",0.46365363150835,0.352338057709858,0.196885930839926,2,0.000345793223445062
"thetaparm",0.458035196410492,0.340721167856827,0.315135997720063,0,0.000940402443876668
"thetaparm",0.403378980699927,0.285130575764924,0.446389442542568,2,0.000897334705508887
"thetaparm",0.448636886430904,0.333585565211251,0.267457492416725,1,0.000840855701894769
"thetaparm",0.363372357329354,0.240697396919131,0.59008674765937,3,0.000905331872657199
"thetaparm",0.497551372274756,0.374712945660576,0.207375645404682,3,0.000818682903674723
"thetaparm",0.48297664616257,0.368116304976866,0.156107613816857,0,0.000421174313813541
"thetaparm",0.512525469530374,0.39336696616374,0.0896566796582192,3,0.00116848920399649
"thetaparm",0.478626015363261,0.368251499952748,0.12369470554404,2,0.000262958873251867
"thetaparm",0.478436121717095,0.363609876018018,0.222166454885155,0,0.00116009157713984
"thetaparm",0.437670916784555,0.312150160083547,0.456293444382027,2,0.000754666753714578
"thetaparm",0.243393260519952,0.0961619394365698,0.890640857163817,3,0.000353488807080429
"thetaparm",0.332259899238124,0.195984480436891,0.730790597619489,0,0.000935244790547414
"thetaparm",0.353956123813987,0.214316620957106,0.714304005261511,3,0.000256862270424423
"thetaparm",0.393218306358904,0.261481379624456,0.611332096625119,2,0.000874384747171796
