"","time","S","I","R","C","V6"
"1",0,0.9999,1e-04,0,0,0.231049060186648
"2",1,0.999875482065481,0.000112257582271536,1.22603522476296e-05,2.4517934519166e-05,0.231049060186648
"3",2,0.999847960180383,0.00012601661086606,2.60232087510395e-05,5.20398196170996e-05,0.231049060186648
"4",3,0.999817066323554,0.000141460938058484,4.14727383872835e-05,8.29336764457679e-05,0.231049060186648
"5",4,0.999782442356487,0.000158769457985117,5.87881855283787e-05,0.000117557643513495,0.231049060186648
"6",5,0.999743563929481,0.000178204060704817,7.82320098143005e-05,0.000156436070519118,0.231049060186648
"7",6,0.999699927972558,0.000200015963116101,0.000100056064326059,0.00020007202744216,0.231049060186648
"8",7,0.999650953974645,0.000224495007776731,0.000124551017578203,0.000249046025354934,0.231049060186648
"9",8,0.999595989431642,0.000251966922183961,0.000152043646174202,0.000304010568358163,0.231049060186648
"10",9,0.999534302779857,0.000282796823169773,0.00018290039697337,0.000365697220143143,0.231049060186648
"11",10,0.999465073401709,0.000317394176956048,0.000217532421334741,0.000434926598290789,0.231049060186648
"12",11,0.999387380880154,0.000356218125330975,0.00025640099451507,0.000512619119846045,0.231049060186648
"13",12,0.999300200386516,0.00039977975165848,0.000300019861825783,0.000599799613484263,0.231049060186648
"14",13,0.999202366903355,0.000448659840087031,0.000348973256557812,0.000697633096644844,0.231049060186648
"15",14,0.999092583168561,0.000503504867735154,0.000403911963703984,0.000807416831439138,0.231049060186648
"16",15,0.998969395434425,0.000565038987909926,0.000465565577665791,0.000930604565575717,0.231049060186648
"17",16,0.998831172913313,0.000634074157152389,0.000534752929534453,0.00106882708668684,0.231049060186648
"18",17,0.998676088075735,0.000711519802655141,0.000612392121609979,0.00122391192426512,0.231049060186648
"19",18,0.99850209319976,0.000798394313933126,0.000699512486307545,0.00139790680024067,0.231049060186648
"20",19,0.998306894308392,0.000895837780426889,0.000797267911181475,0.00159310569160836,0.231049060186648
"21",20,0.998087922198981,0.00100512610769503,0.000906951693323867,0.0018120778010189,0.231049060186648
"22",21,0.997842300210912,0.0011276866698296,0.00103001311925842,0.00205769978908802,0.231049060186648
"23",22,0.99756680842616,0.00126511562682951,0.00116807594701056,0.00233319157384007,0.231049060186648
"24",23,0.997257843960365,0.00141919704813786,0.00132295899149756,0.00264215603963541,0.231049060186648
"25",24,0.996911376984839,0.00159192398473401,0.00149669903042698,0.00298862301516099,0.231049060186648
"26",25,0.996522902106497,0.0017855216296789,0.00169157626382411,0.00337709789350301,0.231049060186648
"27",26,0.99608738472362,0.00200247270013846,0.00191014257624184,0.0038126152763803,0.231049060186648
"28",27,0.995599204026543,0.00224554419766325,0.0021552517757942,0.00430079597345745,0.231049060186648
"29",28,0.995052082704735,0.00251782013247593,0.00243009716278973,0.00484791729526566,0.231049060186648
"30",29,0.994439019802093,0.00282273240044337,0.0027382477974643,0.00546098019790767,0.231049060186648
"31",30,0.993752214516304,0.0031640953894001,0.00308369009429626,0.00614778548369636,0.231049060186648
"32",31,0.992982979937136,0.00354614467030845,0.00347087539255612,0.00691702006286457,0.231049060186648
"33",32,0.992121652617947,0.00397357676294839,0.00390477061910468,0.00777834738205307,0.231049060186648
"34",33,0.991157494967084,0.00445159115408562,0.00439091387883014,0.00874250503291576,0.231049060186648
"35",34,0.9900785907947,0.00498593409814403,0.00493547510715663,0.00982140920530066,0.231049060186648
"36",35,0.98887173470845,0.00558294348167391,0.00554532180987652,0.0110282652915504,0.231049060186648
"37",36,0.987522316001211,0.00624959397649163,0.00622809002229813,0.0123776839987898,0.231049060186648
"38",37,0.986014198196796,0.00699354135461344,0.00699226044859082,0.0138858018032043,0.231049060186648
"39",38,0.984329595910472,0.00782316448795004,0.00784723960157786,0.0155704040895279,0.231049060186648
"40",39,0.982448951301122,0.00874760312695302,0.00880344557192566,0.0174510486988787,0.231049060186648
"41",40,0.980350813158739,0.00977678903728572,0.00987239780397538,0.0195491868412611,0.231049060186648
"42",41,0.978011722581179,0.0109214674760396,0.0110668099427822,0.0218882774188218,0.231049060186648
"210",42,0.975431261243359,0.0121685457993659,0.0124001929572756,0.0244687387566415,0.226923184111887
"310",43,0.972622467948738,0.0134952441815923,0.0138822878696702,0.0272775320512625,0.222797308037125
"44",44,0.96958130956264,0.0148971611514501,0.0155215292859106,0.0303186904373607,0.218671431962364
"51",45,0.966305489577309,0.0163677717543046,0.0173267386683865,0.0335945104226911,0.214545555887602
"61",46,0.962795587616469,0.0178989338949466,0.0193054784885843,0.0371044123835309,0.210419679812841
"71",47,0.959054984943225,0.0194808807392286,0.0214641343175465,0.0408450150567751,0.206293803738079
"81",48,0.955089794727077,0.0211022190742231,0.0238079861986996,0.0448102052729228,0.202167927663317
"91",49,0.95090931621207,0.0227498764434512,0.0263408073444792,0.0489906837879304,0.198042051588556
"101",50,0.946525789273627,0.0244094193941695,0.0290647913322037,0.0533742107263731,0.193916175513794
"111",51,0.941954268474863,0.0260652965707296,0.0319804349544071,0.0579457315251366,0.189790299439033
"121",52,0.937212578939014,0.0277010474901829,0.0350863735708031,0.062687421060986,0.185664423364271
"131",53,0.932321083600929,0.0292996156190713,0.0383793007799994,0.0675789163990706,0.18153854728951
"141",54,0.927302389065172,0.0308436889557087,0.0418539219791193,0.072597610934828,0.177412671214748
"151",55,0.922180998558546,0.0323160565778084,0.0455029448636459,0.0777190014414543,0.173286795139986
"161",56,0.916982915104743,0.0336999727273931,0.0493171121678634,0.0829170848952565,0.169160919065225
"171",57,0.9117352085253,0.0349795152465684,0.0532852762281311,0.0881647914746995,0.165035042990463
"181",58,0.906465570510289,0.0361399186662717,0.0573945108234397,0.0934344294897114,0.160909166915702
"191",59,0.901201829463968,0.0371679009350991,0.0616302696009327,0.0986981705360318,0.15678329084094
"201",60,0.895971499127672,0.0380519279839714,0.0659765728883559,0.103928500872327,0.152657414766178
"211",61,0.890801360424353,0.0387824223831623,0.0704162171924843,0.109098639575647,0.148531538691417
"221",62,0.885717049587902,0.0393519365440115,0.0749310138680864,0.114182950412098,0.144405662616655
"231",63,0.880742693544218,0.0397552634040429,0.079502043051739,0.119157306455782,0.140279786541894
"241",64,0.875900599014392,0.0399894855650604,0.0841099154205472,0.123999400985608,0.136153910467132
"251",65,0.871210994837545,0.040053968359565,0.0887350368028901,0.128689005162455,0.132028034392371
"261",66,0.866691831352043,0.0399502997309221,0.0933578689170343,0.133208168647956,0.127902158317609
"271",67,0.862358637551714,0.039682182126798,0.0979591803214881,0.137541362448286,0.123776282242847
"281",68,0.858224434584479,0.0392552829955624,0.102520282419959,0.141675565415521,0.119650406168086
"291",69,0.854299702558817,0.0386770512845479,0.107023246156635,0.145600297441183,0.115524530093324
"301",70,0.850592396357247,0.0379565077199566,0.111451095922796,0.149307603642753,0.111398654018563
"311",71,0.847108005252443,0.0371040166506168,0.11578797809694,0.152791994747557,0.107272777943801
"321",72,0.843849650554524,0.0361310469212313,0.120019302524245,0.156050349445476,0.103146901869039
"331",73,0.840818215250588,0.0350499286763883,0.124131856073024,0.159081784749412,0.0990210257942779
"341",74,0.83801249958128,0.033873612256973,0.128113888161746,0.16188750041872,0.0948951497195163
"351",75,0.835429396682134,0.0326154345040661,0.1319551688138,0.164470603317866,0.0907692736447548
"361",76,0.83306408274814,0.0312888968920701,0.13564702035979,0.16683591725186,0.0866433975699932
"371",77,0.830910216611609,0.0299074590220791,0.139182324366312,0.168989783388391,0.0825175214952316
"381",78,0.828960144115399,0.0284843501562068,0.142555505728394,0.1709398558846,0.07839164542047
"391",79,0.827205103183443,0.0270324006900532,0.145762496126504,0.172694896816557,0.0742657693457084
"401",80,0.825635426013363,0.0255638947597587,0.148800679226878,0.174264573986637,0.0701398932709469
"411",81,0.824240735324526,0.0240904445694866,0.151668820105987,0.175659264675473,0.0660140171961853
"421",82,0.823010132078054,0.0226228865051913,0.154366981416755,0.176889867921946,0.0618881411214237
"43",83,0.821929618700721,0.0211738433579984,0.156896537941281,0.177970381299279,0.0577622650466621
"212",84,0.82092360016179,0.0198133183665012,0.159263081471708,0.178976399838209,0.0618881411214237
"312",85,0.819916805585329,0.0186022067045928,0.161480987710078,0.179983194414671,0.0660140171961853
"45",86,0.818910031438505,0.0175239004941189,0.163566068067375,0.180989968561494,0.0701398932709469
"52",87,0.817903722534263,0.0165624270689249,0.165533850396812,0.181996277465737,0.0742657693457084
"62",88,0.81689783903846,0.0157054661564714,0.167396694805068,0.183002160961539,0.07839164542047
"72",89,0.81589203097377,0.014941886517902,0.169166082508328,0.18400796902623,0.0825175214952316
"82",90,0.814885644149995,0.0142621176143919,0.170852238235613,0.185014355850005,0.0866433975699932
"92",91,0.813877765053785,0.0136579510581004,0.172464283888114,0.186022234946214,0.0907692736447548
"102",92,0.81286727987048,0.0131221797359973,0.174010540393523,0.18703272012952,0.0948951497195163
"112",93,0.811852887252077,0.0126485644169749,0.175498548330948,0.188047112747923,0.0990210257942779
"122",94,0.810833112435105,0.0122317183863763,0.176935169178518,0.189066887564895,0.103146901869039
"132",95,0.809806318089925,0.0118669987183137,0.178326683191761,0.190093681910074,0.107272777943801
"142",96,0.808770713051994,0.0115504084434199,0.179678878504586,0.191129286948006,0.111398654018563
"152",97,0.807724353987068,0.0112785320597095,0.180997113953222,0.192175646012932,0.115524530093324
"162",98,0.806665143511991,0.0110484743102294,0.182286382177779,0.193234856488008,0.119650406168086
"172",99,0.805590825605777,0.0108578048244265,0.183551369569796,0.194309174394223,0.123776282242847
"182",100,0.8044989776629,0.0107045157732207,0.184796506563879,0.195401022337099,0.127902158317609
"192",101,0.803386999298714,0.0105869863837721,0.186026014317514,0.196513000701286,0.132028034392371
"202",102,0.802252098244018,0.0105039540646762,0.187243947691305,0.197647901755981,0.136153910467132
"213",103,0.801091273255073,0.0104544915013995,0.188454235243526,0.198808726744926,0.140279786541894
"222",104,0.799901293961691,0.0104379891344653,0.189660716903844,0.199998706038309,0.144405662616655
"232",105,0.798678677540013,0.0104541425519704,0.190867179908016,0.201221322459987,0.148531538691417
"242",106,0.797419662028791,0.0105029444292013,0.192077393542007,0.202480337971209,0.152657414766178
"252",107,0.796120176057886,0.0105846807382603,0.193295143203853,0.203779823942113,0.15678329084094
"262",108,0.794775804706979,0.0106999310286436,0.194524264264377,0.205124195293021,0.160909166915702
"272",109,0.793381751163436,0.0108495726477015,0.195768676188862,0.206518248836563,0.165035042990463
"282",110,0.791932793801017,0.0110347888288506,0.197032417370132,0.207967206198983,0.169160919065225
"292",111,0.79042323825609,0.0112570806257379,0.198319681118172,0.20947676174391,0.173286795139986
"302",112,0.788846864036444,0.0115182827121941,0.199634853251361,0.211053135963555,0.177412671214748
"313",113,0.787196865161312,0.0118205831000158,0.200982551738671,0.212703134838687,0.18153854728951
"322",114,0.785465784302553,0.0121665468479358,0.202367668849511,0.214434215697447,0.185664423364271
"332",115,0.783645439879717,0.0125591438432769,0.203795416277006,0.216254560120283,0.189790299439033
"342",116,0.78172684556101,0.013001780729391,0.205271373709598,0.218173154438989,0.193916175513794
"352",117,0.779700121644681,0.013498337022493,0.206801541332826,0.220199878355319,0.198042051588556
"362",118,0.777554397849992,0.0140532054048115,0.208392396745195,0.222345602150007,0.202167927663317
"372",119,0.775277707145179,0.0146713360891767,0.210050956765643,0.22462229285482,0.206293803738079
"382",120,0.772856870396289,0.015358285013186,0.211784844590524,0.22704312960371,0.210419679812841
"392",121,0.770277371854208,0.0161202654262809,0.213602362719511,0.229622628145792,0.214545555887602
"402",122,0.767523225830431,0.0169642021649268,0.215512572004642,0.232376774169569,0.218671431962364
"412",123,0.764576835373621,0.0178977875508705,0.217525377075508,0.235323164626379,0.222797308037125
"422",124,0.761418844382569,0.0189295373730862,0.219651618244344,0.23848115561743,0.226923184111887
"431",125,0.758028394122405,0.0200684516354697,0.221903154242125,0.241871605877595,0.231049060186648
"214",126,0.754415374427106,0.0212924719152541,0.224292153657639,0.245484625572893,0.231049060186648
"314",127,0.75060297575207,0.022571769735031,0.226825254512898,0.249297024247929,0.231049060186648
"410",128,0.746583488381062,0.0239062398302301,0.229510271788707,0.253316511618937,0.231049060186648
"510",129,0.742352945293826,0.0252955206813335,0.23235153402484,0.257547054706174,0.231049060186648
