"","beta","mu","v","",""
"thetaparm",0.390070229070261,0.271800060523674,0.485311852768064,3,0.000867748019246623
"thetaparm",0.408894004067406,0.275765252066776,0.574449715437368,3,0.000134224610310141
"thetaparm",0.518611726118252,0.403896927833557,0.00983612611889839,1,0.000644604044705194
"thetaparm",0.219585391925648,0.0513292166870087,0.93847796600312,0,0.000571948321040468
"thetaparm",0.481461662333459,0.371070759836584,0.13978657964617,2,0.00102867140409451
"thetaparm",0.413574633654207,0.290647414978594,0.473453444195911,0,0.000356841698489836
"thetaparm",0.390491024358198,0.254075091332197,0.614494345150888,3,0.00122517415049482
"thetaparm",0.412013291381299,0.288592605153099,0.472194666508585,0,0.000853798901127995
"thetaparm",0.325022959616035,0.188278912333772,0.74519624421373,0,0.000966725158920413
"thetaparm",0.447839461732656,0.329877166543156,0.358361198101193,0,0.00110277031822065
"thetaparm",0.316402635071427,0.187057468341663,0.740436151158065,3,0.000193102691883929
"thetaparm",0.509971711086109,0.395698488457128,0.105643539689481,1,0.0012463466886236
"thetaparm",0.45365344081074,0.332755767740309,0.320570448646322,1,0.000999021134253486
"thetaparm",0.473649898776785,0.364949846407399,0.0649340469390154,3,0.00116702688314557
"thetaparm",0.492771998280659,0.376817934913561,0.147173606790602,1,0.00011673269171333
"thetaparm",0.349057168001309,0.217510288348421,0.701389831257984,0,0.00112647546117288
"thetaparm",0.321749314665794,0.174914500908926,0.785201302263886,3,0.00120546196201363
"thetaparm",0.506608292227611,0.388444241136312,0.172262821346521,2,0.0010952582700721
"thetaparm",0.475028575863689,0.358923630323261,0.222546768607572,0,0.000218342676794565
"thetaparm",0.481851790100336,0.370490455068648,0.152132325107232,1,0.000985964537629263
"thetaparm",0.483050813199952,0.362303339876235,0.232207203982398,2,0.000675211640144727
"thetaparm",0.428321215556934,0.305305637884885,0.414023942081258,1,0.00125302823855984
"thetaparm",0.395857802359387,0.270892237080261,0.534092750633135,0,0.00050347493737922
"thetaparm",0.419841181254014,0.303982190787792,0.388148296624422,2,0.000165954901376716
"thetaparm",0.451112436596304,0.33544978313148,0.31546057597734,1,0.000895615046936835
"thetaparm",0.421289755497128,0.308194651501253,0.352224544622004,3,0.000136612694692378
"thetaparm",0.471544855739921,0.359819019213319,0.166762832552195,2,0.000112965203990598
"thetaparm",0.445507610216737,0.328207776648924,0.338515577139333,1,0.000363859167031907
"thetaparm",0.455813163192943,0.330613235943019,0.390510158380494,3,0.000190070025072524
"thetaparm",0.469940943876281,0.355997846927494,0.175903828814626,1,0.000859727414720395
"thetaparm",0.486279050121084,0.368124997708946,0.218038018560037,1,0.000392256516374548
"thetaparm",0.456341030541807,0.343724378151819,0.269462666008621,2,0.00126557279645757
"thetaparm",0.445371409645304,0.330415398813784,0.294582748552784,2,0.000208685976068393
"thetaparm",0.23230839939788,0.06092658941634,0.934325120411813,2,0.000276115409946851
"thetaparm",0.428065292770043,0.314448953373358,0.361720696091652,3,0.000829390393660329
"thetaparm",0.453567143063992,0.343318726867437,0.238874718779698,3,0.00103877550113411
"thetaparm",0.317062246846035,0.187093122163787,0.735982804559171,3,0.000392407000564851
"thetaparm",0.450116695137694,0.327957632020116,0.360738083254546,1,0.000397154187908904
"thetaparm",0.282751733902842,0.126676599029452,0.869368902174756,3,0.000541165512053993
"thetaparm",0.486788341775537,0.379094920121133,0.0564855970442295,3,0.000584465364117798
"thetaparm",0.525541137671098,0.407796730054542,0.0961819463409483,3,0.00100215685926558
"thetaparm",0.445972587447613,0.32505571609363,0.395502805709839,1,0.00107324122071732
"thetaparm",0.216889992589131,0.00767444563098252,0.969747107708827,2,6.31078322785132e-05
"thetaparm",0.449693680508062,0.330114846350625,0.325271857669577,0,0.000683561602266122
"thetaparm",0.521974214818329,0.404324778122827,0.0429297788068652,3,0.000768815926812251
"thetaparm",0.41189432144165,0.287791037932038,0.500194996595383,0,0.000247334375066154
"thetaparm",0.387895012041554,0.269130617612973,0.499675567727536,3,0.000666870053911105
"thetaparm",0.465307366568595,0.35626401915215,0.161788332043216,3,0.000537944736270408
"thetaparm",0.516272500390187,0.399166475748643,0.119949756190181,2,0.00101773412098327
"thetaparm",0.322492919396609,0.174661593046039,0.794127022847533,3,0.000339857770206758
"thetaparm",0.366657114820555,0.231181244365871,0.676978982519358,2,0.00022686756076749
"thetaparm",0.449155029840767,0.327885613776743,0.342841452453285,1,0.000842063851247368
"thetaparm",0.340230117784813,0.209471018752083,0.708489467157051,1,0.000661771487876554
"thetaparm",0.513470766600221,0.392974379006773,0.158646077848971,3,0.000373239301897317
"thetaparm",0.500391166424379,0.392649139976129,0.00609452370554209,2,0.000687460038376483
"thetaparm",0.356275700032711,0.21691142115742,0.70760025922209,3,0.000380757131987729
"thetaparm",0.348675805376843,0.223538763355464,0.655351362191141,3,0.000190399503742507
"thetaparm",0.277351486030966,0.120512066641822,0.868974850513041,3,0.000980422075408906
"thetaparm",0.500546972034499,0.390696630813181,0.0330187238287181,1,0.000385111853044198
"thetaparm",0.326098040211946,0.185167146846652,0.771615481702611,1,0.000356456207660578
"thetaparm",0.264712428208441,0.122402118286118,0.863321425393224,2,0.000928281991264299
"thetaparm",0.438982723047957,0.316433557774872,0.378879079595208,1,0.00121685768300427
"thetaparm",0.214467094279826,0.0520385401323438,0.935030178399757,2,0.00121087144654417
"thetaparm",0.427623657044023,0.309803474228829,0.398061212850735,1,0.000331404076636423
"thetaparm",0.472305671311915,0.36098625510931,0.152704546693712,2,3.83355928852136e-05
"thetaparm",0.407454564468935,0.27722479426302,0.550122166750953,2,0.000280306247554891
"thetaparm",0.491935744183138,0.3834754799027,0.00598645699210465,2,0.000574470594700265
"thetaparm",0.327680275309831,0.192497874144465,0.746970910811797,0,0.00033983146296376
"thetaparm",0.52109616715461,0.405797311803326,0.0313353165984154,2,8.73814755738972e-05
"thetaparm",0.482020145747811,0.362066333414987,0.269133872585371,2,0.000826424296670514
"thetaparm",0.493109934031963,0.372052316088229,0.217945480486378,3,0.000159280814630892
"thetaparm",0.502880180021748,0.394952824339271,0.00369857018813491,2,0.000794965922610132
"thetaparm",0.269004219677299,0.127497609937564,0.851504535414279,2,9.0808412823138e-05
"thetaparm",0.408267073333263,0.275028772652149,0.58748538326472,3,0.00079140775108533
"thetaparm",0.359566095750779,0.233717116527259,0.617559234146029,2,0.00112338280411042
"thetaparm",0.413105425192043,0.296531597850844,0.406029458390549,2,0.000618120383341469
"thetaparm",0.458125305827707,0.33448533853516,0.339897877536714,2,0.000936809757959702
