"","beta","mu","v","",""
"thetaparm",0.462872885866091,0.34960726625286,0.24658226640895,1,0.000959049826634611
"thetaparm",0.50102261104621,0.38498128997162,0.144128706306219,1,0.000631014611376643
"thetaparm",0.449996206443757,0.338374729035422,0.224223874742165,3,0.000518339474836267
"thetaparm",0.520837507909164,0.405335151823238,0.0769519421737641,2,0.00100665029735351
"thetaparm",0.326862514484674,0.192774153780192,0.735322507563978,1,0.000500530430481882
"thetaparm",0.477214070502669,0.361039070412517,0.220177971757948,0,0.000355776006274205
"thetaparm",0.330356611870229,0.194243524689227,0.744037923868746,0,0.000113445679375754
"thetaparm",0.494228343013674,0.372030535014346,0.261379952542484,3,0.000898380663242739
"thetaparm",0.50304671539925,0.38845030637458,0.0656808384228498,1,0.000730319691329143
"thetaparm",0.496142834890634,0.383872755337507,0.10352420900017,0,0.000696944602880101
"thetaparm",0.371385249309242,0.25046892510727,0.593013796955347,3,0.00124699315097028
"thetaparm",0.433935075532645,0.313561495393515,0.418742588954046,0,0.000843050013601812
"thetaparm",0.506399086443707,0.385209182277322,0.173454018309712,3,0.000220821306303652
"thetaparm",0.382497256388888,0.246405330719426,0.656900776317343,3,0.000761826981035312
"thetaparm",0.384937877068296,0.255303534446284,0.584859262919053,1,0.00110949472256123
"thetaparm",0.479936615563929,0.364485527854413,0.154207780491561,0,0.00111210192152991
"thetaparm",0.504875980317593,0.387674897210672,0.147144236369058,2,0.00060484060655748
"thetaparm",0.517490034690127,0.402171424590051,0.0338073975872248,2,0.000396623192362479
"thetaparm",0.463844579644501,0.338394688442349,0.36423619883135,3,7.2012101116261e-05
"thetaparm",0.337985795922577,0.194353914121166,0.758263010531664,3,0.000164301971221633
"thetaparm",0.318224875954911,0.185155875282362,0.741534373024479,2,0.000973900060099616
"thetaparm",0.517848465126008,0.403378154383972,0.0667183883488178,1,0.000896318769225777
"thetaparm",0.463739714352414,0.35014107846655,0.248071475187317,1,0.000944248537741492
"thetaparm",0.435528102330863,0.308265917235985,0.453051386168227,2,0.000391752546233071
"thetaparm",0.356845021015033,0.225710650440305,0.676121386000887,0,0.000457066371985605
"thetaparm",0.402004292234778,0.279884318821132,0.511142163770273,1,0.000362534865193907
"thetaparm",0.473078671609983,0.362844385206699,0.124318560119718,2,0.000271031744426393
"thetaparm",0.43063872307539,0.317672318546101,0.30545783508569,3,0.000701571323670869
"thetaparm",0.495135938515887,0.379736193688586,0.114241533912718,1,0.00057796524978275
"thetaparm",0.229147815378383,0.0519105177372694,0.942559069953859,3,0.000557392325712995
"thetaparm",0.527828817255795,0.409396641887724,0.0985901912208647,3,0.000984103316427308
"thetaparm",0.368876420427114,0.242391313193366,0.634177980711684,1,0.00114008716401455
"thetaparm",0.26294081332162,0.117749138968065,0.872194099472836,1,0.00107994612985193
"thetaparm",0.323393532074988,0.18844276946038,0.7383282862138,1,0.00118574868542996
"thetaparm",0.388601227197796,0.262940829154104,0.547985152108595,0,0.00105573243515155
"thetaparm",0.497359869303182,0.387420428451151,0.0344665464945138,1,4.59517190039178e-05
"thetaparm",0.368159147212282,0.2464011288248,0.571291430620477,3,0.000928375843074706
"thetaparm",0.451917938422412,0.335844439454377,0.312674460466951,1,0.000704050346025917
"thetaparm",0.513512507546693,0.399091001832858,0.031129572307691,1,0.000481662964897447
"thetaparm",0.496896765660495,0.382170975441113,0.134216282749549,0,0.000521203141807678
"thetaparm",0.339503646129742,0.213358890265226,0.682613376760855,3,0.000371664018567374
