"","time","S","I","R","C","V6"
"1",0,0.9999,1e-04,0,0,0.231049060186648
"2",1,0.999875482065481,0.000112257582271536,1.22603522476296e-05,2.4517934519166e-05,0.231049060186648
"3",2,0.999847960180383,0.00012601661086606,2.60232087510395e-05,5.20398196170996e-05,0.231049060186648
"4",3,0.999817066323554,0.000141460938058484,4.14727383872835e-05,8.29336764457679e-05,0.231049060186648
"5",4,0.999782442356487,0.000158769457985117,5.87881855283787e-05,0.000117557643513495,0.231049060186648
"6",5,0.999743563929481,0.000178204060704817,7.82320098143005e-05,0.000156436070519118,0.231049060186648
"7",6,0.999699927972558,0.000200015963116101,0.000100056064326059,0.00020007202744216,0.231049060186648
"8",7,0.999650953974645,0.000224495007776731,0.000124551017578203,0.000249046025354934,0.231049060186648
"9",8,0.999595989431642,0.000251966922183961,0.000152043646174202,0.000304010568358163,0.231049060186648
"10",9,0.999534302779857,0.000282796823169773,0.00018290039697337,0.000365697220143143,0.231049060186648
"11",10,0.999465073401709,0.000317394176956048,0.000217532421334741,0.000434926598290789,0.231049060186648
"12",11,0.999387380880154,0.000356218125330975,0.00025640099451507,0.000512619119846045,0.231049060186648
"13",12,0.999300200386516,0.00039977975165848,0.000300019861825783,0.000599799613484263,0.231049060186648
"14",13,0.999202366903355,0.000448659840087031,0.000348973256557812,0.000697633096644844,0.231049060186648
"15",14,0.999092583168561,0.000503504867735154,0.000403911963703984,0.000807416831439138,0.231049060186648
"16",15,0.998969395434425,0.000565038987909926,0.000465565577665791,0.000930604565575717,0.231049060186648
"17",16,0.998831172913313,0.000634074157152389,0.000534752929534453,0.00106882708668684,0.231049060186648
"18",17,0.998676088075735,0.000711519802655141,0.000612392121609979,0.00122391192426512,0.231049060186648
"19",18,0.99850209319976,0.000798394313933126,0.000699512486307545,0.00139790680024067,0.231049060186648
"20",19,0.998306894308392,0.000895837780426889,0.000797267911181475,0.00159310569160836,0.231049060186648
"21",20,0.998087922198981,0.00100512610769503,0.000906951693323867,0.0018120778010189,0.231049060186648
"22",21,0.997842300210912,0.0011276866698296,0.00103001311925842,0.00205769978908802,0.231049060186648
"23",22,0.99756680842616,0.00126511562682951,0.00116807594701056,0.00233319157384007,0.231049060186648
"24",23,0.997257843960365,0.00141919704813786,0.00132295899149756,0.00264215603963541,0.231049060186648
"25",24,0.996911376984839,0.00159192398473401,0.00149669903042698,0.00298862301516099,0.231049060186648
"26",25,0.996522902106497,0.0017855216296789,0.00169157626382411,0.00337709789350301,0.231049060186648
"27",26,0.99608738472362,0.00200247270013846,0.00191014257624184,0.0038126152763803,0.231049060186648
"28",27,0.995599204026543,0.00224554419766325,0.0021552517757942,0.00430079597345745,0.231049060186648
"210",28,0.995054374915837,0.00251538013245152,0.00243024495171177,0.00484562508416328,0.228986122149268
"310",29,0.994451350579773,0.00281121752556965,0.00273743189465817,0.00544864942022782,0.226923184111887
"410",30,0.993783063903192,0.00313551353946851,0.00308142255733971,0.00611693609680822,0.224860246074506
"510",31,0.993047394872051,0.00348895745147084,0.00346364767647854,0.00685260512794938,0.222797308037125
"610",32,0.992237656359308,0.00387371276482596,0.00388863087586617,0.00766234364069213,0.220734369999745
"710",33,0.991348750377648,0.00429129722540188,0.00435995239695031,0.00855124962235218,0.218671431962364
"86",34,0.990375305526305,0.00474322467365838,0.00488146980003728,0.00952469447369565,0.216608493924983
"91",35,0.989311862395676,0.00523089451417714,0.00545724309014706,0.0105881376043242,0.214545555887602
"101",36,0.988152947871083,0.00575556947798782,0.00609148265092971,0.0117470521289175,0.212482617850221
"111",37,0.986893121691562,0.00631835087417561,0.00678852743426333,0.0130068783084389,0.210419679812841
"121",38,0.985527023718564,0.00692014330283203,0.0075528329786043,0.0143729762814363,0.20835674177546
"131",39,0.984049432094155,0.00756162068418985,0.00838894722165552,0.0158505679058454,0.206293803738079
"141",40,0.982455324789259,0.00824319403421771,0.00930148117652364,0.0174446752107413,0.204230865700698
"151",41,0.980739944976951,0.00896497845224146,0.0102950765708081,0.0191600550230496,0.202167927663317
"161",42,0.978898869201256,0.0097267610181814,0.0113743697805628,0.0210011307987442,0.200104989625937
"171",43,0.976928077015851,0.0105279704995091,0.0125439524846406,0.0229719229841498,0.198042051588556
"181",44,0.974824024706799,0.0113676482993517,0.0138083269938497,0.0250759752932014,0.195979113551175
"191",45,0.972583708794121,0.0122444263210494,0.0151718648848303,0.0273162912058798,0.193916175513794
"201",46,0.970204747256356,0.0131565020028789,0.0166387507407655,0.0296952527436444,0.191853237476413
"211",47,0.967685438779369,0.0141016252373796,0.0182129359832515,0.0322145612206311,0.189790299439033
"221",48,0.965024824452874,0.0150770886277541,0.0198980869193722,0.0348751755471263,0.187727361401652
"231",49,0.962222747218466,0.0160797231463746,0.0216975296351596,0.0376772527815341,0.185664423364271
"241",50,0.959279899127812,0.0171059018099617,0.0236141990622268,0.0406201008721884,0.18360148532689
"251",51,0.956197865391962,0.0181515520007711,0.0256505826072671,0.0437021346080382,0.18153854728951
"261",52,0.952979152235578,0.0192121741034279,0.0278086736609944,0.0469208477644223,0.179475609252129
"271",53,0.949627206902114,0.0202828696725973,0.0300899234252896,0.0502727930978868,0.177412671214748
"281",54,0.946146426929247,0.02135837790541,0.0324951951653439,0.0537535730707538,0.175349733177367
"29",55,0.942542154674101,0.0224331198627909,0.0350247254631084,0.0573578453258992,0.173286795139986
"30",56,0.938820659160818,0.0235012503612752,0.0376780904779075,0.0610793408391827,0.171223857102606
"31",57,0.934989104694174,0.0245567167796743,0.0404541785261523,0.0649108953058265,0.169160919065225
"32",58,0.93105550635619,0.0255933238384449,0.043351169805365,0.06884449364381,0.167097981027844
"33",59,0.927028672878677,0.0266048032271211,0.046366523894202,0.0728713271213231,0.165035042990463
"34",60,0.922918137706118,0.0275848867794579,0.0494969755144246,0.0769818622938824,0.162972104953082
"35",61,0.918734079357322,0.0285273817598668,0.0527385388828119,0.0811659206426787,0.160909166915702
"36",62,0.914487232458259,0.0294262467324171,0.0560865208093239,0.085412767541741,0.158846228878321
"37",63,0.910188791041689,0.0302756664401301,0.0595355425181815,0.0897112089583116,0.15678329084094
"38",64,0.905850305883151,0.0310701241300117,0.0630795699868382,0.0940496941168499,0.154720352803559
"39",65,0.901483577761752,0.031804469818264,0.0667119524199848,0.0984164222382488,0.152657414766178
"40",66,0.897100548594488,0.0324739830979425,0.0704254683075705,0.102799451405513,0.150594476728798
"41",67,0.892713192394082,0.0330744292432,0.0742123783627187,0.107186807605919,0.148531538691417
"42",68,0.888333407944502,0.033602107553407,0.0780644845020916,0.111566592055499,0.146468600654036
"43",69,0.88397291567025,0.0340538909105887,0.0819731934191614,0.11592708432975,0.144405662616655
"44",70,0.879643155502491,0.0344272572637952,0.0859295872337139,0.120256844497509,0.142342724579275
"45",71,0.875355204611567,0.0347203081529915,0.0899244872354419,0.124544795388433,0.140279786541894
"46",72,0.871119677695251,0.0349317838206564,0.0939485384840935,0.12878032230475,0.138216848504513
"47",73,0.866946661457512,0.0350610624393393,0.0979922761031492,0.132953338542488,0.136153910467132
"48",74,0.862845649242681,0.0351081525901167,0.102046198167203,0.13705435075732,0.134090972429751
"49",75,0.858825481868987,0.035073678110111,0.106100840020903,0.141074518131014,0.132028034392371
"50",76,0.854894302442144,0.0349588539785894,0.110146843579267,0.145005697557856,0.12996509635499
"51",77,0.851059520915081,0.0347654552860731,0.114175023798847,0.14884047908492,0.127902158317609
"52",78,0.847327788604999,0.0344957801005297,0.118176431294472,0.152572211395002,0.125839220280228
"53",79,0.843704982423758,0.0341526072155939,0.122142410360649,0.156195017576243,0.123776282242847
"54",80,0.84019619831593,0.0337391498192565,0.126064651864814,0.159703801684071,0.121713344205467
"55",81,0.836805753272443,0.0332590061244892,0.129935240603069,0.163094246727558,0.119650406168086
"56",82,0.833537195198104,0.0327161079757998,0.133746696826097,0.166362804801897,0.117587468130705
"57",83,0.830393319846434,0.0321146683958819,0.137492011757684,0.169506680153566,0.115524530093324
"58",84,0.827376193996337,0.0314591289678135,0.14116467703585,0.172523806003664,0.113461592055943
"59",85,0.824487184029288,0.0307541078653185,0.144758708105394,0.175412815970712,0.111398654018563
"60",86,0.821726989069994,0.030004349250795,0.148268661679211,0.178173010930006,0.109335715981182
"61",87,0.819095677874523,0.0292146746622368,0.151689647463241,0.180804322125478,0.107272777943801
"62",88,0.816592728684676,0.0283899369094906,0.155017334405834,0.183307271315325,0.10520983990642
"63",89,0.814217071312651,0.0275349769006656,0.158247951786684,0.185682928687349,0.103146901869039
"64",90,0.81196713077295,0.0266545837235583,0.161378285503492,0.187932869227051,0.101083963831659
"65",91,0.809840871836482,0.0257534582167298,0.164405669946789,0.190059128163519,0.0990210257942779
"66",92,0.807835843942556,0.0248361801818854,0.167327975875559,0.192064156057444,0.0969580877568971
"67",93,0.805949225966049,0.0239071793144824,0.17014359471947,0.193950774033952,0.0948951497195163
"68",94,0.804177870397953,0.0229707098635883,0.172851419738459,0.195722129602047,0.0928322116821355
"69",95,0.802518346556501,0.0220308289751322,0.175450824468367,0.197381653443499,0.0907692736447548
"70",96,0.800966982502178,0.0210913786246962,0.177941638873126,0.198933017497822,0.088706335607374
"71",97,0.799519905382643,0.0201559710065224,0.180324123610836,0.200380094617358,0.0866433975699932
"72",98,0.79817307998236,0.0192279772139038,0.182598942803737,0.201726920017641,0.0845804595326124
"73",99,0.796922345296492,0.0183105190219006,0.184767135681608,0.202977654703509,0.0825175214952316
"74",100,0.7957634489892,0.0174064635656282,0.186830087445172,0.204136551010801,0.0804545834578508
"75",101,0.794692079633107,0.016518420695409,0.188789499671485,0.205207920366894,0.07839164542047
"76",102,0.79370389665937,0.0156487427830807,0.19064736055755,0.206196103340631,0.0763287073830892
"77",103,0.792794557976897,0.0147995267509557,0.192405915272148,0.207105442023104,0.0742657693457084
"78",104,0.791959745244916,0.0139726180956234,0.194067636659462,0.207940254755085,0.0722028313083277
"79",105,0.791195186805707,0.0131696166823341,0.195635196511959,0.208704813194294,0.0701398932709469
"80",106,0.790496678304082,0.0123918840915263,0.197111437604392,0.209403321695918,0.0680769552335661
"81",107,0.789860101037385,0.0116405523066563,0.198499346655959,0.210039898962616,0.0660140171961853
"82",108,0.78928143809472,0.0109165335414353,0.199802028363845,0.21061856190528,0.0639510791588045
"83",109,0.788756788356925,0.0102205310145122,0.201022680628564,0.211143211643076,0.0618881411214237
"84",110,0.788282378439747,0.0095530504902636,0.20216457106999,0.211617621560253,0.0598252030840429
"85",111,0.787854571251644,0.00891441377940433,0.203231014968953,0.212045428748357,0.0577622650466621
"212",112,0.786178107361847,0.00952576832321991,0.204296124314934,0.213721892638154,0.231049060186648
"311",113,0.784391728304158,0.0101747637389765,0.205433507956866,0.215508271695843,0.231049060186648
"411",114,0.782486993392399,0.010863770595635,0.206649236011966,0.217413006607602,0.231049060186648
"511",115,0.780460419162565,0.0115937244333262,0.207945856404109,0.219439580837436,0.231049060186648
"611",116,0.778303720119079,0.0123668231481455,0.209329456732776,0.221596279880922,0.231049060186648
"711",117,0.776010360964882,0.013184694032641,0.210804945002478,0.223889639035119,0.231049060186648
"810",118,0.773573449062119,0.0140489793070555,0.212377571630826,0.226326550937882,0.231049060186648
"910",119,0.770985967638772,0.0149612381075539,0.214052794253675,0.228914032361229,0.231049060186648
"1010",120,0.768240828235539,0.0159229225213645,0.215836249243097,0.231659171764462,0.231049060186648
"1110",121,0.765330920264999,0.0169353568196654,0.217733722915336,0.234569079735002,0.231049060186648
"1210",122,0.762249149726362,0.017999704341367,0.219751145932271,0.237650850273638,0.231049060186648
"1310",123,0.75898849318138,0.0191169336374011,0.22189457318122,0.240911506818621,0.231049060186648
"1410",124,0.755542053030155,0.0202877868292851,0.224170160140561,0.244357946969846,0.231049060186648
"1510",125,0.751903130910996,0.0215127379684331,0.226584131120572,0.247996869089005,0.231049060186648
"1610",126,0.74806529418377,0.0227919574661553,0.229142748350075,0.25183470581623,0.231049060186648
"1710",127,0.744022452656378,0.0241252724273555,0.231852274916267,0.255877547343623,0.231049060186648
"1810",128,0.73976894334781,0.0255121247871575,0.234718931865033,0.260131056652191,0.231049060186648
"192",129,0.735299617713776,0.0269515307485334,0.237748851537691,0.264600382286224,0.231049060186648
