"","beta","mu","v","",""
"thetaparm",0.300087055424228,0.156904069939628,0.809039518004283,1,0.000701239361498272
"thetaparm",0.393281352240592,0.261226633563638,0.582922193454579,2,0.00106516920487732
"thetaparm",0.514557488728315,0.40307851228863,0.0208369130268693,0,0.000739315028788729
"thetaparm",0.344290879787877,0.214937833370641,0.679449105402455,1,0.000501135231538781
"thetaparm",0.501821754733101,0.379318774910644,0.247488266322762,3,0.00111130641931459
"thetaparm",0.370073463534936,0.238223114050925,0.640192065853626,1,0.000527976635013042
"thetaparm",0.315929359989241,0.17971103778109,0.76951143052429,1,0.000247879097027098
"thetaparm",0.229260432999581,0.0731688376981765,0.916563645470887,1,0.000722389862877561
"thetaparm",0.401881720637903,0.286087047541514,0.446020910749212,3,3.94957123630094e-05
"thetaparm",0.407212471822277,0.278781525790691,0.552374745020643,2,0.000586571180974473
"thetaparm",0.398086177650839,0.270515777170658,0.565555033506826,1,0.000469228954838287
"thetaparm",0.422482337802649,0.305402752943337,0.407552955904976,2,0.00042066266157471
"thetaparm",0.355126974871382,0.233020677231252,0.626489333575591,3,0.000484105705918812
"thetaparm",0.326473010005429,0.190918332664296,0.734887728933245,0,0.00124908931542053
"thetaparm",0.25744569953531,0.0974976080469787,0.901027371641248,2,0.000564206636674169
"thetaparm",0.237978365970775,0.0822298617567867,0.914802654180676,1,0.00119284394862183
"thetaparm",0.467158820014447,0.355781342601404,0.154245538171381,2,0.000615623015828064
"thetaparm",0.423349142540246,0.302512632217258,0.456159574678168,0,0.00100736919464967
"thetaparm",0.518976845778525,0.398772308137268,0.135962574509904,3,0.000394700325366946
"thetaparm",0.275442976038903,0.133504820987582,0.836935121566057,2,0.00111388463905195
"thetaparm",0.487048022216186,0.368808537255973,0.207776045426726,1,0.000109737536685105
"thetaparm",0.276286618085578,0.134697445202619,0.845754099078476,2,0.000646277979501748
"thetaparm",0.417324002133682,0.291018270887434,0.510050276294351,1,0.000510153047598088
"thetaparm",0.200556789757684,0.0113628790713847,0.966899844352156,1,0.000173237985395654
"thetaparm",0.395442779874429,0.270626671146601,0.52544731204398,0,0.000978157307701275
"thetaparm",0.433406231692061,0.313288649078459,0.396314557641745,0,6.31848283242781e-05
"thetaparm",0.27068671095185,0.12288545188494,0.857586197787896,0,0.00104789338438411
"thetaparm",0.446100799832493,0.329342527780682,0.327447320334613,1,0.000254984618002028
"thetaparm",0.469754230696708,0.352842395193875,0.275458286050707,0,0.00103692805066578
"thetaparm",0.471660824492574,0.346556238597259,0.350641261320561,3,0.000434711400483158
"thetaparm",0.476993832504377,0.352071556495503,0.336848969338462,3,0.000583061401043292
"thetaparm",0.510662590852007,0.39073142898269,0.157960128970444,3,0.000309750028543325
"thetaparm",0.444152954500169,0.332040136680007,0.282169802812859,3,0.00053174417198671
"thetaparm",0.313430532347411,0.17404707102105,0.787968810880557,0,0.000624334085336586
"thetaparm",0.519812422106043,0.401240111095831,0.0764226783066988,3,0.000501208043040456
"thetaparm",0.490340866846964,0.373967421241105,0.139029811369255,1,0.000833610202473432
"thetaparm",0.406657330924645,0.291006162995473,0.445297355763614,3,0.000698942449688419
"thetaparm",0.274401637958363,0.136699715862051,0.838730991818011,3,0.000706852102849483
"thetaparm",0.304649868048728,0.173184608109295,0.770107746589929,3,0.000256858763545968
"thetaparm",0.412946817465127,0.289748052600771,0.473270523129031,0,0.00057271833475293
"thetaparm",0.470572095829993,0.357641119277105,0.223358982708305,1,0.00120300393665521
"thetaparm",0.307249060133472,0.169942225562409,0.784286236856133,1,9.05279271519385e-05
"thetaparm",0.484881181037053,0.374119116691872,0.084695213008672,2,0.000333658553068421
"thetaparm",0.314879536163062,0.165525735123083,0.806803172687069,3,0.000670189202894939
