"","time","S","I","R","C","V6"
"1",0,0.9999,1e-04,0,0,0.231049060186648
"2",1,0.999875482065481,0.000112257582271536,1.22603522476296e-05,2.4517934519166e-05,0.231049060186648
"3",2,0.999847960180383,0.00012601661086606,2.60232087510395e-05,5.20398196170996e-05,0.231049060186648
"4",3,0.999817066323554,0.000141460938058484,4.14727383872835e-05,8.29336764457679e-05,0.231049060186648
"5",4,0.999782442356487,0.000158769457985117,5.87881855283787e-05,0.000117557643513495,0.231049060186648
"6",5,0.999743563929481,0.000178204060704817,7.82320098143005e-05,0.000156436070519118,0.231049060186648
"7",6,0.999699927972558,0.000200015963116101,0.000100056064326059,0.00020007202744216,0.231049060186648
"8",7,0.999650953974645,0.000224495007776731,0.000124551017578203,0.000249046025354934,0.231049060186648
"9",8,0.999595989431642,0.000251966922183961,0.000152043646174202,0.000304010568358163,0.231049060186648
"10",9,0.999534302779857,0.000282796823169773,0.00018290039697337,0.000365697220143143,0.231049060186648
"11",10,0.999465073401709,0.000317394176956048,0.000217532421334741,0.000434926598290789,0.231049060186648
"12",11,0.999387380880154,0.000356218125330975,0.00025640099451507,0.000512619119846045,0.231049060186648
"13",12,0.999300200386516,0.00039977975165848,0.000300019861825783,0.000599799613484263,0.231049060186648
"14",13,0.999202366903355,0.000448659840087031,0.000348973256557812,0.000697633096644844,0.231049060186648
"15",14,0.999092583168561,0.000503504867735154,0.000403911963703984,0.000807416831439138,0.231049060186648
"16",15,0.998969395434425,0.000565038987909926,0.000465565577665791,0.000930604565575717,0.231049060186648
"17",16,0.998831172913313,0.000634074157152389,0.000534752929534453,0.00106882708668684,0.231049060186648
"18",17,0.998676088075735,0.000711519802655141,0.000612392121609979,0.00122391192426512,0.231049060186648
"19",18,0.99850209319976,0.000798394313933126,0.000699512486307545,0.00139790680024067,0.231049060186648
"20",19,0.998306894308392,0.000895837780426889,0.000797267911181475,0.00159310569160836,0.231049060186648
"21",20,0.998087922198981,0.00100512610769503,0.000906951693323867,0.0018120778010189,0.231049060186648
"22",21,0.997842300210912,0.0011276866698296,0.00103001311925842,0.00205769978908802,0.231049060186648
"23",22,0.99756680842616,0.00126511562682951,0.00116807594701056,0.00233319157384007,0.231049060186648
"24",23,0.997257843960365,0.00141919704813786,0.00132295899149756,0.00264215603963541,0.231049060186648
"25",24,0.996911376984839,0.00159192398473401,0.00149669903042698,0.00298862301516099,0.231049060186648
"26",25,0.996522902106497,0.0017855216296789,0.00169157626382411,0.00337709789350301,0.231049060186648
"27",26,0.99608738472362,0.00200247270013846,0.00191014257624184,0.0038126152763803,0.231049060186648
"28",27,0.995599204026543,0.00224554419766325,0.0021552517757942,0.00430079597345745,0.231049060186648
"29",28,0.995052082704735,0.00251782013247593,0.00243009716278973,0.00484791729526566,0.231049060186648
"30",29,0.994439019802093,0.00282273240044337,0.0027382477974643,0.00546098019790767,0.231049060186648
"31",30,0.993752214516304,0.0031640953894001,0.00308369009429626,0.00614778548369636,0.231049060186648
"32",31,0.992982979937136,0.00354614467030845,0.00347087539255612,0.00691702006286457,0.231049060186648
"33",32,0.992121652617947,0.00397357676294839,0.00390477061910468,0.00777834738205307,0.231049060186648
"34",33,0.991157494967084,0.00445159115408562,0.00439091387883014,0.00874250503291576,0.231049060186648
"35",34,0.9900785907947,0.00498593409814403,0.00493547510715663,0.00982140920530066,0.231049060186648
"36",35,0.98887173470845,0.00558294348167391,0.00554532180987652,0.0110282652915504,0.231049060186648
"37",36,0.987522316001211,0.00624959397649163,0.00622809002229813,0.0123776839987898,0.231049060186648
"38",37,0.986014198196796,0.00699354135461344,0.00699226044859082,0.0138858018032043,0.231049060186648
"39",38,0.984329595910472,0.00782316448795004,0.00784723960157786,0.0155704040895279,0.231049060186648
"40",39,0.982448951301122,0.00874760312695302,0.00880344557192566,0.0174510486988787,0.231049060186648
"41",40,0.980350813158739,0.00977678903728572,0.00987239780397538,0.0195491868412611,0.231049060186648
"42",41,0.978011722581179,0.0109214674760396,0.0110668099427822,0.0218882774188218,0.231049060186648
"210",42,0.975418225167415,0.0121811101213516,0.0124006647112336,0.0244817748325852,0.228986122149268
"310",43,0.972563501310037,0.0135502178423041,0.0138862808476589,0.027336498689963,0.226923184111887
"410",44,0.969431645411481,0.015032498025177,0.0155358565633424,0.0304683545885194,0.224860246074506
"510",45,0.966004812014099,0.0166314710506839,0.0173637169352177,0.0338951879859017,0.222797308037125
"610",46,0.962267640703635,0.0183492128630312,0.019383146433334,0.0376323592963652,0.220734369999745
"710",47,0.958205153770609,0.0201869202149554,0.0216079260144359,0.0416948462293914,0.218671431962364
"86",48,0.953803709886626,0.0221443664513541,0.0240519236620209,0.0460962901133749,0.216608493924983
"91",49,0.949051268131565,0.02421983520557,0.026728896662866,0.050848731868436,0.214545555887602
"101",50,0.943937648907918,0.0264100474553894,0.029652303636693,0.0559623510920824,0.212482617850221
"111",51,0.938454901688415,0.0287099693689212,0.0328351289426641,0.0614450983115853,0.210419679812841
"121",52,0.932597651407508,0.0311126838622028,0.0362896647302892,0.0673023485924921,0.20835674177546
"131",53,0.926363387129115,0.033609320030546,0.0400272928403399,0.0735366128708859,0.206293803738079
"141",54,0.919752734348052,0.0361890103860143,0.0440582552659347,0.0801472656519491,0.204230865700698
"151",55,0.912769682216765,0.0388388946681,0.0483914231151356,0.0871303177832357,0.202167927663317
"161",56,0.905421755748666,0.0415441751077127,0.0530340691436217,0.0944782442513344,0.200104989625937
"171",57,0.897720123536834,0.044288226729508,0.0579916497336586,0.102179876463167,0.198042051588556
"181",58,0.889679632607114,0.0470527644874125,0.0632676029054739,0.110220367392886,0.195979113551175
"191",59,0.881318764488703,0.0498180666101679,0.0688631689011299,0.118581235511298,0.193916175513794
"201",60,0.872659509350384,0.0525632509739248,0.0747772396756918,0.127240490649617,0.191853237476413
"211",61,0.863727159976886,0.0552665965864689,0.0810062434366454,0.136172840023114,0.189790299439033
"221",62,0.854550016589245,0.057905916451699,0.0875440669590562,0.145349983410755,0.187727361401652
"231",63,0.845159058826169,0.0604589147284216,0.0943820264454101,0.154740941173832,0.185664423364271
"241",64,0.835587474517014,0.062903650460818,0.101508875022168,0.164312525482986,0.18360148532689
"251",65,0.825870219639232,0.0652189095172617,0.108910870843507,0.174029780360769,0.18153854728951
"261",66,0.816043517438722,0.0673845994630347,0.116571883098243,0.183856482561278,0.179475609252129
"271",67,0.806144321600725,0.0693821352202365,0.124473543179039,0.193755678399275,0.177412671214748
"281",68,0.796209788335479,0.0711947728362431,0.132595438828279,0.203690211664522,0.175349733177367
"291",69,0.786276758738646,0.072807897434108,0.140915343827246,0.213623241261354,0.173286795139986
"301",70,0.776381266633218,0.0742092553126624,0.14940947805412,0.223518733366782,0.171223857102606
"311",71,0.766558085337032,0.0753891239964337,0.158052790666535,0.233341914662969,0.169160919065225
"321",72,0.75684032354141,0.0763404172339317,0.166819259224659,0.243059676458591,0.167097981027844
"331",73,0.747259078073074,0.0770587247704592,0.175682197156467,0.252640921926926,0.165035042990463
"341",74,0.737843148525138,0.0775422893190105,0.184614562155852,0.262056851474862,0.162972104953082
"351",75,0.728618816059761,0.0777919254313559,0.193589258508883,0.271281183940239,0.160909166915702
"361",76,0.719609686185552,0.0778108868151462,0.202579426999302,0.280290313814448,0.158846228878321
"371",77,0.710836593127204,0.0776046899898572,0.211558716882939,0.289063406872796,0.15678329084094
"381",78,0.702317561608048,0.0771809030063139,0.220501535385639,0.297582438391953,0.154720352803559
"391",79,0.69406782049854,0.0765489082903157,0.229383271211145,0.305832179501461,0.152657414766178
"401",80,0.686099861850274,0.0757196485600639,0.238180489589663,0.313800138149727,0.150594476728798
"411",81,0.678423538312408,0.0747053642807324,0.24687109740686,0.321476461687592,0.148531538691417
"421",82,0.67104619177085,0.0735193303409893,0.255434477888162,0.328853808229151,0.146468600654036
"43",83,0.663972806201541,0.0721755986527205,0.263851595145739,0.33592719379846,0.144405662616655
"44",84,0.657206178122859,0.0706887522704651,0.272105069606676,0.342693821877141,0.142342724579275
"45",85,0.650747098602624,0.0690736754763781,0.280179225920998,0.349152901397377,0.140279786541894
"46",86,0.644594541460954,0.0673453431431106,0.288060115395936,0.355305458539047,0.138216848504513
"47",87,0.638745853056652,0.0655186316203524,0.295735515322996,0.361154146943349,0.136153910467132
"48",88,0.633196939806404,0.0636081524265331,0.303194907767064,0.366703060193597,0.134090972429751
"49",89,0.62794245032706,0.0616281091879097,0.310429440485031,0.371957549672941,0.132028034392371
"50",90,0.622975949785231,0.0595921775641572,0.317431872650613,0.37692405021477,0.12996509635499
"51",91,0.618290084667654,0.0575134073344419,0.324196507997904,0.381609915332346,0.127902158317609
"52",92,0.613876736740018,0.0554041453853737,0.330719117874609,0.386023263259982,0.125839220280228
"53",93,0.609727165436944,0.0532759780316504,0.336996856531406,0.390172834563057,0.123776282242847
"54",94,0.605832138322183,0.0511396908978071,0.34302817078001,0.394067861677818,0.121713344205467
"55",95,0.60218204957966,0.0490052444797134,0.348812705940627,0.397717950420341,0.119650406168086
"56",96,0.598767026749002,0.0468817634713558,0.354351209779643,0.401132973250999,0.117587468130705
"57",97,0.595577026111234,0.0447775379704933,0.359645435918273,0.404322973888766,0.115524530093324
"58",98,0.592601917269447,0.0427000347516064,0.364698047978947,0.407298082730554,0.113461592055943
"59",99,0.589831557563729,0.0406559169033618,0.36951252553291,0.410068442436272,0.111398654018563
"60",100,0.587255857017272,0.0386510702594742,0.374093072723254,0.412644142982729,0.109335715981182
"61",101,0.584864834538505,0.0366906351970987,0.378444530264397,0.415035165461496,0.107272777943801
"62",102,0.582648666108847,0.0347790425281635,0.38257229136299,0.417251333891154,0.10520983990642
"63",103,0.580597725672786,0.0329200523604307,0.386482221966783,0.419302274327214,0.103146901869039
"64",104,0.578702619421194,0.0311167949520579,0.390180585626748,0.421197380578806,0.101083963831659
"65",105,0.576954214124098,0.0293718127227784,0.393673973153124,0.422945785875903,0.0990210257942779
"66",106,0.57534366012871,0.0276871027143362,0.396969237156954,0.42455633987129,0.0969580877568971
"67",107,0.573862409594934,0.0260641589111645,0.400073431493902,0.426037590405066,0.0948951497195163
"68",108,0.572502230495772,0.0245040139388485,0.40299375556538,0.427397769504229,0.0928322116821355
"69",109,0.571255216865616,0.0230072797525457,0.405737503381839,0.428644783134385,0.0907692736447548
"70",110,0.570113795736275,0.0215741870105339,0.408312017253192,0.429786204263726,0.088706335607374
"71",111,0.569070731159629,0.0202046228999958,0.410724645940375,0.430829268840371,0.0866433975699932
"72",112,0.568119125677414,0.0188981672437783,0.412982707078809,0.431780874322587,0.0845804595326124
"73",113,0.567252419563122,0.0176541267690627,0.415093453667816,0.432647580436879,0.0825175214952316
"74",114,0.566464388128472,0.0164715674625889,0.41706404440894,0.433435611871529,0.0804545834578508
"75",115,0.565749137357265,0.0153493449732202,0.418901517669516,0.434150862642736,0.07839164542047
"76",116,0.565101098102741,0.0142861330521548,0.420612768845104,0.434798901897259,0.0763287073830892
"77",117,0.564515019060451,0.0132804500448481,0.422204530894702,0.43538498093955,0.0742657693457084
"78",118,0.563985958707081,0.0123306834675383,0.423683357825381,0.43591404129292,0.0722028313083277
"79",119,0.563509276376379,0.0114351127158961,0.425055610907726,0.436390723623622,0.0701398932709469
"80",120,0.563080622626016,0.0105919299644387,0.426327447409546,0.436819377373985,0.0680769552335661
"81",121,0.562695929033785,0.00979925932353671,0.427504811642679,0.437204070966216,0.0660140171961853
"82",122,0.562351397547643,0.00905517432663719,0.428593428125721,0.437548602452358,0.0639510791588045
"83",123,0.562043489501658,0.00835771382416639,0.429598796674176,0.437856510498343,0.0618881411214237
"84",124,0.561768914398646,0.00770489636285516,0.430526189238499,0.438131085601354,0.0598252030840429
"85",125,0.561524612792754,0.00709473865829496,0.431380648548951,0.438375387207246,0.0577622650466621
"212",126,0.560598374355042,0.00719553831284753,0.432206087332111,0.439301625644959,0.231049060186648
"312",127,0.559660638355066,0.00729619873980187,0.433043162905132,0.440239361644934,0.231049060186648
"412",128,0.558711489806129,0.0073966547684812,0.433891855425391,0.441188510193872,0.231049060186648
"511",129,0.55775101037998,0.00749684820074018,0.434752141419281,0.442148989620021,0.231049060186648
