"","time","S","I","R","C","V6"
"96",130,0.524790364154841,0.00864172303263105,0.466567912812528,0.475109635845159,0.0840647250232672
"97",131,0.524425938778743,0.00804276134255057,0.467531299878706,0.475474061221257,0.0825175214952316
"98",132,0.524093430291419,0.00747902786039859,0.468427541848182,0.475806569708581,0.080970317967196
"99",133,0.523790388532749,0.0069489916100053,0.469260619857246,0.476109611467252,0.0794231144391604
"100",134,0.52351452049053,0.00645114028136064,0.470034339228109,0.47638547950947,0.0778759109111248
"101",135,0.523263682873765,0.00598398523731077,0.470752331888924,0.476636317126235,0.0763287073830892
"102",136,0.523035875010601,0.00554606566135248,0.471418059328046,0.476864124989399,0.0747815038550536
"103",137,0.522829231440926,0.00513595247759501,0.472034816081479,0.477070768559074,0.0732343003270181
"104",138,0.522642014961434,0.00475225145643745,0.472605733582128,0.477257985038566,0.0716870967989825
"105",139,0.522472609826507,0.00439360583363224,0.473133784339861,0.477427390173494,0.0701398932709469
"106",140,0.522319515123056,0.00405869848142369,0.47362178639552,0.477580484876945,0.0685926897429113
"107",141,0.522181338345038,0.00374625365020606,0.474072408004756,0.477718661654962,0.0670454862148757
"108",142,0.522056789178824,0.00345503832122218,0.474488172499953,0.477843210821176,0.0654982826868401
"109",143,0.52194467350581,0.00318386320655201,0.474871463287637,0.47795532649419,0.0639510791588045
"110",144,0.521843887787568,0.00293158341542295,0.475224528797009,0.478056112212432,0.0624038756307689
"111",145,0.521753413081489,0.00269709889488411,0.475549488023627,0.478146586918512,0.0608566721027333
"112",146,0.521672310001167,0.00247935453007919,0.475848335468754,0.478227689998834,0.0593094685746977
"113",147,0.521599647854752,0.00227740330490779,0.47612294884034,0.478300352145248,0.0577622650466621
"212",148,0.521324576896528,0.00228872438397069,0.476386698719501,0.478575423103473,0.231049060186648
"312",149,0.521048293510489,0.00229995524116771,0.476651751248343,0.478851706489511,0.231049060186648
"411",150,0.520770810784622,0.00231109335568805,0.47691809585969,0.479129189215378,0.231049060186648
"511",151,0.520492140402434,0.00232213652493683,0.477185723072629,0.479407859597567,0.231049060186648
"611",152,0.520212298213248,0.00233308181617404,0.477454619970577,0.479687701786752,0.231049060186648
"711",153,0.519931297624751,0.0023439268264603,0.477724775548788,0.479968702375249,0.231049060186648
"811",154,0.519649152866342,0.00235466905474477,0.477996178078913,0.480250847133658,0.231049060186648
"911",155,0.519365878449256,0.00236530600777008,0.478268815542973,0.480534121550744,0.231049060186648
"1011",156,0.51908148916329,0.00237583520119817,0.478542675635512,0.480818510836711,0.231049060186648
"1110",157,0.518796000074584,0.00238625416077859,0.478817745764637,0.481103999925416,0.231049060186648
"1210",158,0.518509426523233,0.00239656042350981,0.479094013053257,0.481390573476767,0.231049060186648
"1310",159,0.518221784103845,0.002406751538014,0.479371464358141,0.481678215896155,0.231049060186648
"1410",160,0.517933088717576,0.00241682506819101,0.479650086214232,0.481966911282424,0.231049060186648
"155",161,0.517643356508674,0.00242677859173572,0.479929864899589,0.482256643491326,0.231049060186648
"162",162,0.517352603884403,0.00243660970228455,0.480210786413312,0.482547396115597,0.231049060186648
"172",163,0.517060847513791,0.00244631601068507,0.480492836475523,0.482839152486209,0.231049060186648
"182",164,0.516768104329522,0.0024558951466419,0.480776000523835,0.483131895670478,0.231049060186648
"192",165,0.516474391506898,0.00246534475857109,0.48106026373453,0.483425608493102,0.231049060186648
"202",166,0.516179726471035,0.00247466251556447,0.4813456110134,0.483720273528965,0.231049060186648
"213",167,0.515884126896787,0.0024838461088192,0.481632026994394,0.484015873103214,0.231049060186648
"222",168,0.515587610686332,0.0024928932511151,0.481919496062552,0.484312389313668,0.231049060186648
"232",169,0.515290196014144,0.00250180168261007,0.482208002303245,0.484609803985856,0.231049060186648
"242",170,0.514991901268563,0.00251056916699281,0.482497529564443,0.484908098731437,0.231049060186648
"252",171,0.51469274506827,0.00251919349449711,0.482788061437232,0.48520725493173,0.231049060186648
"262",172,0.5143927462596,0.00252767248322149,0.483079581257178,0.4855072537404,0.231049060186648
"272",173,0.514091923916423,0.00253600398096101,0.483372072102615,0.485808076083577,0.231049060186648
"282",174,0.513790297320424,0.00254418586428882,0.483665516815287,0.486109702679576,0.231049060186648
"292",175,0.513487885965689,0.00255221604090848,0.483959897993402,0.486412114034311,0.231049060186648
"302",176,0.513184709556996,0.00256009245117062,0.484255197991833,0.486715290443004,0.231049060186648
"313",177,0.51288078798926,0.00256781306669032,0.484551398944049,0.48701921201074,0.231049060186648
"322",178,0.512576141383411,0.00257537589814559,0.484848482718443,0.487323858616589,0.231049060186648
"332",179,0.512270790035519,0.00258277898904298,0.485146430975438,0.487629209964481,0.231049060186648
"342",180,0.51196475442904,0.00259002041949932,0.485445225151461,0.48793524557096,0.231049060186648
"352",181,0.511658055230783,0.00259709830752761,0.485744846461689,0.488241944769217,0.231049060186648
"362",182,0.511350713284041,0.00260401080984672,0.486045275906111,0.488549286715959,0.231049060186648
"371",183,0.511042749603043,0.00261075612289965,0.486346494274057,0.488857250396957,0.231049060186648
"381",184,0.510734185367303,0.0026173324838537,0.486648482148843,0.489165814632697,0.231049060186648
"391",185,0.510425041915885,0.00262373817158099,0.486951219912534,0.489474958084115,0.231049060186648
"401",186,0.510115340741563,0.00262997150761845,0.487254687750818,0.489784659258437,0.231049060186648
"412",187,0.509805103484901,0.00263603085710644,0.487558865657992,0.490094896515099,0.231049060186648
"421",188,0.50949435192825,0.00264191462970493,0.487863733442044,0.49040564807175,0.231049060186648
"431",189,0.509183107989654,0.0026476212804865,0.488169270729859,0.490716892010346,0.231049060186648
"441",190,0.508871393716689,0.00265314931080531,0.488475456972505,0.491028606283311,0.231049060186648
"451",191,0.50855923128022,0.00265849726914104,0.488782271450638,0.49134076871978,0.231049060186648
