"","beta","mu","v","",""
"thetaparm",0.516200316604227,0.398376706289127,0.128819664008915,2,0.000954784734937
"thetaparm",0.456236263504252,0.338040681788698,0.275173258967698,0,0.00113800908484799
"thetaparm",0.412443389883265,0.296443294500932,0.400735829258338,3,0.00067621067468392
"thetaparm",0.474933166289702,0.354358222102746,0.245594897074625,2,0.00106720411792259
"thetaparm",0.481710865395144,0.371410241583362,0.131814501015469,2,0.000868942262035679
"thetaparm",0.496931075351313,0.376931464998052,0.189171616919339,2,0.000201195767647409
"thetaparm",0.371073448332027,0.239374021068215,0.63842478976585,1,0.000439504308181994
"thetaparm",0.387920515378937,0.257386383600533,0.590488955844194,1,0.000691588918277388
"thetaparm",0.242786735761911,0.0730183401610702,0.926366604166105,3,0.000780985195417489
"thetaparm",0.493075336096808,0.376395966624841,0.202610468259081,1,0.00127135059188013
"thetaparm",0.513519950676709,0.396548928227276,0.0663705230690539,2,0.000712667156318833
"thetaparm",0.396880625281483,0.268707056762651,0.58595485240221,1,0.00124923577493393
"thetaparm",0.454216017853469,0.334413604112342,0.329618863528594,1,6.66144265665108e-05
"thetaparm",0.220881761517376,0.0459439430851489,0.947210635524243,2,0.00109746800934165
"thetaparm",0.425968178315088,0.307228481629863,0.382115476066247,1,0.000993494638908028
"thetaparm",0.33301949640736,0.195428603561595,0.73556109238416,1,0.000892218750888803
"thetaparm",0.422531112562865,0.296637864084914,0.477546985959634,1,0.000276041716862574
"thetaparm",0.506718297954649,0.394323216518387,0.0423738290555775,0,6.50865501192616e-05
"thetaparm",0.226642452413216,0.068631520261988,0.927247961284593,1,0.00126017834707131
"thetaparm",0.430675718467683,0.30743314884603,0.416053546126932,1,0.000962275628839718
"thetaparm",0.275989359011874,0.134437173372135,0.84248172165826,2,6.60900873387382e-05
"thetaparm",0.495541558600962,0.381970382062718,0.109698718413711,0,0.000187201102775578
"thetaparm",0.375835743034258,0.240087473299354,0.673886925447732,2,0.00122909242389612
"thetaparm",0.510622872039676,0.393456649966538,0.0724351208191365,2,0.000943988969398384
"thetaparm",0.305187727324665,0.16769458190538,0.781607365468517,1,0.000883727601685622
"thetaparm",0.378022267948836,0.256595822749659,0.574907291447744,2,0.000893748932994005
"thetaparm",0.438638248946518,0.327467355178669,0.298623070120811,3,0.000905808993826654
"thetaparm",0.478236758615822,0.359438479645178,0.246337130665779,1,0.000149300624361495
"thetaparm",0.398332987679169,0.276975227054209,0.506781629519537,1,1.28766519503533e-05
"thetaparm",0.498432934749871,0.383637739578262,0.110367851797491,1,4.23127554400257e-05
"thetaparm",0.367742050439119,0.236500496277586,0.636495901737362,1,0.00088012706312279
"thetaparm",0.397526933811605,0.270519886165857,0.53860073373653,1,0.000912041715625544
"thetaparm",0.288469156250358,0.140447844052687,0.834977633086964,1,0.00119040734236935
"thetaparm",0.373011999065056,0.2365804661531,0.665785371093079,3,6.32100779824861e-05
"thetaparm",0.422892268747091,0.305967579828575,0.399050648091361,2,0.000181093739659036
"thetaparm",0.503327787853777,0.381728737615049,0.232627223711461,3,0.00115367647131866
"thetaparm",0.382417898857966,0.263544166926295,0.529335639905185,3,8.25534488248791e-05
"thetaparm",0.417977635981515,0.285711122909561,0.543139638379216,3,0.000123651502811024
"thetaparm",0.408056484535336,0.276470629731193,0.570098168915138,3,0.000407348013739893
"thetaparm",0.284245249815285,0.13697343156673,0.851678942795843,1,0.000993476547802661
"thetaparm",0.499532521003857,0.388321255333722,0.00852352427318692,1,0.00103983498219511
"thetaparm",0.360118643613532,0.231207767268643,0.646632908610627,1,0.000310213129687379
"thetaparm",0.232053527142853,0.00248854118399322,0.973823327105492,3,0.00104187479493056
"thetaparm",0.471180277876556,0.35442939796485,0.254338161554188,0,0.000552021748391515
"thetaparm",0.305964933009818,0.168528602924198,0.788450385676697,1,0.00011673326207802
"thetaparm",0.494276812300086,0.384315001778305,0.0368758919648826,1,0.000227839067008816
"thetaparm",0.464253475423902,0.346695981221274,0.269696737173945,0,7.46949573448112e-05
"thetaparm",0.4253061756026,0.300886574434116,0.461353747174144,1,7.26808527556251e-05
"thetaparm",0.494055648101494,0.373731818981469,0.23465602658689,2,0.000812379321161096
"thetaparm",0.267618048470467,0.127451272448525,0.851240666117519,3,0.000305037204667631
"thetaparm",0.393370889592916,0.263862316031009,0.564589285990223,1,0.00108252108501036
"thetaparm",0.244942255550995,0.0784307506401092,0.91830194904469,3,7.74322108204398e-05
"thetaparm",0.33969275932759,0.203007617965341,0.741723633138463,1,0.00118291356856086
"thetaparm",0.447615345939994,0.329930105246603,0.360272989142686,0,0.00127723128123986
"thetaparm",0.433994750492275,0.321809406625107,0.27080757683143,3,0.00117251140587674
"thetaparm",0.43456579791382,0.319193107774481,0.340873615350574,2,3.74628167944258e-06
"thetaparm",0.49650044227019,0.390013731084764,0.00836878549307585,3,0.00094825727063122
"thetaparm",0.209010762860999,0.0461006520781666,0.944109984207898,2,0.000736483963537093
"thetaparm",0.507352446438745,0.395339571405202,0.0551629518158734,0,0.000651402586937449
"thetaparm",0.391599308000877,0.272448770236224,0.495756084797904,3,0.00050754645854683
"thetaparm",0.425303828669712,0.307800417998806,0.379446469713002,2,0.000593788565847481
"thetaparm",0.482667731819674,0.372215786250308,0.125136325135827,2,0.000712794165097896
"thetaparm",0.363093848107383,0.223919137846678,0.712121727643535,3,0.00111723470894762
"thetaparm",0.320579877588898,0.190993658499792,0.718543876428157,3,0.00127192812034063
"thetaparm",0.383609445067123,0.246858169790357,0.639680470805615,3,0.000596962124806286
"thetaparm",0.516344042262062,0.400351142510772,0.0821557326707989,2,0.000478089401349843
"thetaparm",0.392602940322831,0.273714977316558,0.476680219173431,3,0.00122750255194598
"thetaparm",0.441425826167688,0.313469324028119,0.452027505263686,3,1.33755968756491e-05
"thetaparm",0.48660434037447,0.37372801755555,0.093889829935506,1,0.000915271201003435
"thetaparm",0.49105411558412,0.376267591724172,0.127408447908238,0,0.00034971819955391
"thetaparm",0.457581195281819,0.331248969305307,0.386843389831483,3,0.000258619140383463
"thetaparm",0.36434887861833,0.224672290962189,0.68912355042994,3,0.000853074336459141
"thetaparm",0.446147976908833,0.318486646283418,0.428652710048482,3,0.000386242049731398
"thetaparm",0.511466525495052,0.396458680508658,0.0422567180357873,1,0.000673830960232869
"thetaparm",0.352088442305103,0.227054642746225,0.628577496856451,2,0.00117136254200023
"thetaparm",0.316856184275821,0.172003713902086,0.802583288867027,2,0.000873530145937908
"thetaparm",0.508583842543885,0.394284013891593,0.0225082056131214,1,0.0011863771536644
"thetaparm",0.477394673041999,0.365314149763435,0.149438351159915,1,7.67602532904116e-05
"thetaparm",0.350463797338307,0.218005031812936,0.678553206846118,0,0.000922280997844298
"thetaparm",0.402807719539851,0.276098144939169,0.559462943347171,1,0.00110926932816377
"thetaparm",0.45685360673815,0.335180783877149,0.360365053405985,1,0.000607377443635069
"thetaparm",0.391612064791843,0.270144943613559,0.542666938621551,2,0.000929587528081012
"thetaparm",0.436593633377925,0.315653264755383,0.396074162330478,0,4.36709812690478e-05
"thetaparm",0.512037914479151,0.390684388345107,0.126518540317193,3,0.00112796956673674
"thetaparm",0.401250398950651,0.279840596485883,0.482820452190936,1,0.000877020721590044
"thetaparm",0.359759701183066,0.228625671705231,0.665164384990931,0,6.05013803053854e-05
"thetaparm",0.449448751052842,0.339123425539583,0.259256351506338,3,0.00120427811476755
"thetaparm",0.464407435618341,0.350319103337824,0.246228720759973,1,0.00072896391479714
"thetaparm",0.437775540398434,0.326206849655136,0.255554173607379,3,0.000927650264529324
