t,Sv0,Sg0,Sg1,Sg2,Sg3,Iv0,Ig0,Ig1,Ig2,Ig3,Rv0,Rg0,Rg1,Rg2,Rg3,cumIv0,cumIg0,cumIg1,cumIg2,cumIg3,cumIv, pIv,pIs,pIg
314,0.154556,0.0809672,0.0809672,0.0809672,0.0809672,0.000528513,0.00142618,0.00142618,0.00142618,0.00142618,0.0449157,0.117607,0.117607,0.117607,0.117607,0.0658102,0.157983,0.157983,0.157983,0.157983,0.0658102,0.00264256,nan,0.00713092
315,0.154634,0.0811676,0.0811676,0.0811676,0.0811676,0.000512107,0.00138382,0.00138382,0.00138382,0.00138382,0.0448534,0.117449,0.117449,0.117449,0.117449,0.0658545,0.158105,0.158105,0.158105,0.158105,0.0658545,0.00256054,nan,0.00691912
316,0.154714,0.0813709,0.0813709,0.0813709,0.0813709,0.000496287,0.00134301,0.00134301,0.00134301,0.00134301,0.0447894,0.117286,0.117286,0.117286,0.117286,0.0658975,0.158223,0.158223,0.158223,0.158223,0.0658975,0.00248143,nan,0.00671505
317,0.154795,0.081577,0.081577,0.081577,0.081577,0.000481032,0.00130368,0.00130368,0.00130368,0.00130368,0.0447238,0.117119,0.117119,0.117119,0.117119,0.0659392,0.158338,0.158338,0.158338,0.158338,0.0659392,0.00240516,nan,0.0065184
318,0.154877,0.0817856,0.0817856,0.0817856,0.0817856,0.000466323,0.00126578,0.00126578,0.00126578,0.00126578,0.0446567,0.116949,0.116949,0.116949,0.116949,0.0659798,0.15845,0.15845,0.15845,0.15845,0.0659798,0.00233161,nan,0.0063289
319,0.15496,0.0819967,0.0819967,0.0819967,0.0819967,0.00045214,0.00122926,0.00122926,0.00122926,0.00122926,0.044588,0.116774,0.116774,0.116774,0.116774,0.0660192,0.158559,0.158559,0.158559,0.158559,0.0660192,0.0022607,nan,0.00614628
320,0.155044,0.0822102,0.0822102,0.0822102,0.0822102,0.000438465,0.00119405,0.00119405,0.00119405,0.00119405,0.0445179,0.116596,0.116596,0.116596,0.116596,0.0660575,0.158666,0.158666,0.158666,0.158666,0.0660575,0.00219233,nan,0.00597026
321,0.155128,0.082426,0.082426,0.082426,0.082426,0.00042528,0.00116012,0.00116012,0.00116012,0.00116012,0.0444464,0.116414,0.116414,0.116414,0.116414,0.0660947,0.158769,0.158769,0.158769,0.158769,0.0660947,0.0021264,nan,0.00580059
322,0.155214,0.082644,0.082644,0.082644,0.082644,0.000412567,0.00112741,0.00112741,0.00112741,0.00112741,0.0443736,0.116229,0.116229,0.116229,0.116229,0.0661309,0.15887,0.15887,0.15887,0.15887,0.0661309,0.00206284,nan,0.00563705
323,0.1553,0.082864,0.082864,0.082864,0.082864,0.00040031,0.00109587,0.00109587,0.00109587,0.00109587,0.0442996,0.11604,0.11604,0.11604,0.11604,0.066166,0.158968,0.158968,0.158968,0.158968,0.066166,0.00200155,nan,0.00547937
