t,Sv0,Sg0,Sg1,Sg2,Sg3,Iv0,Ig0,Ig1,Ig2,Ig3,Rv0,Rg0,Rg1,Rg2,Rg3,cumIv0,cumIg0,cumIg1,cumIg2,cumIg3,cumIv, pIv,pIs,pIg
0,0.19998,0.19998,0.19998,0.19998,0.19998,2.00E-05,2.00E-05,2.00E-05,2.00E-05,2.00E-05,0,0,0,0,0,0,0,0,0,0,0,0.0001,nan,0.0001
1,0.199976,0.199976,0.199976,0.199976,0.199976,2.17E-05,2.17E-05,2.17E-05,2.17E-05,2.17E-05,2.43E-06,2.43E-06,2.43E-06,2.43E-06,2.43E-06,4.13E-06,4.13E-06,4.13E-06,4.13E-06,4.13E-06,4.13E-06,0.000108509,nan,0.000108509
2,0.199971,0.199971,0.199971,0.199971,0.199971,2.35E-05,2.35E-05,2.35E-05,2.35E-05,2.35E-05,5.06E-06,5.06E-06,5.06E-06,5.06E-06,5.06E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,0.000117741,nan,0.000117741
3,0.199967,0.199967,0.199967,0.199967,0.199967,2.56E-05,2.56E-05,2.56E-05,2.56E-05,2.56E-05,7.90E-06,7.90E-06,7.90E-06,7.90E-06,7.90E-06,1.35E-05,1.35E-05,1.35E-05,1.35E-05,1.35E-05,1.35E-05,0.000127759,nan,0.000127759
4,0.199961,0.199961,0.199961,0.199961,0.199961,2.77E-05,2.77E-05,2.77E-05,2.77E-05,2.77E-05,1.10E-05,1.10E-05,1.10E-05,1.10E-05,1.10E-05,1.88E-05,1.88E-05,1.88E-05,1.88E-05,1.88E-05,1.88E-05,0.000138628,nan,0.000138628
5,0.199956,0.199956,0.199956,0.199956,0.199956,3.01E-05,3.01E-05,3.01E-05,3.01E-05,3.01E-05,1.43E-05,1.43E-05,1.43E-05,1.43E-05,1.43E-05,2.45E-05,2.45E-05,2.45E-05,2.45E-05,2.45E-05,2.45E-05,0.00015042,nan,0.00015042
6,0.199949,0.199949,0.199949,0.199949,0.199949,3.26E-05,3.26E-05,3.26E-05,3.26E-05,3.26E-05,1.79E-05,1.79E-05,1.79E-05,1.79E-05,1.79E-05,3.07E-05,3.07E-05,3.07E-05,3.07E-05,3.07E-05,3.07E-05,0.000163215,nan,0.000163215
7,0.199943,0.199943,0.199943,0.199943,0.199943,3.54E-05,3.54E-05,3.54E-05,3.54E-05,3.54E-05,2.18E-05,2.18E-05,2.18E-05,2.18E-05,2.18E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05,0.000177098,nan,0.000177098
8,0.199935,0.199935,0.199935,0.199935,0.199935,3.84E-05,3.84E-05,3.84E-05,3.84E-05,3.84E-05,2.61E-05,2.61E-05,2.61E-05,2.61E-05,2.61E-05,4.48E-05,4.48E-05,4.48E-05,4.48E-05,4.48E-05,4.48E-05,0.000192159,nan,0.000192159
9,0.199928,0.199928,0.199928,0.199928,0.199928,4.17E-05,4.17E-05,4.17E-05,4.17E-05,4.17E-05,3.07E-05,3.07E-05,3.07E-05,3.07E-05,3.07E-05,5.27E-05,5.27E-05,5.27E-05,5.27E-05,5.27E-05,5.27E-05,0.000208501,nan,0.000208501
10,0.199919,0.199919,0.199919,0.199919,0.199919,4.52E-05,4.52E-05,4.52E-05,4.52E-05,4.52E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,6.13E-05,6.13E-05,6.13E-05,6.13E-05,6.13E-05,6.13E-05,0.000226229,nan,0.000226229
11,0.19991,0.19991,0.19991,0.19991,0.19991,4.91E-05,4.91E-05,4.91E-05,4.91E-05,4.91E-05,4.11E-05,4.11E-05,4.11E-05,4.11E-05,4.11E-05,7.07E-05,7.07E-05,7.07E-05,7.07E-05,7.07E-05,7.07E-05,0.000245464,nan,0.000245464
12,0.1999,0.1999,0.1999,0.1999,0.1999,5.33E-05,5.33E-05,5.33E-05,5.33E-05,5.33E-05,4.69E-05,4.69E-05,4.69E-05,4.69E-05,4.69E-05,8.08E-05,8.08E-05,8.08E-05,8.08E-05,8.08E-05,8.08E-05,0.000266331,nan,0.000266331
13,0.199889,0.199889,0.199889,0.199889,0.199889,5.78E-05,5.78E-05,5.78E-05,5.78E-05,5.78E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,9.18E-05,9.18E-05,9.18E-05,9.18E-05,9.18E-05,9.18E-05,0.000288969,nan,0.000288969
14,0.199877,0.199877,0.199877,0.199877,0.199877,6.27E-05,6.27E-05,6.27E-05,6.27E-05,6.27E-05,6.01E-05,6.01E-05,6.01E-05,6.01E-05,6.01E-05,0.000103766,0.000103766,0.000103766,0.000103766,0.000103766,0.000103766,0.000313527,nan,0.000313527
15,0.199864,0.199864,0.199864,0.199864,0.199864,6.80E-05,6.80E-05,6.80E-05,6.80E-05,6.80E-05,6.76E-05,6.76E-05,6.76E-05,6.76E-05,6.76E-05,0.000116718,0.000116718,0.000116718,0.000116718,0.000116718,0.000116718,0.000340169,nan,0.000340169
16,0.199851,0.199851,0.199851,0.199851,0.199851,7.38E-05,7.38E-05,7.38E-05,7.38E-05,7.38E-05,7.56E-05,7.56E-05,7.56E-05,7.56E-05,7.56E-05,0.00013077,0.00013077,0.00013077,0.00013077,0.00013077,0.00013077,0.000369069,nan,0.000369069
17,0.199836,0.199836,0.199836,0.199836,0.199836,8.01E-05,8.01E-05,8.01E-05,8.01E-05,8.01E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,0.000146014,0.000146014,0.000146014,0.000146014,0.000146014,0.000146014,0.00040042,nan,0.00040042
18,0.199819,0.199819,0.199819,0.199819,0.199819,8.69E-05,8.69E-05,8.69E-05,8.69E-05,8.69E-05,9.39E-05,9.39E-05,9.39E-05,9.39E-05,9.39E-05,0.000162552,0.000162552,0.000162552,0.000162552,0.000162552,0.000162552,0.000434426,nan,0.000434426
19,0.199802,0.199802,0.199802,0.199802,0.199802,9.43E-05,9.43E-05,9.43E-05,9.43E-05,9.43E-05,0.000104184,0.000104184,0.000104184,0.000104184,0.000104184,0.000180493,0.000180493,0.000180493,0.000180493,0.000180493,0.000180493,0.000471313,nan,0.000471313
20,0.199782,0.199782,0.199782,0.199782,0.199782,0.000102264,0.000102264,0.000102264,0.000102264,0.000102264,0.000115343,0.000115343,0.000115343,0.000115343,0.000115343,0.000199955,0.000199955,0.000199955,0.000199955,0.000199955,0.000199955,0.000511322,nan,0.000511322
21,0.199762,0.199762,0.199762,0.199762,0.199762,0.000110943,0.000110943,0.000110943,0.000110943,0.000110943,0.000127444,0.000127444,0.000127444,0.000127444,0.000127444,0.000221067,0.000221067,0.000221067,0.000221067,0.000221067,0.000221067,0.000554717,nan,0.000554717
22,0.199739,0.199739,0.199739,0.199739,0.199739,0.000120356,0.000120356,0.000120356,0.000120356,0.000120356,0.000140565,0.000140565,0.000140565,0.000140565,0.000140565,0.000243968,0.000243968,0.000243968,0.000243968,0.000243968,0.000243968,0.000601781,nan,0.000601781
23,0.199715,0.199715,0.199715,0.199715,0.199715,0.000130565,0.000130565,0.000130565,0.000130565,0.000130565,0.000154793,0.000154793,0.000154793,0.000154793,0.000154793,0.000268808,0.000268808,0.000268808,0.000268808,0.000268808,0.000268808,0.000652824,nan,0.000652824
24,0.199688,0.199688,0.199688,0.199688,0.199688,0.000141636,0.000141636,0.000141636,0.000141636,0.000141636,0.000170221,0.000170221,0.000170221,0.000170221,0.000170221,0.000295752,0.000295752,0.000295752,0.000295752,0.000295752,0.000295752,0.000708178,nan,0.000708178
25,0.199659,0.199659,0.199659,0.199659,0.199659,0.000153641,0.000153641,0.000153641,0.000153641,0.000153641,0.00018695,0.00018695,0.00018695,0.00018695,0.00018695,0.000324976,0.000324976,0.000324976,0.000324976,0.000324976,0.000324976,0.000768204,nan,0.000768204
26,0.199628,0.199628,0.199628,0.199628,0.199628,0.000166659,0.000166659,0.000166659,0.000166659,0.000166659,0.000205091,0.000205091,0.000205091,0.000205091,0.000205091,0.000356672,0.000356672,0.000356672,0.000356672,0.000356672,0.000356672,0.000833294,nan,0.000833294
27,0.199594,0.199594,0.199594,0.199594,0.199594,0.000180774,0.000180774,0.000180774,0.000180774,0.000180774,0.000224763,0.000224763,0.000224763,0.000224763,0.000224763,0.000391047,0.000391047,0.000391047,0.000391047,0.000391047,0.000391047,0.00090387,nan,0.00090387
28,0.199558,0.199558,0.199558,0.199558,0.199558,0.000196078,0.000196078,0.000196078,0.000196078,0.000196078,0.000246094,0.000246094,0.000246094,0.000246094,0.000246094,0.000428327,0.000428327,0.000428327,0.000428327,0.000428327,0.000428327,0.000980389,nan,0.000980389
29,0.199518,0.199518,0.199518,0.199518,0.199518,0.000212669,0.000212669,0.000212669,0.000212669,0.000212669,0.000269224,0.000269224,0.000269224,0.000269224,0.000269224,0.000468754,0.000468754,0.000468754,0.000468754,0.000468754,0.000468754,0.00106335,nan,0.00106335
30,0.199475,0.199475,0.199475,0.199475,0.199475,0.000230655,0.000230655,0.000230655,0.000230655,0.000230655,0.000294305,0.000294305,0.000294305,0.000294305,0.000294305,0.000512591,0.000512591,0.000512591,0.000512591,0.000512591,0.000512591,0.00115327,nan,0.00115327
31,0.199428,0.199428,0.199428,0.199428,0.199428,0.000250151,0.000250151,0.000250151,0.000250151,0.000250151,0.000321499,0.000321499,0.000321499,0.000321499,0.000321499,0.000560125,0.000560125,0.000560125,0.000560125,0.000560125,0.000560125,0.00125075,nan,0.00125075
32,0.199378,0.199378,0.199378,0.199378,0.199378,0.000271281,0.000271281,0.000271281,0.000271281,0.000271281,0.000350985,0.000350985,0.000350985,0.000350985,0.000350985,0.000611662,0.000611662,0.000611662,0.000611662,0.000611662,0.000611662,0.0013564,nan,0.0013564
33,0.199323,0.199323,0.199323,0.199323,0.199323,0.000294181,0.000294181,0.000294181,0.000294181,0.000294181,0.000382955,0.000382955,0.000382955,0.000382955,0.000382955,0.000667536,0.000667536,0.000667536,0.000667536,0.000667536,0.000667536,0.0014709,nan,0.0014709
34,0.199263,0.199263,0.199263,0.199263,0.199263,0.000318996,0.000318996,0.000318996,0.000318996,0.000318996,0.000417616,0.000417616,0.000417616,0.000417616,0.000417616,0.000728108,0.000728108,0.000728108,0.000728108,0.000728108,0.000728108,0.00159498,nan,0.00159498
35,0.199199,0.199199,0.199199,0.199199,0.199199,0.000345883,0.000345883,0.000345883,0.000345883,0.000345883,0.000455193,0.000455193,0.000455193,0.000455193,0.000455193,0.000793767,0.000793767,0.000793767,0.000793767,0.000793767,0.000793767,0.00172941,nan,0.00172941
36,0.199129,0.199129,0.199129,0.199129,0.199129,0.000375011,0.000375011,0.000375011,0.000375011,0.000375011,0.000495929,0.000495929,0.000495929,0.000495929,0.000495929,0.000864933,0.000864933,0.000864933,0.000864933,0.000864933,0.000864933,0.00187505,nan,0.00187505
37,0.199053,0.199053,0.199053,0.199053,0.199053,0.000406563,0.000406563,0.000406563,0.000406563,0.000406563,0.000540088,0.000540088,0.000540088,0.000540088,0.000540088,0.000942062,0.000942062,0.000942062,0.000942062,0.000942062,0.000942062,0.00203281,nan,0.00203281
38,0.198971,0.198971,0.198971,0.198971,0.198971,0.000440735,0.000440735,0.000440735,0.000440735,0.000440735,0.000587953,0.000587953,0.000587953,0.000587953,0.000587953,0.00102564,0.00102564,0.00102564,0.00102564,0.00102564,0.00102564,0.00220367,nan,0.00220367
39,0.198882,0.198882,0.198882,0.198882,0.198882,0.000477738,0.000477738,0.000477738,0.000477738,0.000477738,0.000639832,0.000639832,0.000639832,0.000639832,0.000639832,0.00111621,0.00111621,0.00111621,0.00111621,0.00111621,0.00111621,0.00238869,nan,0.00238869
40,0.198786,0.198786,0.198786,0.198786,0.198786,0.000517801,0.000517801,0.000517801,0.000517801,0.000517801,0.000696058,0.000696058,0.000696058,0.000696058,0.000696058,0.00121433,0.00121433,0.00121433,0.00121433,0.00121433,0.00121433,0.00258901,nan,0.00258901
41,0.198682,0.198682,0.198682,0.198682,0.198682,0.000561168,0.000561168,0.000561168,0.000561168,0.000561168,0.000756988,0.000756988,0.000756988,0.000756988,0.000756988,0.00132061,0.00132061,0.00132061,0.00132061,0.00132061,0.00132061,0.00280584,nan,0.00280584
42,0.198569,0.198569,0.198569,0.198569,0.198569,0.000608102,0.000608102,0.000608102,0.000608102,0.000608102,0.000823011,0.000823011,0.000823011,0.000823011,0.000823011,0.00143573,0.00143573,0.00143573,0.00143573,0.00143573,0.00143573,0.00304051,nan,0.00304051
43,0.198447,0.198447,0.198447,0.198447,0.198447,0.000658883,0.000658883,0.000658883,0.000658883,0.000658883,0.000894544,0.000894544,0.000894544,0.000894544,0.000894544,0.0015604,0.0015604,0.0015604,0.0015604,0.0015604,0.0015604,0.00329442,nan,0.00329442
44,0.198314,0.198314,0.198314,0.198314,0.198314,0.000713816,0.000713816,0.000713816,0.000713816,0.000713816,0.000972037,0.000972037,0.000972037,0.000972037,0.000972037,0.00169538,0.00169538,0.00169538,0.00169538,0.00169538,0.00169538,0.00356908,nan,0.00356908
45,0.198171,0.198171,0.198171,0.198171,0.198171,0.000773222,0.000773222,0.000773222,0.000773222,0.000773222,0.00105598,0.00105598,0.00105598,0.00105598,0.00105598,0.0018415,0.0018415,0.0018415,0.0018415,0.0018415,0.0018415,0.00386611,nan,0.00386611
46,0.198016,0.198016,0.198016,0.198016,0.198016,0.000837449,0.000837449,0.000837449,0.000837449,0.000837449,0.00114689,0.00114689,0.00114689,0.00114689,0.00114689,0.00199966,0.00199966,0.00199966,0.00199966,0.00199966,0.00199966,0.00418724,nan,0.00418724
47,0.197848,0.197848,0.197848,0.197848,0.197848,0.000906865,0.000906865,0.000906865,0.000906865,0.000906865,0.00124533,0.00124533,0.00124533,0.00124533,0.00124533,0.00217079,0.00217079,0.00217079,0.00217079,0.00217079,0.00217079,0.00453433,nan,0.00453433
48,0.197666,0.197666,0.197666,0.197666,0.197666,0.000981865,0.000981865,0.000981865,0.000981865,0.000981865,0.00135192,0.00135192,0.00135192,0.00135192,0.00135192,0.00235594,0.00235594,0.00235594,0.00235594,0.00235594,0.00235594,0.00490933,nan,0.00490933
49,0.19747,0.19747,0.19747,0.19747,0.19747,0.00106287,0.00106287,0.00106287,0.00106287,0.00106287,0.0014673,0.0014673,0.0014673,0.0014673,0.0014673,0.00255618,0.00255618,0.00255618,0.00255618,0.00255618,0.00255618,0.00531435,nan,0.00531435
50,0.197257,0.197257,0.197257,0.197257,0.197257,0.00115032,0.00115032,0.00115032,0.00115032,0.00115032,0.00159218,0.00159218,0.00159218,0.00159218,0.00159218,0.0027727,0.0027727,0.0027727,0.0027727,0.0027727,0.0027727,0.00575161,nan,0.00575161
51,0.197028,0.197028,0.197028,0.197028,0.197028,0.0012447,0.0012447,0.0012447,0.0012447,0.0012447,0.0017273,0.0017273,0.0017273,0.0017273,0.0017273,0.00300675,0.00300675,0.00300675,0.00300675,0.00300675,0.00300675,0.0062235,nan,0.0062235
52,0.19678,0.19678,0.19678,0.19678,0.19678,0.0013465,0.0013465,0.0013465,0.0013465,0.0013465,0.00187348,0.00187348,0.00187348,0.00187348,0.00187348,0.00325966,0.00325966,0.00325966,0.00325966,0.00325966,0.00325966,0.0067325,nan,0.0067325
53,0.196512,0.196512,0.196512,0.196512,0.196512,0.00145625,0.00145625,0.00145625,0.00145625,0.00145625,0.00203159,0.00203159,0.00203159,0.00203159,0.00203159,0.00353286,0.00353286,0.00353286,0.00353286,0.00353286,0.00353286,0.00728127,nan,0.00728127
54,0.196223,0.196223,0.196223,0.196223,0.196223,0.00157452,0.00157452,0.00157452,0.00157452,0.00157452,0.00220254,0.00220254,0.00220254,0.00220254,0.00220254,0.00382787,0.00382787,0.00382787,0.00382787,0.00382787,0.00382787,0.0078726,nan,0.0078726
55,0.195911,0.195911,0.195911,0.195911,0.195911,0.00170188,0.00170188,0.00170188,0.00170188,0.00170188,0.00238733,0.00238733,0.00238733,0.00238733,0.00238733,0.00414631,0.00414631,0.00414631,0.00414631,0.00414631,0.00414631,0.00850942,nan,0.00850942
56,0.195574,0.195574,0.195574,0.195574,0.195574,0.00183896,0.00183896,0.00183896,0.00183896,0.00183896,0.00258701,0.00258701,0.00258701,0.00258701,0.00258701,0.00448988,0.00448988,0.00448988,0.00448988,0.00448988,0.00448988,0.00919478,nan,0.00919478
57,0.195211,0.195211,0.195211,0.195211,0.195211,0.00198638,0.00198638,0.00198638,0.00198638,0.00198638,0.00280272,0.00280272,0.00280272,0.00280272,0.00280272,0.00486039,0.00486039,0.00486039,0.00486039,0.00486039,0.00486039,0.00993191,nan,0.00993191
58,0.19482,0.19482,0.19482,0.19482,0.19482,0.00214482,0.00214482,0.00214482,0.00214482,0.00214482,0.00303565,0.00303565,0.00303565,0.00303565,0.00303565,0.00525976,0.00525976,0.00525976,0.00525976,0.00525976,0.00525976,0.0107241,nan,0.0107241
59,0.194398,0.194398,0.194398,0.194398,0.194398,0.00231497,0.00231497,0.00231497,0.00231497,0.00231497,0.00328709,0.00328709,0.00328709,0.00328709,0.00328709,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.0115748,nan,0.0115748
60,0.193944,0.193944,0.193944,0.193944,0.193944,0.00249753,0.00249753,0.00249753,0.00249753,0.00249753,0.00355838,0.00355838,0.00355838,0.00355838,0.00355838,0.00615322,0.00615322,0.00615322,0.00615322,0.00615322,0.00615322,0.0124876,nan,0.0124876
61,0.193456,0.193456,0.193456,0.193456,0.193456,0.00269322,0.00269322,0.00269322,0.00269322,0.00269322,0.00385096,0.00385096,0.00385096,0.00385096,0.00385096,0.00665164,0.00665164,0.00665164,0.00665164,0.00665164,0.00665164,0.0134661,nan,0.0134661
62,0.192931,0.192931,0.192931,0.192931,0.192931,0.0029028,0.0029028,0.0029028,0.0029028,0.0029028,0.00416635,0.00416635,0.00416635,0.00416635,0.00416635,0.00718758,0.00718758,0.00718758,0.00718758,0.00718758,0.00718758,0.014514,nan,0.014514
63,0.192367,0.192367,0.192367,0.192367,0.192367,0.00312699,0.00312699,0.00312699,0.00312699,0.00312699,0.00450614,0.00450614,0.00450614,0.00450614,0.00450614,0.00776344,0.00776344,0.00776344,0.00776344,0.00776344,0.00776344,0.0156349,nan,0.0156349
64,0.191761,0.191761,0.191761,0.191761,0.191761,0.00336654,0.00336654,0.00336654,0.00336654,0.00336654,0.00487202,0.00487202,0.00487202,0.00487202,0.00487202,0.00838171,0.00838171,0.00838171,0.00838171,0.00838171,0.00838171,0.0168327,nan,0.0168327
65,0.191112,0.191112,0.191112,0.191112,0.191112,0.0036222,0.0036222,0.0036222,0.0036222,0.0036222,0.00526574,0.00526574,0.00526574,0.00526574,0.00526574,0.00904497,0.00904497,0.00904497,0.00904497,0.00904497,0.00904497,0.018111,nan,0.018111
66,0.190416,0.190416,0.190416,0.190416,0.190416,0.00389467,0.00389467,0.00389467,0.00389467,0.00389467,0.00568915,0.00568915,0.00568915,0.00568915,0.00568915,0.00975585,0.00975585,0.00975585,0.00975585,0.00975585,0.00975585,0.0194733,nan,0.0194733
67,0.189671,0.189671,0.189671,0.189671,0.189671,0.00418464,0.00418464,0.00418464,0.00418464,0.00418464,0.00614417,0.00614417,0.00614417,0.00614417,0.00614417,0.010517,0.010517,0.010517,0.010517,0.010517,0.010517,0.0209232,nan,0.0209232
68,0.188874,0.188874,0.188874,0.188874,0.188874,0.00449277,0.00449277,0.00449277,0.00449277,0.00449277,0.00663278,0.00663278,0.00663278,0.00663278,0.00663278,0.0113313,0.0113313,0.0113313,0.0113313,0.0113313,0.0113313,0.0224638,nan,0.0224638
69,0.188023,0.188023,0.188023,0.188023,0.188023,0.00481964,0.00481964,0.00481964,0.00481964,0.00481964,0.00715705,0.00715705,0.00715705,0.00715705,0.00715705,0.0122013,0.0122013,0.0122013,0.0122013,0.0122013,0.0122013,0.0240982,nan,0.0240982
70,0.187115,0.187115,0.187115,0.187115,0.187115,0.0051658,0.0051658,0.0051658,0.0051658,0.0051658,0.0077191,0.0077191,0.0077191,0.0077191,0.0077191,0.0131299,0.0131299,0.0131299,0.0131299,0.0131299,0.0131299,0.025829,nan,0.025829
71,0.186147,0.186147,0.186147,0.186147,0.186147,0.00553166,0.00553166,0.00553166,0.00553166,0.00553166,0.0083211,0.0083211,0.0083211,0.0083211,0.0083211,0.0141197,0.0141197,0.0141197,0.0141197,0.0141197,0.0141197,0.0276583,nan,0.0276583
72,0.185599,0.185559,0.185559,0.185559,0.185559,0.00545695,0.00549525,0.00549525,0.00549525,0.00549525,0.00894377,0.0089456,0.0089456,0.0089456,0.0089456,0.0146913,0.0147314,0.0147314,0.0147314,0.0147314,0.0146913,0.0272848,nan,0.0274762
73,0.185155,0.185068,0.185068,0.185068,0.185068,0.00529882,0.00537711,0.00537711,0.00537711,0.00537711,0.00954593,0.00955461,0.00955461,0.00955461,0.00955461,0.0151607,0.0152477,0.0152477,0.0152477,0.0152477,0.0151607,0.0264941,nan,0.0268856
74,0.184725,0.184592,0.184592,0.184592,0.184592,0.00514686,0.00525956,0.00525956,0.00525956,0.00525956,0.0101284,0.0101482,0.0101482,0.0101482,0.0101482,0.0156181,0.0157507,0.0157507,0.0157507,0.0157507,0.0156181,0.0257343,nan,0.0262978
75,0.184308,0.184131,0.184131,0.184131,0.184131,0.00500059,0.00514277,0.00514277,0.00514277,0.00514277,0.0106919,0.0107265,0.0107265,0.0107265,0.0107265,0.0160639,0.0162408,0.0162408,0.0162408,0.0162408,0.0160639,0.025003,nan,0.0257139
76,0.183903,0.183683,0.183683,0.183683,0.183683,0.00485963,0.00502689,0.00502689,0.00502689,0.00502689,0.0112371,0.0112897,0.0112897,0.0112897,0.0112897,0.0164982,0.0167183,0.0167183,0.0167183,0.0167183,0.0164982,0.0242982,nan,0.0251345
77,0.183512,0.18325,0.18325,0.18325,0.18325,0.0047236,0.00491207,0.00491207,0.00491207,0.00491207,0.0117646,0.0118379,0.0118379,0.0118379,0.0118379,0.0169212,0.0171834,0.0171834,0.0171834,0.0171834,0.0169212,0.023618,nan,0.0245603
78,0.183133,0.18283,0.18283,0.18283,0.18283,0.00459217,0.00479843,0.00479843,0.00479843,0.00479843,0.0122752,0.0123713,0.0123713,0.0123713,0.0123713,0.0173333,0.0176363,0.0176363,0.0176363,0.0176363,0.0173333,0.0229609,nan,0.0239921
79,0.182766,0.182424,0.182424,0.182424,0.182424,0.00446506,0.00468608,0.00468608,0.00468608,0.00468608,0.0127693,0.0128901,0.0128901,0.0128901,0.0128901,0.0177346,0.0180773,0.0180773,0.0180773,0.0180773,0.0177346,0.0223253,nan,0.0234304
80,0.182411,0.18203,0.18203,0.18203,0.18203,0.004342,0.00457511,0.00457511,0.00457511,0.00457511,0.0132475,0.0133944,0.0133944,0.0133944,0.0133944,0.0181253,0.0185067,0.0185067,0.0185067,0.0185067,0.0181253,0.02171,nan,0.0228756
81,0.182067,0.18165,0.18165,0.18165,0.18165,0.00422277,0.00446563,0.00446563,0.00446563,0.00446563,0.0137102,0.0138845,0.0138845,0.0138845,0.0138845,0.0185058,0.0189247,0.0189247,0.0189247,0.0189247,0.0185058,0.0211139,nan,0.0223281
82,0.181735,0.181282,0.181282,0.181282,0.181282,0.00410716,0.00435769,0.00435769,0.00435769,0.00435769,0.014158,0.0143606,0.0143606,0.0143606,0.0143606,0.0188762,0.0193315,0.0193315,0.0193315,0.0193315,0.0188762,0.0205358,nan,0.0217884
83,0.181414,0.180926,0.180926,0.180926,0.180926,0.00399498,0.00425136,0.00425136,0.00425136,0.00425136,0.0145913,0.0148229,0.0148229,0.0148229,0.0148229,0.0192367,0.0197275,0.0197275,0.0197275,0.0197275,0.0192367,0.0199749,nan,0.0212568
84,0.181103,0.180582,0.180582,0.180582,0.180582,0.00388606,0.00414671,0.00414671,0.00414671,0.00414671,0.0150106,0.0152716,0.0152716,0.0152716,0.0152716,0.0195875,0.0201128,0.0201128,0.0201128,0.0201128,0.0195875,0.0194303,nan,0.0207335
85,0.180804,0.180249,0.180249,0.180249,0.180249,0.00378024,0.00404377,0.00404377,0.00404377,0.00404377,0.0154162,0.0157071,0.0157071,0.0157071,0.0157071,0.019929,0.0204877,0.0204877,0.0204877,0.0204877,0.019929,0.0189012,nan,0.0202189
86,0.180514,0.179928,0.179928,0.179928,0.179928,0.0036774,0.00394259,0.00394259,0.00394259,0.00394259,0.0158085,0.0161294,0.0161294,0.0161294,0.0161294,0.0202613,0.0208525,0.0208525,0.0208525,0.0208525,0.0202613,0.018387,nan,0.0197129
87,0.180235,0.179618,0.179618,0.179618,0.179618,0.00357741,0.00384319,0.00384319,0.00384319,0.00384319,0.0161879,0.0165389,0.0165389,0.0165389,0.0165389,0.0205845,0.0212073,0.0212073,0.0212073,0.0212073,0.0205845,0.0178871,nan,0.019216
88,0.179965,0.179319,0.179319,0.179319,0.179319,0.00348015,0.00374561,0.00374561,0.00374561,0.00374561,0.0165548,0.0169358,0.0169358,0.0169358,0.0169358,0.020899,0.0215525,0.0215525,0.0215525,0.0215525,0.020899,0.0174008,nan,0.0187281
89,0.179705,0.17903,0.17903,0.17903,0.17903,0.00338552,0.00364986,0.00364986,0.00364986,0.00364986,0.0169095,0.0173203,0.0173203,0.0173203,0.0173203,0.0212049,0.0218882,0.0218882,0.0218882,0.0218882,0.0212049,0.0169276,nan,0.0182493
90,0.179454,0.178751,0.178751,0.178751,0.178751,0.00329343,0.00355597,0.00355597,0.00355597,0.00355597,0.0172524,0.0176928,0.0176928,0.0176928,0.0176928,0.0215025,0.0222148,0.0222148,0.0222148,0.0222148,0.0215025,0.0164672,nan,0.0177798
91,0.179212,0.178483,0.178483,0.178483,0.178483,0.00320379,0.00346393,0.00346393,0.00346393,0.00346393,0.0175837,0.0180534,0.0180534,0.0180534,0.0180534,0.0217919,0.0225323,0.0225323,0.0225323,0.0225323,0.0217919,0.0160189,nan,0.0173196
92,0.17898,0.178224,0.178224,0.178224,0.178224,0.00311651,0.00337375,0.00337375,0.00337375,0.00337375,0.0179038,0.0184024,0.0184024,0.0184024,0.0184024,0.0220734,0.022841,0.022841,0.022841,0.022841,0.0220734,0.0155825,nan,0.0168687
93,0.178755,0.177975,0.177975,0.177975,0.177975,0.00303152,0.00328544,0.00328544,0.00328544,0.00328544,0.0182131,0.01874,0.01874,0.01874,0.01874,0.0223471,0.0231412,0.0231412,0.0231412,0.0231412,0.0223471,0.0151576,nan,0.0164272
94,0.17854,0.177734,0.177734,0.177734,0.177734,0.00294876,0.00319899,0.00319899,0.00319899,0.00319899,0.0185116,0.0190665,0.0190665,0.0190665,0.0190665,0.0226132,0.0234331,0.0234331,0.0234331,0.0234331,0.0226132,0.0147438,nan,0.015995
95,0.178332,0.177503,0.177503,0.177503,0.177503,0.00286815,0.0031144,0.0031144,0.0031144,0.0031144,0.0187999,0.0193822,0.0193822,0.0193822,0.0193822,0.022872,0.0237169,0.0237169,0.0237169,0.0237169,0.022872,0.0143408,nan,0.015572
96,0.178132,0.177281,0.177281,0.177281,0.177281,0.00278964,0.00303166,0.00303166,0.00303166,0.00303166,0.0190781,0.0196873,0.0196873,0.0196873,0.0196873,0.0231236,0.0239927,0.0239927,0.0239927,0.0239927,0.0231236,0.0139482,nan,0.0151583
97,0.17794,0.177067,0.177067,0.177067,0.177067,0.00271317,0.00295075,0.00295075,0.00295075,0.00295075,0.0193465,0.0199819,0.0199819,0.0199819,0.0199819,0.0233682,0.0242608,0.0242608,0.0242608,0.0242608,0.0233682,0.0135659,nan,0.0147538
98,0.177756,0.176862,0.176862,0.176862,0.176862,0.00263868,0.00287167,0.00287167,0.00287167,0.00287167,0.0196054,0.0202665,0.0202665,0.0202665,0.0202665,0.0236059,0.0245214,0.0245214,0.0245214,0.0245214,0.0236059,0.0131934,nan,0.0143584
