 Iv,Is,Ig
0.0001,0.0001,0.0001
0.000108463,0.000108463,0.000108474
0.000117643,0.000117643,0.000117666
0.000127601,0.000127601,0.000127635
0.000138401,0.000138401,0.000138448
0.000150116,0.000150116,0.000150176
0.000162823,0.000162823,0.000162896
0.000176604,0.000176604,0.000176692
0.000191552,0.000191552,0.000191655
0.000207764,0.000207764,0.000207884
0.000225346,0.000225346,0.000225484
0.000244416,0.000244416,0.000244572
0.000265097,0.000265097,0.000265272
0.000287526,0.000287526,0.000287722
0.000311849,0.000311849,0.000312069
0.000338227,0.000338227,0.00033847
0.000366832,0.000366832,0.000367101
0.00039785,0.00039785,0.000398148
0.000431486,0.000431486,0.000431813
0.000467957,0.000467957,0.000468317
0.000507503,0.000507503,0.000507897
0.00055038,0.00055038,0.000550812
0.000596868,0.000596868,0.00059734
0.000647267,0.000647267,0.000647784
0.000701905,0.000701905,0.000702469
0.000761136,0.000761136,0.00076175
0.00082534,0.00082534,0.000826009
0.000894932,0.000894932,0.000895661
0.000970359,0.000970359,0.000971152
0.0010521,0.0010521,0.00105297
0.00114069,0.00114069,0.00114163
0.00123668,0.00123668,0.0012377
0.00134068,0.00134068,0.00134179
0.00145336,0.00145336,0.00145456
0.00157542,0.00157542,0.00157673
0.00170763,0.00170763,0.00170904
0.00185081,0.00185081,0.00185234
0.00200585,0.00200585,0.00200752
0.00217371,0.00217371,0.00217552
0.00235543,0.00235543,0.00235739
0.00255211,0.00255211,0.00255423
0.00276494,0.00276494,0.00276724
0.0029952,0.0029952,0.00299769
0.00324426,0.00324426,0.00324697
0.00351361,0.00351361,0.00351653
0.0038048,0.0038048,0.00380797
0.00411953,0.00411953,0.00412296
0.00445959,0.00445959,0.0044633
0.0048269,0.0048269,0.00483092
0.00522351,0.00522351,0.00522785
0.00565158,0.00565158,0.00565627
0.00611342,0.00611342,0.0061185
0.00661147,0.00661147,0.00661695
0.00714831,0.00714831,0.00715423
0.00772665,0.00772665,0.00773304
0.00834934,0.00834934,0.00835624
0.00901938,0.00901938,0.00902681
0.00973988,0.00973988,0.0097479
0.0105141,0.0105141,0.0105227
0.0113454,0.0113454,0.0113547
0.0122372,0.0122372,0.0122472
0.0131931,0.0131931,0.0132038
0.0142167,0.0142167,0.0142282
0.0153116,0.0153116,0.015324
0.0164815,0.0164815,0.0164948
0.01773,0.01773,0.0177443
0.0190607,0.0190607,0.019076
0.0204769,0.0204769,0.0204933
0.021982,0.021982,0.0219996
0.0235789,0.0235789,0.0235976
0.0252702,0.0252702,0.0252902
0.0270583,0.0270583,0.0270796
0.0266901,0.0268012,0.0269276
0.0259122,0.0261395,0.0263803
0.0251635,0.0254909,0.025835
0.0244421,0.0248555,0.0252923
0.0237464,0.0242331,0.0247531
0.0230748,0.0236238,0.0242177
0.0224261,0.0230273,0.0236869
0.0217988,0.0224436,0.0231611
0.0211919,0.0218726,0.0226407
0.0206042,0.0213141,0.0221262
0.0200349,0.0207679,0.0216179
0.0194831,0.020234,0.0211162
0.0189479,0.019712,0.0206213
0.0184285,0.0192019,0.0201336
0.0179244,0.0187034,0.0196531
0.0174349,0.0182165,0.0191802
0.0169593,0.0177408,0.018715
0.0164973,0.0172762,0.0182577
0.0160481,0.0168225,0.0178082
0.0156114,0.0163796,0.0173669
0.0151868,0.0159472,0.0169336
0.0147737,0.0155251,0.0165086
0.0143719,0.0151132,0.0160917
0.013981,0.0147113,0.0156831
0.0136006,0.0143191,0.0152827
0.0132304,0.0139365,0.0148905
0.0128702,0.0135634,0.0145065
0.0125195,0.0131994,0.0141306
0.0121782,0.0128445,0.0137629
0.0118459,0.0124984,0.0134033
0.0115225,0.012161,0.0130516
0.0112077,0.011832,0.0127078
0.0109012,0.0115114,0.0123719
0.0106028,0.011199,0.0120437
0.0103123,0.0108944,0.0117231
0.0100296,0.0105977,0.0114102
0.00975435,0.0103086,0.0111046
0.00948642,0.010027,0.0108064
0.00922561,0.00975264,0.0105154
0.00897174,0.00948542,0.0102315
0.00872464,0.00922517,0.00995466
0.00848414,0.00897173,0.00968464
0.00824803,0.00872643,0.00942793
0.00801486,0.00849064,0.0091901
0.00778549,0.00826421,0.00896991
0.00756062,0.00804703,0.0087662
0.00734082,0.00783897,0.00857795
0.00712657,0.00763987,0.00840422
0.00691824,0.0074496,0.00824417
0.00671612,0.00726803,0.00809704
0.00652045,0.007095,0.00796216
0.00633136,0.00693037,0.0078389
0.00614899,0.006774,0.00772671
0.00597337,0.00662574,0.00762511
0.00580454,0.00648544,0.00753366
0.0056425,0.00635297,0.00745197
0.00548719,0.00622819,0.00737969
