 Iv,Is,Ig
0.00530851,0.0116841,0.0305295
0.00548196,0.0122598,0.0321368
0.00566592,0.0128735,0.033839
0.00586066,0.0135268,0.0356394
0.00606643,0.0142216,0.0375409
0.00628342,0.0149596,0.0395459
0.00651182,0.0157424,0.0416563
0.00675173,0.0165715,0.0438733
0.0070032,0.0174482,0.0461972
0.00726621,0.0183736,0.0486273
0.00754065,0.0193486,0.0511618
0.00782629,0.0203738,0.0537976
0.00812282,0.0214491,0.0565299
0.00842978,0.0225744,0.0593526
0.00874657,0.0237489,0.0622577
0.00907245,0.024971,0.0652352
0.00940649,0.0262388,0.0682735
0.00974763,0.0275496,0.0713586
0.0100946,0.0288999,0.0744748
0.0104459,0.0302854,0.0776043
0.0108091,0.0316899,0.0806833
0.01119,0.0330941,0.0836433
0.011585,0.0344879,0.0864588
0.0119902,0.0358611,0.0891051
0.0124016,0.0372033,0.0915587
0.0128155,0.0385043,0.0937985
0.0132279,0.0397538,0.0958053
0.0136349,0.0409421,0.0975629
0.0140329,0.0420601,0.0990583
0.0144183,0.0430991,0.100281
0.0147876,0.0440516,0.101226
0.0151377,0.0449108,0.101888
0.0154657,0.0456711,0.102269
0.0157689,0.0463278,0.102373
0.0160451,0.0468777,0.102204
0.0162922,0.0473184,0.101774
0.0165087,0.0476488,0.101094
0.0166932,0.0478691,0.100177
0.0168449,0.0479802,0.0990385
0.0169631,0.0479843,0.0976961
0.0170476,0.0478843,0.0961672
0.0170985,0.0476839,0.09447
0.0171162,0.0473877,0.0926233
0.0171013,0.0470007,0.0906455
0.0170546,0.0465283,0.0885549
0.0169774,0.0459765,0.0863694
0.0168708,0.0453514,0.084106
0.0167363,0.0446594,0.081781
0.0165755,0.0439067,0.0794098
0.0163901,0.0430999,0.0770065
0.0161818,0.0422453,0.0745844
0.0159524,0.041349,0.0721556
0.0157037,0.0404171,0.0697309
0.0154377,0.0394553,0.0673203
0.0151561,0.0384693,0.0649326
0.0148607,0.0374641,0.0625753
0.0145533,0.0364448,0.0602554
0.0142356,0.035416,0.0579785
0.0139092,0.034382,0.0557495
0.0135757,0.0333466,0.0535727
0.0132367,0.0323135,0.0514513
0.0128934,0.031286,0.049388
0.0125473,0.0302669,0.0473849
0.0121996,0.0292591,0.0454434
0.0118515,0.0282648,0.0435646
0.0115039,0.0272861,0.041749
0.0111579,0.0263249,0.0399968
0.0108144,0.0253826,0.0383077
0.0104741,0.0244606,0.0366813
0.0101378,0.02356,0.0351168
0.00980616,0.0226818,0.0336133
0.00947971,0.0218265,0.0321697
0.00915897,0.0209949,0.0307846
0.00884437,0.0201872,0.0294565
0.0085363,0.0194038,0.0281841
0.00823506,0.0186448,0.0269657
0.00794091,0.0179101,0.0257996
0.00765408,0.0171998,0.0246841
0.00737472,0.0165136,0.0236175
0.00710296,0.0158514,0.0225981
0.00683888,0.0152127,0.0216242
0.00658253,0.0145972,0.0206939
0.00633392,0.0140045,0.0198057
0.00609305,0.0134341,0.0189578
0.00585988,0.0128856,0.0181486
0.00563434,0.0123584,0.0173764
0.00541636,0.0118518,0.0166397
0.00520583,0.0113655,0.015937
0.00500263,0.0108987,0.0152668
0.00480665,0.0104509,0.0146276
0.00461773,0.0100215,0.014018
0.00443573,0.00960992,0.0134367
0.00426049,0.00921548,0.0128824
0.00409185,0.00883763,0.0123538
0.00392962,0.00847576,0.0118498
0.00377365,0.00812931,0.0113692
0.00362374,0.00779769,0.010911
0.00347973,0.00748033,0.0104739
0.00334143,0.00717669,0.0100571
0.00320865,0.00688623,0.00965962
0.00308123,0.00660841,0.00928046
0.00295898,0.00634272,0.00891877
0.00284172,0.00608868,0.00857372
0.00272928,0.00584578,0.0082445
0.00262149,0.00561357,0.00793035
0.00251818,0.00539159,0.00763054
0.00241917,0.00517941,0.00734438
0.00232432,0.0049766,0.00707121
0.00223346,0.00478276,0.0068104
0.00214643,0.00459749,0.00656135
0.00206309,0.00442042,0.0063235
0.00198329,0.00425118,0.00609631
0.00190688,0.00408943,0.00587926
0.00183374,0.00393484,0.00567186
0.00176372,0.00378707,0.00547365
0.0016967,0.00364583,0.00528419
0.00163256,0.00351082,0.00510306
0.00157117,0.00338175,0.00492987
0.00151241,0.00325837,0.00476422
0.00145618,0.0031404,0.00460577
0.00140237,0.00302761,0.00445418
0.00135087,0.00291975,0.00430911
0.00130158,0.0028166,0.00417026
0.00125441,0.00271795,0.00403735
0.00120927,0.00262358,0.00391008
0.00116607,0.00253331,0.0037882
0.00112472,0.00244694,0.00367146
0.00108515,0.00236431,0.00355962
0.00104727,0.00228522,0.00345245
0.001011,0.00220953,0.00334973
0.000976289,0.00213708,0.00325127
0.000943054,0.00206772,0.00315687
0.000911234,0.00200131,0.00306634
0.000880765,0.00193771,0.00297952
0.000851588,0.0018768,0.00289622
0.000823645,0.00181846,0.0028163
0.000796882,0.00176256,0.00273961
0.000771246,0.001709,0.002666
