t,Sv0,Ss0,Sg0,Sg1,Sg2,Sg3,Sg4,Sg5,Sg6,Sg7,Sg8,Sg9,Sg10,Sg11,Sg12,Sg13,Sg14,Sg15,Sg16,Sg17,Sg18,Sg19,Sg20,Sg21,Sg22,Iv0,Is0,Ig0,Ig1,Ig2,Ig3,Ig4,Ig5,Ig6,Ig7,Ig8,Ig9,Ig10,Ig11,Ig12,Ig13,Ig14,Ig15,Ig16,Ig17,Ig18,Ig19,Ig20,Ig21,Ig22,Rv0,Rs0,Rg0,Rg1,Rg2,Rg3,Rg4,Rg5,Rg6,Rg7,Rg8,Rg9,Rg10,Rg11,Rg12,Rg13,Rg14,Rg15,Rg16,Rg17,Rg18,Rg19,Rg20,Rg21,Rg22,cumIv0,cumIs0,cumIg0,cumIg1,cumIg2,cumIg3,cumIg4,cumIg5,cumIg6,cumIg7,cumIg8,cumIg9,cumIg10,cumIg11,cumIg12,cumIg13,cumIg14,cumIg15,cumIg16,cumIg17,cumIg18,cumIg19,cumIg20,cumIg21,cumIg22,cumIv, pIv,pIs,pIg
679,0.0317129,0.0167384,0.0163834,0.0163834,0.0163834,0.0163834,0.0163834,0.0163834,0.0163834,0.0163834,0.0163834,0.0163834,0.0163834,0.0163834,0.0163834,0.0163834,0.0163834,0.0163834,0.0163834,0.0163834,0.0163834,0.0163834,0.0163834,0.0163834,0.0163834,0.000129083,0.000362377,0.000366899,0.000366899,0.000366899,0.000366899,0.000366899,0.000366899,0.000366899,0.000366899,0.000366899,0.000366899,0.000366899,0.000366899,0.000366899,0.000366899,0.000366899,0.000366899,0.000366899,0.000366899,0.000366899,0.000366899,0.000366899,0.000366899,0.000366899,0.008158,0.0228992,0.0232497,0.0232497,0.0232497,0.0232497,0.0232497,0.0232497,0.0232497,0.0232497,0.0232497,0.0232497,0.0232497,0.0232497,0.0232497,0.0232497,0.0232497,0.0232497,0.0232497,0.0232497,0.0232497,0.0232497,0.0232497,0.0232497,0.0232497,0.0211212,0.0532857,0.0540635,0.0540635,0.0540635,0.0540635,0.0540635,0.0540635,0.0540635,0.0540635,0.0540635,0.0540635,0.0540635,0.0540635,0.0540635,0.0540635,0.0540635,0.0540635,0.0540635,0.0540635,0.0540635,0.0540635,0.0540635,0.0540635,0.0540635,0.0211212,0.00322708,0.00905941,0.00917248
680,0.0317221,0.0167639,0.0164093,0.0164093,0.0164093,0.0164093,0.0164093,0.0164093,0.0164093,0.0164093,0.0164093,0.0164093,0.0164093,0.0164093,0.0164093,0.0164093,0.0164093,0.0164093,0.0164093,0.0164093,0.0164093,0.0164093,0.0164093,0.0164093,0.0164093,0.000127261,0.000357621,0.000362104,0.000362104,0.000362104,0.000362104,0.000362104,0.000362104,0.000362104,0.000362104,0.000362104,0.000362104,0.000362104,0.000362104,0.000362104,0.000362104,0.000362104,0.000362104,0.000362104,0.000362104,0.000362104,0.000362104,0.000362104,0.000362104,0.000362104,0.00815062,0.0228785,0.0232286,0.0232286,0.0232286,0.0232286,0.0232286,0.0232286,0.0232286,0.0232286,0.0232286,0.0232286,0.0232286,0.0232286,0.0232286,0.0232286,0.0232286,0.0232286,0.0232286,0.0232286,0.0232286,0.0232286,0.0232286,0.0232286,0.0232286,0.0211343,0.053323,0.0541012,0.0541012,0.0541012,0.0541012,0.0541012,0.0541012,0.0541012,0.0541012,0.0541012,0.0541012,0.0541012,0.0541012,0.0541012,0.0541012,0.0541012,0.0541012,0.0541012,0.0541012,0.0541012,0.0541012,0.0541012,0.0541012,0.0541012,0.0211343,0.00318152,0.00894053,0.00905259
681,0.0317315,0.0167897,0.0164356,0.0164356,0.0164356,0.0164356,0.0164356,0.0164356,0.0164356,0.0164356,0.0164356,0.0164356,0.0164356,0.0164356,0.0164356,0.0164356,0.0164356,0.0164356,0.0164356,0.0164356,0.0164356,0.0164356,0.0164356,0.0164356,0.0164356,0.000125482,0.000352986,0.00035743,0.00035743,0.00035743,0.00035743,0.00035743,0.00035743,0.00035743,0.00035743,0.00035743,0.00035743,0.00035743,0.00035743,0.00035743,0.00035743,0.00035743,0.00035743,0.00035743,0.00035743,0.00035743,0.00035743,0.00035743,0.00035743,0.00035743,0.00814305,0.0228573,0.0232069,0.0232069,0.0232069,0.0232069,0.0232069,0.0232069,0.0232069,0.0232069,0.0232069,0.0232069,0.0232069,0.0232069,0.0232069,0.0232069,0.0232069,0.0232069,0.0232069,0.0232069,0.0232069,0.0232069,0.0232069,0.0232069,0.0232069,0.0211473,0.0533598,0.0541385,0.0541385,0.0541385,0.0541385,0.0541385,0.0541385,0.0541385,0.0541385,0.0541385,0.0541385,0.0541385,0.0541385,0.0541385,0.0541385,0.0541385,0.0541385,0.0541385,0.0541385,0.0541385,0.0541385,0.0541385,0.0541385,0.0541385,0.0211473,0.00313704,0.00882465,0.00893574
682,0.031741,0.0168159,0.0164623,0.0164623,0.0164623,0.0164623,0.0164623,0.0164623,0.0164623,0.0164623,0.0164623,0.0164623,0.0164623,0.0164623,0.0164623,0.0164623,0.0164623,0.0164623,0.0164623,0.0164623,0.0164623,0.0164623,0.0164623,0.0164623,0.0164623,0.000123745,0.000348469,0.000352875,0.000352875,0.000352875,0.000352875,0.000352875,0.000352875,0.000352875,0.000352875,0.000352875,0.000352875,0.000352875,0.000352875,0.000352875,0.000352875,0.000352875,0.000352875,0.000352875,0.000352875,0.000352875,0.000352875,0.000352875,0.000352875,0.000352875,0.00813529,0.0228356,0.0231848,0.0231848,0.0231848,0.0231848,0.0231848,0.0231848,0.0231848,0.0231848,0.0231848,0.0231848,0.0231848,0.0231848,0.0231848,0.0231848,0.0231848,0.0231848,0.0231848,0.0231848,0.0231848,0.0231848,0.0231848,0.0231848,0.0231848,0.0211601,0.0533962,0.0541754,0.0541754,0.0541754,0.0541754,0.0541754,0.0541754,0.0541754,0.0541754,0.0541754,0.0541754,0.0541754,0.0541754,0.0541754,0.0541754,0.0541754,0.0541754,0.0541754,0.0541754,0.0541754,0.0541754,0.0541754,0.0541754,0.0541754,0.0211601,0.00309362,0.00871172,0.00882187
683,0.0317506,0.0168424,0.0164893,0.0164893,0.0164893,0.0164893,0.0164893,0.0164893,0.0164893,0.0164893,0.0164893,0.0164893,0.0164893,0.0164893,0.0164893,0.0164893,0.0164893,0.0164893,0.0164893,0.0164893,0.0164893,0.0164893,0.0164893,0.0164893,0.0164893,0.00012205,0.000344067,0.000348437,0.000348437,0.000348437,0.000348437,0.000348437,0.000348437,0.000348437,0.000348437,0.000348437,0.000348437,0.000348437,0.000348437,0.000348437,0.000348437,0.000348437,0.000348437,0.000348437,0.000348437,0.000348437,0.000348437,0.000348437,0.000348437,0.000348437,0.00812735,0.0228135,0.0231622,0.0231622,0.0231622,0.0231622,0.0231622,0.0231622,0.0231622,0.0231622,0.0231622,0.0231622,0.0231622,0.0231622,0.0231622,0.0231622,0.0231622,0.0231622,0.0231622,0.0231622,0.0231622,0.0231622,0.0231622,0.0231622,0.0231622,0.0211727,0.0534322,0.0542119,0.0542119,0.0542119,0.0542119,0.0542119,0.0542119,0.0542119,0.0542119,0.0542119,0.0542119,0.0542119,0.0542119,0.0542119,0.0542119,0.0542119,0.0542119,0.0542119,0.0542119,0.0542119,0.0542119,0.0542119,0.0542119,0.0542119,0.0211727,0.00305125,0.00860167,0.00871092
684,0.0317604,0.0168693,0.0165167,0.0165167,0.0165167,0.0165167,0.0165167,0.0165167,0.0165167,0.0165167,0.0165167,0.0165167,0.0165167,0.0165167,0.0165167,0.0165167,0.0165167,0.0165167,0.0165167,0.0165167,0.0165167,0.0165167,0.0165167,0.0165167,0.0165167,0.000120396,0.000339779,0.000344113,0.000344113,0.000344113,0.000344113,0.000344113,0.000344113,0.000344113,0.000344113,0.000344113,0.000344113,0.000344113,0.000344113,0.000344113,0.000344113,0.000344113,0.000344113,0.000344113,0.000344113,0.000344113,0.000344113,0.000344113,0.000344113,0.000344113,0.00811924,0.0227909,0.0231392,0.0231392,0.0231392,0.0231392,0.0231392,0.0231392,0.0231392,0.0231392,0.0231392,0.0231392,0.0231392,0.0231392,0.0231392,0.0231392,0.0231392,0.0231392,0.0231392,0.0231392,0.0231392,0.0231392,0.0231392,0.0231392,0.0231392,0.0211852,0.0534678,0.054248,0.054248,0.054248,0.054248,0.054248,0.054248,0.054248,0.054248,0.054248,0.054248,0.054248,0.054248,0.054248,0.054248,0.054248,0.054248,0.054248,0.054248,0.054248,0.054248,0.054248,0.054248,0.054248,0.0211852,0.00300989,0.00849447,0.00860283
685,0.0317703,0.0168965,0.0165443,0.0165443,0.0165443,0.0165443,0.0165443,0.0165443,0.0165443,0.0165443,0.0165443,0.0165443,0.0165443,0.0165443,0.0165443,0.0165443,0.0165443,0.0165443,0.0165443,0.0165443,0.0165443,0.0165443,0.0165443,0.0165443,0.0165443,0.000118782,0.000335602,0.000339902,0.000339902,0.000339902,0.000339902,0.000339902,0.000339902,0.000339902,0.000339902,0.000339902,0.000339902,0.000339902,0.000339902,0.000339902,0.000339902,0.000339902,0.000339902,0.000339902,0.000339902,0.000339902,0.000339902,0.000339902,0.000339902,0.000339902,0.00811096,0.0227679,0.0231158,0.0231158,0.0231158,0.0231158,0.0231158,0.0231158,0.0231158,0.0231158,0.0231158,0.0231158,0.0231158,0.0231158,0.0231158,0.0231158,0.0231158,0.0231158,0.0231158,0.0231158,0.0231158,0.0231158,0.0231158,0.0231158,0.0231158,0.0211976,0.0535031,0.0542837,0.0542837,0.0542837,0.0542837,0.0542837,0.0542837,0.0542837,0.0542837,0.0542837,0.0542837,0.0542837,0.0542837,0.0542837,0.0542837,0.0542837,0.0542837,0.0542837,0.0542837,0.0542837,0.0542837,0.0542837,0.0542837,0.0542837,0.0211976,0.00296955,0.00839005,0.00849756
686,0.0317803,0.016924,0.0165723,0.0165723,0.0165723,0.0165723,0.0165723,0.0165723,0.0165723,0.0165723,0.0165723,0.0165723,0.0165723,0.0165723,0.0165723,0.0165723,0.0165723,0.0165723,0.0165723,0.0165723,0.0165723,0.0165723,0.0165723,0.0165723,0.0165723,0.000117208,0.000331534,0.000335802,0.000335802,0.000335802,0.000335802,0.000335802,0.000335802,0.000335802,0.000335802,0.000335802,0.000335802,0.000335802,0.000335802,0.000335802,0.000335802,0.000335802,0.000335802,0.000335802,0.000335802,0.000335802,0.000335802,0.000335802,0.000335802,0.000335802,0.00810252,0.0227445,0.0230919,0.0230919,0.0230919,0.0230919,0.0230919,0.0230919,0.0230919,0.0230919,0.0230919,0.0230919,0.0230919,0.0230919,0.0230919,0.0230919,0.0230919,0.0230919,0.0230919,0.0230919,0.0230919,0.0230919,0.0230919,0.0230919,0.0230919,0.0212097,0.0535379,0.054319,0.054319,0.054319,0.054319,0.054319,0.054319,0.054319,0.054319,0.054319,0.054319,0.054319,0.054319,0.054319,0.054319,0.054319,0.054319,0.054319,0.054319,0.054319,0.054319,0.054319,0.054319,0.054319,0.0212097,0.00293019,0.00828836,0.00839505
687,0.0317904,0.0169517,0.0166006,0.0166006,0.0166006,0.0166006,0.0166006,0.0166006,0.0166006,0.0166006,0.0166006,0.0166006,0.0166006,0.0166006,0.0166006,0.0166006,0.0166006,0.0166006,0.0166006,0.0166006,0.0166006,0.0166006,0.0166006,0.0166006,0.0166006,0.000115673,0.000327574,0.00033181,0.00033181,0.00033181,0.00033181,0.00033181,0.00033181,0.00033181,0.00033181,0.00033181,0.00033181,0.00033181,0.00033181,0.00033181,0.00033181,0.00033181,0.00033181,0.00033181,0.00033181,0.00033181,0.00033181,0.00033181,0.00033181,0.00033181,0.00809392,0.0227207,0.0230676,0.0230676,0.0230676,0.0230676,0.0230676,0.0230676,0.0230676,0.0230676,0.0230676,0.0230676,0.0230676,0.0230676,0.0230676,0.0230676,0.0230676,0.0230676,0.0230676,0.0230676,0.0230676,0.0230676,0.0230676,0.0230676,0.0230676,0.0212218,0.0535724,0.0543539,0.0543539,0.0543539,0.0543539,0.0543539,0.0543539,0.0543539,0.0543539,0.0543539,0.0543539,0.0543539,0.0543539,0.0543539,0.0543539,0.0543539,0.0543539,0.0543539,0.0543539,0.0543539,0.0543539,0.0543539,0.0543539,0.0543539,0.0212218,0.00289181,0.00818935,0.00829524
688,0.0318007,0.0169798,0.0166291,0.0166291,0.0166291,0.0166291,0.0166291,0.0166291,0.0166291,0.0166291,0.0166291,0.0166291,0.0166291,0.0166291,0.0166291,0.0166291,0.0166291,0.0166291,0.0166291,0.0166291,0.0166291,0.0166291,0.0166291,0.0166291,0.0166291,0.000114176,0.000323718,0.000327923,0.000327923,0.000327923,0.000327923,0.000327923,0.000327923,0.000327923,0.000327923,0.000327923,0.000327923,0.000327923,0.000327923,0.000327923,0.000327923,0.000327923,0.000327923,0.000327923,0.000327923,0.000327923,0.000327923,0.000327923,0.000327923,0.000327923,0.00808517,0.0226965,0.0230429,0.0230429,0.0230429,0.0230429,0.0230429,0.0230429,0.0230429,0.0230429,0.0230429,0.0230429,0.0230429,0.0230429,0.0230429,0.0230429,0.0230429,0.0230429,0.0230429,0.0230429,0.0230429,0.0230429,0.0230429,0.0230429,0.0230429,0.0212337,0.0536066,0.0543885,0.0543885,0.0543885,0.0543885,0.0543885,0.0543885,0.0543885,0.0543885,0.0543885,0.0543885,0.0543885,0.0543885,0.0543885,0.0543885,0.0543885,0.0543885,0.0543885,0.0543885,0.0543885,0.0543885,0.0543885,0.0543885,0.0543885,0.0212337,0.00285439,0.00809296,0.00819808
