t,Sv0,Ss0,Sg0,Sg1,Sg2,Sg3,Sg4,Sg5,Sg6,Sg7,Sg8,Sg9,Sg10,Sg11,Sg12,Sg13,Sg14,Sg15,Sg16,Sg17,Sg18,Sg19,Sg20,Sg21,Sg22,Iv0,Is0,Ig0,Ig1,Ig2,Ig3,Ig4,Ig5,Ig6,Ig7,Ig8,Ig9,Ig10,Ig11,Ig12,Ig13,Ig14,Ig15,Ig16,Ig17,Ig18,Ig19,Ig20,Ig21,Ig22,Rv0,Rs0,Rg0,Rg1,Rg2,Rg3,Rg4,Rg5,Rg6,Rg7,Rg8,Rg9,Rg10,Rg11,Rg12,Rg13,Rg14,Rg15,Rg16,Rg17,Rg18,Rg19,Rg20,Rg21,Rg22,cumIv0,cumIs0,cumIg0,cumIg1,cumIg2,cumIg3,cumIg4,cumIg5,cumIg6,cumIg7,cumIg8,cumIg9,cumIg10,cumIg11,cumIg12,cumIg13,cumIg14,cumIg15,cumIg16,cumIg17,cumIg18,cumIg19,cumIg20,cumIg21,cumIg22,cumIv, pIv,pIs,pIg
153,0.034562,0.0336517,0.0336131,0.0336131,0.0336131,0.0336131,0.0336131,0.0336131,0.0336131,0.0336131,0.0336131,0.0336131,0.0336131,0.0336131,0.0336131,0.0336131,0.0336131,0.0336131,0.0336131,0.0336131,0.0336131,0.0336131,0.0336131,0.0336131,0.0336131,0.000216239,0.00044673,0.000456338,0.000456338,0.000456338,0.000456338,0.000456338,0.000456338,0.000456338,0.000456338,0.000456338,0.000456338,0.000456338,0.000456338,0.000456338,0.000456338,0.000456338,0.000456338,0.000456338,0.000456338,0.000456338,0.000456338,0.000456338,0.000456338,0.000456338,0.00522179,0.0059016,0.00593053,0.00593053,0.00593053,0.00593053,0.00593053,0.00593053,0.00593053,0.00593053,0.00593053,0.00593053,0.00593053,0.00593053,0.00593053,0.00593053,0.00593053,0.00593053,0.00593053,0.00593053,0.00593053,0.00593053,0.00593053,0.00593053,0.00593053,0.00643254,0.00739818,0.00743911,0.00743911,0.00743911,0.00743911,0.00743911,0.00743911,0.00743911,0.00743911,0.00743911,0.00743911,0.00743911,0.00743911,0.00743911,0.00743911,0.00743911,0.00743911,0.00743911,0.00743911,0.00743911,0.00743911,0.00743911,0.00743911,0.00743911,0.00643254,0.00540597,0.0111682,0.0114085
154,0.0345486,0.0336014,0.0335614,0.0335614,0.0335614,0.0335614,0.0335614,0.0335614,0.0335614,0.0335614,0.0335614,0.0335614,0.0335614,0.0335614,0.0335614,0.0335614,0.0335614,0.0335614,0.0335614,0.0335614,0.0335614,0.0335614,0.0335614,0.0335614,0.0335614,0.000218597,0.00046026,0.000470321,0.000470321,0.000470321,0.000470321,0.000470321,0.000470321,0.000470321,0.000470321,0.000470321,0.000470321,0.000470321,0.000470321,0.000470321,0.000470321,0.000470321,0.000470321,0.000470321,0.000470321,0.000470321,0.000470321,0.000470321,0.000470321,0.000470321,0.00523284,0.00593829,0.00596829,0.00596829,0.00596829,0.00596829,0.00596829,0.00596829,0.00596829,0.00596829,0.00596829,0.00596829,0.00596829,0.00596829,0.00596829,0.00596829,0.00596829,0.00596829,0.00596829,0.00596829,0.00596829,0.00596829,0.00596829,0.00596829,0.00596829,0.00646027,0.00746462,0.00750714,0.00750714,0.00750714,0.00750714,0.00750714,0.00750714,0.00750714,0.00750714,0.00750714,0.00750714,0.00750714,0.00750714,0.00750714,0.00750714,0.00750714,0.00750714,0.00750714,0.00750714,0.00750714,0.00750714,0.00750714,0.00750714,0.00750714,0.00646027,0.00546493,0.0115065,0.011758
155,0.0345346,0.0335487,0.033507,0.033507,0.033507,0.033507,0.033507,0.033507,0.033507,0.033507,0.033507,0.033507,0.033507,0.033507,0.033507,0.033507,0.033507,0.033507,0.033507,0.033507,0.033507,0.033507,0.033507,0.033507,0.033507,0.000221283,0.000474796,0.000485335,0.000485335,0.000485335,0.000485335,0.000485335,0.000485335,0.000485335,0.000485335,0.000485335,0.000485335,0.000485335,0.000485335,0.000485335,0.000485335,0.000485335,0.000485335,0.000485335,0.000485335,0.000485335,0.000485335,0.000485335,0.000485335,0.000485335,0.00524415,0.00597652,0.00600763,0.00600763,0.00600763,0.00600763,0.00600763,0.00600763,0.00600763,0.00600763,0.00600763,0.00600763,0.00600763,0.00600763,0.00600763,0.00600763,0.00600763,0.00600763,0.00600763,0.00600763,0.00600763,0.00600763,0.00600763,0.00600763,0.00600763,0.00648861,0.00753371,0.00757791,0.00757791,0.00757791,0.00757791,0.00757791,0.00757791,0.00757791,0.00757791,0.00757791,0.00757791,0.00757791,0.00757791,0.00757791,0.00757791,0.00757791,0.00757791,0.00757791,0.00757791,0.00757791,0.00757791,0.00757791,0.00757791,0.00757791,0.00648861,0.00553207,0.0118699,0.0121334
156,0.0345199,0.0334932,0.0334499,0.0334499,0.0334499,0.0334499,0.0334499,0.0334499,0.0334499,0.0334499,0.0334499,0.0334499,0.0334499,0.0334499,0.0334499,0.0334499,0.0334499,0.0334499,0.0334499,0.0334499,0.0334499,0.0334499,0.0334499,0.0334499,0.0334499,0.000224304,0.000490398,0.000501444,0.000501444,0.000501444,0.000501444,0.000501444,0.000501444,0.000501444,0.000501444,0.000501444,0.000501444,0.000501444,0.000501444,0.000501444,0.000501444,0.000501444,0.000501444,0.000501444,0.000501444,0.000501444,0.000501444,0.000501444,0.000501444,0.000501444,0.00525576,0.00601639,0.00604868,0.00604868,0.00604868,0.00604868,0.00604868,0.00604868,0.00604868,0.00604868,0.00604868,0.00604868,0.00604868,0.00604868,0.00604868,0.00604868,0.00604868,0.00604868,0.00604868,0.00604868,0.00604868,0.00604868,0.00604868,0.00604868,0.00604868,0.00651763,0.00760561,0.00765158,0.00765158,0.00765158,0.00765158,0.00765158,0.00765158,0.00765158,0.00765158,0.00765158,0.00765158,0.00765158,0.00765158,0.00765158,0.00765158,0.00765158,0.00765158,0.00765158,0.00765158,0.00765158,0.00765158,0.00765158,0.00765158,0.00765158,0.00651763,0.00560761,0.0122599,0.0125361
157,0.0345046,0.0334348,0.0333897,0.0333897,0.0333897,0.0333897,0.0333897,0.0333897,0.0333897,0.0333897,0.0333897,0.0333897,0.0333897,0.0333897,0.0333897,0.0333897,0.0333897,0.0333897,0.0333897,0.0333897,0.0333897,0.0333897,0.0333897,0.0333897,0.0333897,0.000227672,0.000507132,0.000518716,0.000518716,0.000518716,0.000518716,0.000518716,0.000518716,0.000518716,0.000518716,0.000518716,0.000518716,0.000518716,0.000518716,0.000518716,0.000518716,0.000518716,0.000518716,0.000518716,0.000518716,0.000518716,0.000518716,0.000518716,0.000518716,0.000518716,0.00526771,0.00605804,0.00609156,0.00609156,0.00609156,0.00609156,0.00609156,0.00609156,0.00609156,0.00609156,0.00609156,0.00609156,0.00609156,0.00609156,0.00609156,0.00609156,0.00609156,0.00609156,0.00609156,0.00609156,0.00609156,0.00609156,0.00609156,0.00609156,0.00609156,0.00654737,0.00768054,0.00772836,0.00772836,0.00772836,0.00772836,0.00772836,0.00772836,0.00772836,0.00772836,0.00772836,0.00772836,0.00772836,0.00772836,0.00772836,0.00772836,0.00772836,0.00772836,0.00772836,0.00772836,0.00772836,0.00772836,0.00772836,0.00772836,0.00772836,0.00654737,0.0056918,0.0126783,0.0129679
158,0.0344886,0.0333733,0.0333264,0.0333264,0.0333264,0.0333264,0.0333264,0.0333264,0.0333264,0.0333264,0.0333264,0.0333264,0.0333264,0.0333264,0.0333264,0.0333264,0.0333264,0.0333264,0.0333264,0.0333264,0.0333264,0.0333264,0.0333264,0.0333264,0.0333264,0.000231397,0.000525069,0.000537224,0.000537224,0.000537224,0.000537224,0.000537224,0.000537224,0.000537224,0.000537224,0.000537224,0.000537224,0.000537224,0.000537224,0.000537224,0.000537224,0.000537224,0.000537224,0.000537224,0.000537224,0.000537224,0.000537224,0.000537224,0.000537224,0.000537224,0.00528004,0.0061016,0.00613641,0.00613641,0.00613641,0.00613641,0.00613641,0.00613641,0.00613641,0.00613641,0.00613641,0.00613641,0.00613641,0.00613641,0.00613641,0.00613641,0.00613641,0.00613641,0.00613641,0.00613641,0.00613641,0.00613641,0.00613641,0.00613641,0.00613641,0.00657787,0.00775869,0.00780847,0.00780847,0.00780847,0.00780847,0.00780847,0.00780847,0.00780847,0.00780847,0.00780847,0.00780847,0.00780847,0.00780847,0.00780847,0.00780847,0.00780847,0.00780847,0.00780847,0.00780847,0.00780847,0.00780847,0.00780847,0.00780847,0.00780847,0.00657787,0.00578492,0.0131267,0.0134306
159,0.0344717,0.0333085,0.0332596,0.0332596,0.0332596,0.0332596,0.0332596,0.0332596,0.0332596,0.0332596,0.0332596,0.0332596,0.0332596,0.0332596,0.0332596,0.0332596,0.0332596,0.0332596,0.0332596,0.0332596,0.0332596,0.0332596,0.0332596,0.0332596,0.0332596,0.000235491,0.000544284,0.000557045,0.000557045,0.000557045,0.000557045,0.000557045,0.000557045,0.000557045,0.000557045,0.000557045,0.000557045,0.000557045,0.000557045,0.000557045,0.000557045,0.000557045,0.000557045,0.000557045,0.000557045,0.000557045,0.000557045,0.000557045,0.000557045,0.000557045,0.0052928,0.0061472,0.00618337,0.00618337,0.00618337,0.00618337,0.00618337,0.00618337,0.00618337,0.00618337,0.00618337,0.00618337,0.00618337,0.00618337,0.00618337,0.00618337,0.00618337,0.00618337,0.00618337,0.00618337,0.00618337,0.00618337,0.00618337,0.00618337,0.00618337,0.0066092,0.00784028,0.00789212,0.00789212,0.00789212,0.00789212,0.00789212,0.00789212,0.00789212,0.00789212,0.00789212,0.00789212,0.00789212,0.00789212,0.00789212,0.00789212,0.00789212,0.00789212,0.00789212,0.00789212,0.00789212,0.00789212,0.00789212,0.00789212,0.00789212,0.0066092,0.00588727,0.0136071,0.0139261
160,0.034454,0.0332401,0.0331892,0.0331892,0.0331892,0.0331892,0.0331892,0.0331892,0.0331892,0.0331892,0.0331892,0.0331892,0.0331892,0.0331892,0.0331892,0.0331892,0.0331892,0.0331892,0.0331892,0.0331892,0.0331892,0.0331892,0.0331892,0.0331892,0.0331892,0.000239967,0.000564858,0.000578262,0.000578262,0.000578262,0.000578262,0.000578262,0.000578262,0.000578262,0.000578262,0.000578262,0.000578262,0.000578262,0.000578262,0.000578262,0.000578262,0.000578262,0.000578262,0.000578262,0.000578262,0.000578262,0.000578262,0.000578262,0.000578262,0.000578262,0.00530601,0.00619499,0.00623258,0.00623258,0.00623258,0.00623258,0.00623258,0.00623258,0.00623258,0.00623258,0.00623258,0.00623258,0.00623258,0.00623258,0.00623258,0.00623258,0.00623258,0.00623258,0.00623258,0.00623258,0.00623258,0.00623258,0.00623258,0.00623258,0.00623258,0.00664142,0.00792556,0.00797956,0.00797956,0.00797956,0.00797956,0.00797956,0.00797956,0.00797956,0.00797956,0.00797956,0.00797956,0.00797956,0.00797956,0.00797956,0.00797956,0.00797956,0.00797956,0.00797956,0.00797956,0.00797956,0.00797956,0.00797956,0.00797956,0.00797956,0.00664142,0.00599918,0.0141215,0.0144566
161,0.0344354,0.033168,0.0331148,0.0331148,0.0331148,0.0331148,0.0331148,0.0331148,0.0331148,0.0331148,0.0331148,0.0331148,0.0331148,0.0331148,0.0331148,0.0331148,0.0331148,0.0331148,0.0331148,0.0331148,0.0331148,0.0331148,0.0331148,0.0331148,0.0331148,0.000244841,0.000586878,0.000600966,0.000600966,0.000600966,0.000600966,0.000600966,0.000600966,0.000600966,0.000600966,0.000600966,0.000600966,0.000600966,0.000600966,0.000600966,0.000600966,0.000600966,0.000600966,0.000600966,0.000600966,0.000600966,0.000600966,0.000600966,0.000600966,0.000600966,0.00531974,0.00624514,0.00628423,0.00628423,0.00628423,0.00628423,0.00628423,0.00628423,0.00628423,0.00628423,0.00628423,0.00628423,0.00628423,0.00628423,0.00628423,0.00628423,0.00628423,0.00628423,0.00628423,0.00628423,0.00628423,0.00628423,0.00628423,0.00628423,0.00628423,0.00667457,0.00801476,0.00807106,0.00807106,0.00807106,0.00807106,0.00807106,0.00807106,0.00807106,0.00807106,0.00807106,0.00807106,0.00807106,0.00807106,0.00807106,0.00807106,0.00807106,0.00807106,0.00807106,0.00807106,0.00807106,0.00807106,0.00807106,0.00807106,0.00807106,0.00667457,0.00612103,0.014672,0.0150241
162,0.0344159,0.0330918,0.0330363,0.0330363,0.0330363,0.0330363,0.0330363,0.0330363,0.0330363,0.0330363,0.0330363,0.0330363,0.0330363,0.0330363,0.0330363,0.0330363,0.0330363,0.0330363,0.0330363,0.0330363,0.0330363,0.0330363,0.0330363,0.0330363,0.0330363,0.000250127,0.000610437,0.000625251,0.000625251,0.000625251,0.000625251,0.000625251,0.000625251,0.000625251,0.000625251,0.000625251,0.000625251,0.000625251,0.000625251,0.000625251,0.000625251,0.000625251,0.000625251,0.000625251,0.000625251,0.000625251,0.000625251,0.000625251,0.000625251,0.000625251,0.00533402,0.0062978,0.00633846,0.00633846,0.00633846,0.00633846,0.00633846,0.00633846,0.00633846,0.00633846,0.00633846,0.00633846,0.00633846,0.00633846,0.00633846,0.00633846,0.00633846,0.00633846,0.00633846,0.00633846,0.00633846,0.00633846,0.00633846,0.00633846,0.00633846,0.00670873,0.00810816,0.00816687,0.00816687,0.00816687,0.00816687,0.00816687,0.00816687,0.00816687,0.00816687,0.00816687,0.00816687,0.00816687,0.00816687,0.00816687,0.00816687,0.00816687,0.00816687,0.00816687,0.00816687,0.00816687,0.00816687,0.00816687,0.00816687,0.00816687,0.00670873,0.00625318,0.0152609,0.0156313
163,0.0343953,0.0330112,0.0329533,0.0329533,0.0329533,0.0329533,0.0329533,0.0329533,0.0329533,0.0329533,0.0329533,0.0329533,0.0329533,0.0329533,0.0329533,0.0329533,0.0329533,0.0329533,0.0329533,0.0329533,0.0329533,0.0329533,0.0329533,0.0329533,0.0329533,0.000255842,0.000635632,0.000651218,0.000651218,0.000651218,0.000651218,0.000651218,0.000651218,0.000651218,0.000651218,0.000651218,0.000651218,0.000651218,0.000651218,0.000651218,0.000651218,0.000651218,0.000651218,0.000651218,0.000651218,0.000651218,0.000651218,0.000651218,0.000651218,0.000651218,0.0053489,0.00635315,0.00639548,0.00639548,0.00639548,0.00639548,0.00639548,0.00639548,0.00639548,0.00639548,0.00639548,0.00639548,0.00639548,0.00639548,0.00639548,0.00639548,0.00639548,0.00639548,0.00639548,0.00639548,0.00639548,0.00639548,0.00639548,0.00639548,0.00639548,0.00674397,0.00820604,0.0082673,0.0082673,0.0082673,0.0082673,0.0082673,0.0082673,0.0082673,0.0082673,0.0082673,0.0082673,0.0082673,0.0082673,0.0082673,0.0082673,0.0082673,0.0082673,0.0082673,0.0082673,0.0082673,0.0082673,0.0082673,0.0082673,0.0082673,0.00674397,0.00639606,0.0158908,0.0162805
164,0.0343736,0.032926,0.0328656,0.0328656,0.0328656,0.0328656,0.0328656,0.0328656,0.0328656,0.0328656,0.0328656,0.0328656,0.0328656,0.0328656,0.0328656,0.0328656,0.0328656,0.0328656,0.0328656,0.0328656,0.0328656,0.0328656,0.0328656,0.0328656,0.0328656,0.000262004,0.000662569,0.000678976,0.000678976,0.000678976,0.000678976,0.000678976,0.000678976,0.000678976,0.000678976,0.000678976,0.000678976,0.000678976,0.000678976,0.000678976,0.000678976,0.000678976,0.000678976,0.000678976,0.000678976,0.000678976,0.000678976,0.000678976,0.000678976,0.000678976,0.00536444,0.0064114,0.00645547,0.00645547,0.00645547,0.00645547,0.00645547,0.00645547,0.00645547,0.00645547,0.00645547,0.00645547,0.00645547,0.00645547,0.00645547,0.00645547,0.00645547,0.00645547,0.00645547,0.00645547,0.00645547,0.00645547,0.00645547,0.00645547,0.00645547,0.00678034,0.00830871,0.00837265,0.00837265,0.00837265,0.00837265,0.00837265,0.00837265,0.00837265,0.00837265,0.00837265,0.00837265,0.00837265,0.00837265,0.00837265,0.00837265,0.00837265,0.00837265,0.00837265,0.00837265,0.00837265,0.00837265,0.00837265,0.00837265,0.00837265,0.00678034,0.00655011,0.0165642,0.0169744
165,0.0343507,0.0328359,0.0327727,0.0327727,0.0327727,0.0327727,0.0327727,0.0327727,0.0327727,0.0327727,0.0327727,0.0327727,0.0327727,0.0327727,0.0327727,0.0327727,0.0327727,0.0327727,0.0327727,0.0327727,0.0327727,0.0327727,0.0327727,0.0327727,0.0327727,0.000268632,0.000691358,0.000708637,0.000708637,0.000708637,0.000708637,0.000708637,0.000708637,0.000708637,0.000708637,0.000708637,0.000708637,0.000708637,0.000708637,0.000708637,0.000708637,0.000708637,0.000708637,0.000708637,0.000708637,0.000708637,0.000708637,0.000708637,0.000708637,0.000708637,0.00538068,0.00647273,0.00651864,0.00651864,0.00651864,0.00651864,0.00651864,0.00651864,0.00651864,0.00651864,0.00651864,0.00651864,0.00651864,0.00651864,0.00651864,0.00651864,0.00651864,0.00651864,0.00651864,0.00651864,0.00651864,0.00651864,0.00651864,0.00651864,0.00651864,0.00681792,0.00841647,0.00848325,0.00848325,0.00848325,0.00848325,0.00848325,0.00848325,0.00848325,0.00848325,0.00848325,0.00848325,0.00848325,0.00848325,0.00848325,0.00848325,0.00848325,0.00848325,0.00848325,0.00848325,0.00848325,0.00848325,0.00848325,0.00848325,0.00848325,0.00681792,0.00671579,0.0172839,0.0177159
166,0.0343266,0.0327405,0.0326745,0.0326745,0.0326745,0.0326745,0.0326745,0.0326745,0.0326745,0.0326745,0.0326745,0.0326745,0.0326745,0.0326745,0.0326745,0.0326745,0.0326745,0.0326745,0.0326745,0.0326745,0.0326745,0.0326745,0.0326745,0.0326745,0.0326745,0.000275745,0.000722116,0.000740324,0.000740324,0.000740324,0.000740324,0.000740324,0.000740324,0.000740324,0.000740324,0.000740324,0.000740324,0.000740324,0.000740324,0.000740324,0.000740324,0.000740324,0.000740324,0.000740324,0.000740324,0.000740324,0.000740324,0.000740324,0.000740324,0.000740324,0.00539767,0.00653735,0.00658521,0.00658521,0.00658521,0.00658521,0.00658521,0.00658521,0.00658521,0.00658521,0.00658521,0.00658521,0.00658521,0.00658521,0.00658521,0.00658521,0.00658521,0.00658521,0.00658521,0.00658521,0.00658521,0.00658521,0.00658521,0.00658521,0.00658521,0.00685679,0.00852968,0.00859946,0.00859946,0.00859946,0.00859946,0.00859946,0.00859946,0.00859946,0.00859946,0.00859946,0.00859946,0.00859946,0.00859946,0.00859946,0.00859946,0.00859946,0.00859946,0.00859946,0.00859946,0.00859946,0.00859946,0.00859946,0.00859946,0.00859946,0.00685679,0.00689361,0.0180529,0.0185081
167,0.0343012,0.0326395,0.0325704,0.0325704,0.0325704,0.0325704,0.0325704,0.0325704,0.0325704,0.0325704,0.0325704,0.0325704,0.0325704,0.0325704,0.0325704,0.0325704,0.0325704,0.0325704,0.0325704,0.0325704,0.0325704,0.0325704,0.0325704,0.0325704,0.0325704,0.000283364,0.000754967,0.000774161,0.000774161,0.000774161,0.000774161,0.000774161,0.000774161,0.000774161,0.000774161,0.000774161,0.000774161,0.000774161,0.000774161,0.000774161,0.000774161,0.000774161,0.000774161,0.000774161,0.000774161,0.000774161,0.000774161,0.000774161,0.000774161,0.000774161,0.00541547,0.00660551,0.00665542,0.00665542,0.00665542,0.00665542,0.00665542,0.00665542,0.00665542,0.00665542,0.00665542,0.00665542,0.00665542,0.00665542,0.00665542,0.00665542,0.00665542,0.00665542,0.00665542,0.00665542,0.00665542,0.00665542,0.00665542,0.00665542,0.00665542,0.00689703,0.00864869,0.00872164,0.00872164,0.00872164,0.00872164,0.00872164,0.00872164,0.00872164,0.00872164,0.00872164,0.00872164,0.00872164,0.00872164,0.00872164,0.00872164,0.00872164,0.00872164,0.00872164,0.00872164,0.00872164,0.00872164,0.00872164,0.00872164,0.00872164,0.00689703,0.00708409,0.0188742,0.019354
168,0.0342743,0.0325325,0.0324602,0.0324602,0.0324602,0.0324602,0.0324602,0.0324602,0.0324602,0.0324602,0.0324602,0.0324602,0.0324602,0.0324602,0.0324602,0.0324602,0.0324602,0.0324602,0.0324602,0.0324602,0.0324602,0.0324602,0.0324602,0.0324602,0.0324602,0.000291511,0.000790041,0.000810284,0.000810284,0.000810284,0.000810284,0.000810284,0.000810284,0.000810284,0.000810284,0.000810284,0.000810284,0.000810284,0.000810284,0.000810284,0.000810284,0.000810284,0.000810284,0.000810284,0.000810284,0.000810284,0.000810284,0.000810284,0.000810284,0.000810284,0.00543415,0.00667744,0.0067295,0.0067295,0.0067295,0.0067295,0.0067295,0.0067295,0.0067295,0.0067295,0.0067295,0.0067295,0.0067295,0.0067295,0.0067295,0.0067295,0.0067295,0.0067295,0.0067295,0.0067295,0.0067295,0.0067295,0.0067295,0.0067295,0.0067295,0.00693871,0.00877389,0.00885018,0.00885018,0.00885018,0.00885018,0.00885018,0.00885018,0.00885018,0.00885018,0.00885018,0.00885018,0.00885018,0.00885018,0.00885018,0.00885018,0.00885018,0.00885018,0.00885018,0.00885018,0.00885018,0.00885018,0.00885018,0.00885018,0.00885018,0.00693871,0.00728778,0.019751,0.0202571
169,0.034246,0.0324191,0.0323434,0.0323434,0.0323434,0.0323434,0.0323434,0.0323434,0.0323434,0.0323434,0.0323434,0.0323434,0.0323434,0.0323434,0.0323434,0.0323434,0.0323434,0.0323434,0.0323434,0.0323434,0.0323434,0.0323434,0.0323434,0.0323434,0.0323434,0.000300209,0.000827473,0.00084883,0.00084883,0.00084883,0.00084883,0.00084883,0.00084883,0.00084883,0.00084883,0.00084883,0.00084883,0.00084883,0.00084883,0.00084883,0.00084883,0.00084883,0.00084883,0.00084883,0.00084883,0.00084883,0.00084883,0.00084883,0.00084883,0.00084883,0.00545375,0.00675339,0.00680774,0.00680774,0.00680774,0.00680774,0.00680774,0.00680774,0.00680774,0.00680774,0.00680774,0.00680774,0.00680774,0.00680774,0.00680774,0.00680774,0.00680774,0.00680774,0.00680774,0.00680774,0.00680774,0.00680774,0.00680774,0.00680774,0.00680774,0.00698193,0.00890567,0.00898551,0.00898551,0.00898551,0.00898551,0.00898551,0.00898551,0.00898551,0.00898551,0.00898551,0.00898551,0.00898551,0.00898551,0.00898551,0.00898551,0.00898551,0.00898551,0.00898551,0.00898551,0.00898551,0.00898551,0.00898551,0.00898551,0.00898551,0.00698193,0.00750523,0.0206868,0.0212207
170,0.0342162,0.0322989,0.0322197,0.0322197,0.0322197,0.0322197,0.0322197,0.0322197,0.0322197,0.0322197,0.0322197,0.0322197,0.0322197,0.0322197,0.0322197,0.0322197,0.0322197,0.0322197,0.0322197,0.0322197,0.0322197,0.0322197,0.0322197,0.0322197,0.0322197,0.000309482,0.000867405,0.000889945,0.000889945,0.000889945,0.000889945,0.000889945,0.000889945,0.000889945,0.000889945,0.000889945,0.000889945,0.000889945,0.000889945,0.000889945,0.000889945,0.000889945,0.000889945,0.000889945,0.000889945,0.000889945,0.000889945,0.000889945,0.000889945,0.000889945,0.00547435,0.00683365,0.0068904,0.0068904,0.0068904,0.0068904,0.0068904,0.0068904,0.0068904,0.0068904,0.0068904,0.0068904,0.0068904,0.0068904,0.0068904,0.0068904,0.0068904,0.0068904,0.0068904,0.0068904,0.0068904,0.0068904,0.0068904,0.0068904,0.0068904,0.00702677,0.00904447,0.00912805,0.00912805,0.00912805,0.00912805,0.00912805,0.00912805,0.00912805,0.00912805,0.00912805,0.00912805,0.00912805,0.00912805,0.00912805,0.00912805,0.00912805,0.00912805,0.00912805,0.00912805,0.00912805,0.00912805,0.00912805,0.00912805,0.00912805,0.00702677,0.00773705,0.0216851,0.0222486
171,0.0341846,0.0321715,0.0320884,0.0320884,0.0320884,0.0320884,0.0320884,0.0320884,0.0320884,0.0320884,0.0320884,0.0320884,0.0320884,0.0320884,0.0320884,0.0320884,0.0320884,0.0320884,0.0320884,0.0320884,0.0320884,0.0320884,0.0320884,0.0320884,0.0320884,0.000319353,0.000909983,0.000933778,0.000933778,0.000933778,0.000933778,0.000933778,0.000933778,0.000933778,0.000933778,0.000933778,0.000933778,0.000933778,0.000933778,0.000933778,0.000933778,0.000933778,0.000933778,0.000933778,0.000933778,0.000933778,0.000933778,0.000933778,0.000933778,0.000933778,0.005496,0.00691848,0.00697778,0.00697778,0.00697778,0.00697778,0.00697778,0.00697778,0.00697778,0.00697778,0.00697778,0.00697778,0.00697778,0.00697778,0.00697778,0.00697778,0.00697778,0.00697778,0.00697778,0.00697778,0.00697778,0.00697778,0.00697778,0.00697778,0.00697778,0.00707332,0.00919072,0.00927826,0.00927826,0.00927826,0.00927826,0.00927826,0.00927826,0.00927826,0.00927826,0.00927826,0.00927826,0.00927826,0.00927826,0.00927826,0.00927826,0.00927826,0.00927826,0.00927826,0.00927826,0.00927826,0.00927826,0.00927826,0.00927826,0.00927826,0.00707332,0.00798383,0.0227496,0.0233445
172,0.0341514,0.0320364,0.0319493,0.0319493,0.0319493,0.0319493,0.0319493,0.0319493,0.0319493,0.0319493,0.0319493,0.0319493,0.0319493,0.0319493,0.0319493,0.0319493,0.0319493,0.0319493,0.0319493,0.0319493,0.0319493,0.0319493,0.0319493,0.0319493,0.0319493,0.000329848,0.000955358,0.000980486,0.000980486,0.000980486,0.000980486,0.000980486,0.000980486,0.000980486,0.000980486,0.000980486,0.000980486,0.000980486,0.000980486,0.000980486,0.000980486,0.000980486,0.000980486,0.000980486,0.000980486,0.000980486,0.000980486,0.000980486,0.000980486,0.000980486,0.00551879,0.00700821,0.0070702,0.0070702,0.0070702,0.0070702,0.0070702,0.0070702,0.0070702,0.0070702,0.0070702,0.0070702,0.0070702,0.0070702,0.0070702,0.0070702,0.0070702,0.0070702,0.0070702,0.0070702,0.0070702,0.0070702,0.0070702,0.0070702,0.0070702,0.00712169,0.00934491,0.00943663,0.00943663,0.00943663,0.00943663,0.00943663,0.00943663,0.00943663,0.00943663,0.00943663,0.00943663,0.00943663,0.00943663,0.00943663,0.00943663,0.00943663,0.00943663,0.00943663,0.00943663,0.00943663,0.00943663,0.00943663,0.00943663,0.00943663,0.00712169,0.00824621,0.023884,0.0245121
173,0.0341162,0.0318932,0.0318018,0.0318018,0.0318018,0.0318018,0.0318018,0.0318018,0.0318018,0.0318018,0.0318018,0.0318018,0.0318018,0.0318018,0.0318018,0.0318018,0.0318018,0.0318018,0.0318018,0.0318018,0.0318018,0.0318018,0.0318018,0.0318018,0.0318018,0.000340992,0.00100368,0.00103022,0.00103022,0.00103022,0.00103022,0.00103022,0.00103022,0.00103022,0.00103022,0.00103022,0.00103022,0.00103022,0.00103022,0.00103022,0.00103022,0.00103022,0.00103022,0.00103022,0.00103022,0.00103022,0.00103022,0.00103022,0.00103022,0.00103022,0.00554277,0.00710316,0.00716798,0.00716798,0.00716798,0.00716798,0.00716798,0.00716798,0.00716798,0.00716798,0.00716798,0.00716798,0.00716798,0.00716798,0.00716798,0.00716798,0.00716798,0.00716798,0.00716798,0.00716798,0.00716798,0.00716798,0.00716798,0.00716798,0.00716798,0.00717197,0.0095075,0.00960365,0.00960365,0.00960365,0.00960365,0.00960365,0.00960365,0.00960365,0.00960365,0.00960365,0.00960365,0.00960365,0.00960365,0.00960365,0.00960365,0.00960365,0.00960365,0.00960365,0.00960365,0.00960365,0.00960365,0.00960365,0.00960365,0.00960365,0.00717197,0.00852479,0.0250921,0.0257556
