t,Sv0,Sg0,Sg1,Sg2,Sg3,Sg4,Sg5,Sg6,Sg7,Sg8,Sg9,Sg10,Sg11,Sg12,Sg13,Sg14,Sg15,Sg16,Sg17,Sg18,Sg19,Sg20,Sg21,Sg22,Sg23,Iv0,Ig0,Ig1,Ig2,Ig3,Ig4,Ig5,Ig6,Ig7,Ig8,Ig9,Ig10,Ig11,Ig12,Ig13,Ig14,Ig15,Ig16,Ig17,Ig18,Ig19,Ig20,Ig21,Ig22,Ig23,Rv0,Rg0,Rg1,Rg2,Rg3,Rg4,Rg5,Rg6,Rg7,Rg8,Rg9,Rg10,Rg11,Rg12,Rg13,Rg14,Rg15,Rg16,Rg17,Rg18,Rg19,Rg20,Rg21,Rg22,Rg23,cumIv0,cumIg0,cumIg1,cumIg2,cumIg3,cumIg4,cumIg5,cumIg6,cumIg7,cumIg8,cumIg9,cumIg10,cumIg11,cumIg12,cumIg13,cumIg14,cumIg15,cumIg16,cumIg17,cumIg18,cumIg19,cumIg20,cumIg21,cumIg22,cumIg23,cumIv, pIv,pIs,pIg
115,0.0350001,0.0347107,0.0347107,0.0347107,0.0347107,0.0347107,0.0347107,0.0347107,0.0347107,0.0347107,0.0347107,0.0347107,0.0347107,0.0347107,0.0347107,0.0347107,0.0347107,0.0347107,0.0347107,0.0347107,0.0347107,0.0347107,0.0347107,0.0347107,0.0347107,0.000355425,0.000396264,0.000396264,0.000396264,0.000396264,0.000396264,0.000396264,0.000396264,0.000396264,0.000396264,0.000396264,0.000396264,0.000396264,0.000396264,0.000396264,0.000396264,0.000396264,0.000396264,0.000396264,0.000396264,0.000396264,0.000396264,0.000396264,0.000396264,0.000396264,0.0046445,0.00489305,0.00489305,0.00489305,0.00489305,0.00489305,0.00489305,0.00489305,0.00489305,0.00489305,0.00489305,0.00489305,0.00489305,0.00489305,0.00489305,0.00489305,0.00489305,0.00489305,0.00489305,0.00489305,0.00489305,0.00489305,0.00489305,0.00489305,0.00489305,0.00547513,0.00577945,0.00577945,0.00577945,0.00577945,0.00577945,0.00577945,0.00577945,0.00577945,0.00577945,0.00577945,0.00577945,0.00577945,0.00577945,0.00577945,0.00577945,0.00577945,0.00577945,0.00577945,0.00577945,0.00577945,0.00577945,0.00577945,0.00577945,0.00577945,0.00547513,0.00888562,nan,0.00990661
116,0.0349815,0.0346872,0.0346872,0.0346872,0.0346872,0.0346872,0.0346872,0.0346872,0.0346872,0.0346872,0.0346872,0.0346872,0.0346872,0.0346872,0.0346872,0.0346872,0.0346872,0.0346872,0.0346872,0.0346872,0.0346872,0.0346872,0.0346872,0.0346872,0.0346872,0.000345895,0.000387459,0.000387459,0.000387459,0.000387459,0.000387459,0.000387459,0.000387459,0.000387459,0.000387459,0.000387459,0.000387459,0.000387459,0.000387459,0.000387459,0.000387459,0.000387459,0.000387459,0.000387459,0.000387459,0.000387459,0.000387459,0.000387459,0.000387459,0.000387459,0.00467265,0.00492532,0.00492532,0.00492532,0.00492532,0.00492532,0.00492532,0.00492532,0.00492532,0.00492532,0.00492532,0.00492532,0.00492532,0.00492532,0.00492532,0.00492532,0.00492532,0.00492532,0.00492532,0.00492532,0.00492532,0.00492532,0.00492532,0.00492532,0.00492532,0.00550652,0.00581637,0.00581637,0.00581637,0.00581637,0.00581637,0.00581637,0.00581637,0.00581637,0.00581637,0.00581637,0.00581637,0.00581637,0.00581637,0.00581637,0.00581637,0.00581637,0.00581637,0.00581637,0.00581637,0.00581637,0.00581637,0.00581637,0.00581637,0.00581637,0.00550652,0.00864737,nan,0.00968647
117,0.0349638,0.0346641,0.0346641,0.0346641,0.0346641,0.0346641,0.0346641,0.0346641,0.0346641,0.0346641,0.0346641,0.0346641,0.0346641,0.0346641,0.0346641,0.0346641,0.0346641,0.0346641,0.0346641,0.0346641,0.0346641,0.0346641,0.0346641,0.0346641,0.0346641,0.000336582,0.000379405,0.000379405,0.000379405,0.000379405,0.000379405,0.000379405,0.000379405,0.000379405,0.000379405,0.000379405,0.000379405,0.000379405,0.000379405,0.000379405,0.000379405,0.000379405,0.000379405,0.000379405,0.000379405,0.000379405,0.000379405,0.000379405,0.000379405,0.000379405,0.00469963,0.00495652,0.00495652,0.00495652,0.00495652,0.00495652,0.00495652,0.00495652,0.00495652,0.00495652,0.00495652,0.00495652,0.00495652,0.00495652,0.00495652,0.00495652,0.00495652,0.00495652,0.00495652,0.00495652,0.00495652,0.00495652,0.00495652,0.00495652,0.00495652,0.00553703,0.00585305,0.00585305,0.00585305,0.00585305,0.00585305,0.00585305,0.00585305,0.00585305,0.00585305,0.00585305,0.00585305,0.00585305,0.00585305,0.00585305,0.00585305,0.00585305,0.00585305,0.00585305,0.00585305,0.00585305,0.00585305,0.00585305,0.00585305,0.00585305,0.00553703,0.00841455,nan,0.00948511
118,0.034947,0.0346412,0.0346412,0.0346412,0.0346412,0.0346412,0.0346412,0.0346412,0.0346412,0.0346412,0.0346412,0.0346412,0.0346412,0.0346412,0.0346412,0.0346412,0.0346412,0.0346412,0.0346412,0.0346412,0.0346412,0.0346412,0.0346412,0.0346412,0.0346412,0.000327525,0.00037206,0.00037206,0.00037206,0.00037206,0.00037206,0.00037206,0.00037206,0.00037206,0.00037206,0.00037206,0.00037206,0.00037206,0.00037206,0.00037206,0.00037206,0.00037206,0.00037206,0.00037206,0.00037206,0.00037206,0.00037206,0.00037206,0.00037206,0.00037206,0.00472546,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00498674,0.00556671,0.00588954,0.00588954,0.00588954,0.00588954,0.00588954,0.00588954,0.00588954,0.00588954,0.00588954,0.00588954,0.00588954,0.00588954,0.00588954,0.00588954,0.00588954,0.00588954,0.00588954,0.00588954,0.00588954,0.00588954,0.00588954,0.00588954,0.00588954,0.00588954,0.00556671,0.00818812,nan,0.00930151
119,0.0349311,0.0346186,0.0346186,0.0346186,0.0346186,0.0346186,0.0346186,0.0346186,0.0346186,0.0346186,0.0346186,0.0346186,0.0346186,0.0346186,0.0346186,0.0346186,0.0346186,0.0346186,0.0346186,0.0346186,0.0346186,0.0346186,0.0346186,0.0346186,0.0346186,0.000318755,0.000365389,0.000365389,0.000365389,0.000365389,0.000365389,0.000365389,0.000365389,0.000365389,0.000365389,0.000365389,0.000365389,0.000365389,0.000365389,0.000365389,0.000365389,0.000365389,0.000365389,0.000365389,0.000365389,0.000365389,0.000365389,0.000365389,0.000365389,0.000365389,0.00475019,0.00501605,0.00501605,0.00501605,0.00501605,0.00501605,0.00501605,0.00501605,0.00501605,0.00501605,0.00501605,0.00501605,0.00501605,0.00501605,0.00501605,0.00501605,0.00501605,0.00501605,0.00501605,0.00501605,0.00501605,0.00501605,0.00501605,0.00501605,0.00501605,0.00559565,0.00592589,0.00592589,0.00592589,0.00592589,0.00592589,0.00592589,0.00592589,0.00592589,0.00592589,0.00592589,0.00592589,0.00592589,0.00592589,0.00592589,0.00592589,0.00592589,0.00592589,0.00592589,0.00592589,0.00592589,0.00592589,0.00592589,0.00592589,0.00592589,0.00559565,0.00796886,nan,0.00913473
120,0.0349159,0.0345961,0.0345961,0.0345961,0.0345961,0.0345961,0.0345961,0.0345961,0.0345961,0.0345961,0.0345961,0.0345961,0.0345961,0.0345961,0.0345961,0.0345961,0.0345961,0.0345961,0.0345961,0.0345961,0.0345961,0.0345961,0.0345961,0.0345961,0.0345961,0.000310294,0.000359359,0.000359359,0.000359359,0.000359359,0.000359359,0.000359359,0.000359359,0.000359359,0.000359359,0.000359359,0.000359359,0.000359359,0.000359359,0.000359359,0.000359359,0.000359359,0.000359359,0.000359359,0.000359359,0.000359359,0.000359359,0.000359359,0.000359359,0.000359359,0.00477384,0.00504455,0.00504455,0.00504455,0.00504455,0.00504455,0.00504455,0.00504455,0.00504455,0.00504455,0.00504455,0.00504455,0.00504455,0.00504455,0.00504455,0.00504455,0.00504455,0.00504455,0.00504455,0.00504455,0.00504455,0.00504455,0.00504455,0.00504455,0.00504455,0.00562389,0.00596214,0.00596214,0.00596214,0.00596214,0.00596214,0.00596214,0.00596214,0.00596214,0.00596214,0.00596214,0.00596214,0.00596214,0.00596214,0.00596214,0.00596214,0.00596214,0.00596214,0.00596214,0.00596214,0.00596214,0.00596214,0.00596214,0.00596214,0.00596214,0.00562389,0.00775736,nan,0.00898397
121,0.0349014,0.0345738,0.0345738,0.0345738,0.0345738,0.0345738,0.0345738,0.0345738,0.0345738,0.0345738,0.0345738,0.0345738,0.0345738,0.0345738,0.0345738,0.0345738,0.0345738,0.0345738,0.0345738,0.0345738,0.0345738,0.0345738,0.0345738,0.0345738,0.0345738,0.000302162,0.000353939,0.000353939,0.000353939,0.000353939,0.000353939,0.000353939,0.000353939,0.000353939,0.000353939,0.000353939,0.000353939,0.000353939,0.000353939,0.000353939,0.000353939,0.000353939,0.000353939,0.000353939,0.000353939,0.000353939,0.000353939,0.000353939,0.000353939,0.000353939,0.00479646,0.0050723,0.0050723,0.0050723,0.0050723,0.0050723,0.0050723,0.0050723,0.0050723,0.0050723,0.0050723,0.0050723,0.0050723,0.0050723,0.0050723,0.0050723,0.0050723,0.0050723,0.0050723,0.0050723,0.0050723,0.0050723,0.0050723,0.0050723,0.0050723,0.00565149,0.00599834,0.00599834,0.00599834,0.00599834,0.00599834,0.00599834,0.00599834,0.00599834,0.00599834,0.00599834,0.00599834,0.00599834,0.00599834,0.00599834,0.00599834,0.00599834,0.00599834,0.00599834,0.00599834,0.00599834,0.00599834,0.00599834,0.00599834,0.00599834,0.00565149,0.00755405,nan,0.00884849
122,0.0348875,0.0345515,0.0345515,0.0345515,0.0345515,0.0345515,0.0345515,0.0345515,0.0345515,0.0345515,0.0345515,0.0345515,0.0345515,0.0345515,0.0345515,0.0345515,0.0345515,0.0345515,0.0345515,0.0345515,0.0345515,0.0345515,0.0345515,0.0345515,0.0345515,0.000294371,0.000349105,0.000349105,0.000349105,0.000349105,0.000349105,0.000349105,0.000349105,0.000349105,0.000349105,0.000349105,0.000349105,0.000349105,0.000349105,0.000349105,0.000349105,0.000349105,0.000349105,0.000349105,0.000349105,0.000349105,0.000349105,0.000349105,0.000349105,0.000349105,0.00481809,0.00509938,0.00509938,0.00509938,0.00509938,0.00509938,0.00509938,0.00509938,0.00509938,0.00509938,0.00509938,0.00509938,0.00509938,0.00509938,0.00509938,0.00509938,0.00509938,0.00509938,0.00509938,0.00509938,0.00509938,0.00509938,0.00509938,0.00509938,0.00509938,0.0056785,0.00603452,0.00603452,0.00603452,0.00603452,0.00603452,0.00603452,0.00603452,0.00603452,0.00603452,0.00603452,0.00603452,0.00603452,0.00603452,0.00603452,0.00603452,0.00603452,0.00603452,0.00603452,0.00603452,0.00603452,0.00603452,0.00603452,0.00603452,0.00603452,0.0056785,0.00735927,nan,0.00872763
123,0.0348743,0.0345293,0.0345293,0.0345293,0.0345293,0.0345293,0.0345293,0.0345293,0.0345293,0.0345293,0.0345293,0.0345293,0.0345293,0.0345293,0.0345293,0.0345293,0.0345293,0.0345293,0.0345293,0.0345293,0.0345293,0.0345293,0.0345293,0.0345293,0.0345293,0.00028693,0.000344833,0.000344833,0.000344833,0.000344833,0.000344833,0.000344833,0.000344833,0.000344833,0.000344833,0.000344833,0.000344833,0.000344833,0.000344833,0.000344833,0.000344833,0.000344833,0.000344833,0.000344833,0.000344833,0.000344833,0.000344833,0.000344833,0.000344833,0.000344833,0.00483878,0.00512586,0.00512586,0.00512586,0.00512586,0.00512586,0.00512586,0.00512586,0.00512586,0.00512586,0.00512586,0.00512586,0.00512586,0.00512586,0.00512586,0.00512586,0.00512586,0.00512586,0.00512586,0.00512586,0.00512586,0.00512586,0.00512586,0.00512586,0.00512586,0.00570497,0.00607073,0.00607073,0.00607073,0.00607073,0.00607073,0.00607073,0.00607073,0.00607073,0.00607073,0.00607073,0.00607073,0.00607073,0.00607073,0.00607073,0.00607073,0.00607073,0.00607073,0.00607073,0.00607073,0.00607073,0.00607073,0.00607073,0.00607073,0.00607073,0.00570497,0.00717324,nan,0.00862082
124,0.0348616,0.0345071,0.0345071,0.0345071,0.0345071,0.0345071,0.0345071,0.0345071,0.0345071,0.0345071,0.0345071,0.0345071,0.0345071,0.0345071,0.0345071,0.0345071,0.0345071,0.0345071,0.0345071,0.0345071,0.0345071,0.0345071,0.0345071,0.0345071,0.0345071,0.000279844,0.000341102,0.000341102,0.000341102,0.000341102,0.000341102,0.000341102,0.000341102,0.000341102,0.000341102,0.000341102,0.000341102,0.000341102,0.000341102,0.000341102,0.000341102,0.000341102,0.000341102,0.000341102,0.000341102,0.000341102,0.000341102,0.000341102,0.000341102,0.000341102,0.00485856,0.0051518,0.0051518,0.0051518,0.0051518,0.0051518,0.0051518,0.0051518,0.0051518,0.0051518,0.0051518,0.0051518,0.0051518,0.0051518,0.0051518,0.0051518,0.0051518,0.0051518,0.0051518,0.0051518,0.0051518,0.0051518,0.0051518,0.0051518,0.0051518,0.00573095,0.00610701,0.00610701,0.00610701,0.00610701,0.00610701,0.00610701,0.00610701,0.00610701,0.00610701,0.00610701,0.00610701,0.00610701,0.00610701,0.00610701,0.00610701,0.00610701,0.00610701,0.00610701,0.00610701,0.00610701,0.00610701,0.00610701,0.00610701,0.00610701,0.00573095,0.00699611,nan,0.00852755
125,0.0348494,0.0344848,0.0344848,0.0344848,0.0344848,0.0344848,0.0344848,0.0344848,0.0344848,0.0344848,0.0344848,0.0344848,0.0344848,0.0344848,0.0344848,0.0344848,0.0344848,0.0344848,0.0344848,0.0344848,0.0344848,0.0344848,0.0344848,0.0344848,0.0344848,0.000273117,0.000337896,0.000337896,0.000337896,0.000337896,0.000337896,0.000337896,0.000337896,0.000337896,0.000337896,0.000337896,0.000337896,0.000337896,0.000337896,0.000337896,0.000337896,0.000337896,0.000337896,0.000337896,0.000337896,0.000337896,0.000337896,0.000337896,0.000337896,0.000337896,0.00487748,0.00517726,0.00517726,0.00517726,0.00517726,0.00517726,0.00517726,0.00517726,0.00517726,0.00517726,0.00517726,0.00517726,0.00517726,0.00517726,0.00517726,0.00517726,0.00517726,0.00517726,0.00517726,0.00517726,0.00517726,0.00517726,0.00517726,0.00517726,0.00517726,0.00575648,0.00614342,0.00614342,0.00614342,0.00614342,0.00614342,0.00614342,0.00614342,0.00614342,0.00614342,0.00614342,0.00614342,0.00614342,0.00614342,0.00614342,0.00614342,0.00614342,0.00614342,0.00614342,0.00614342,0.00614342,0.00614342,0.00614342,0.00614342,0.00614342,0.00575648,0.00682794,nan,0.00844739
126,0.0348377,0.0344625,0.0344625,0.0344625,0.0344625,0.0344625,0.0344625,0.0344625,0.0344625,0.0344625,0.0344625,0.0344625,0.0344625,0.0344625,0.0344625,0.0344625,0.0344625,0.0344625,0.0344625,0.0344625,0.0344625,0.0344625,0.0344625,0.0344625,0.0344625,0.00026675,0.000335198,0.000335198,0.000335198,0.000335198,0.000335198,0.000335198,0.000335198,0.000335198,0.000335198,0.000335198,0.000335198,0.000335198,0.000335198,0.000335198,0.000335198,0.000335198,0.000335198,0.000335198,0.000335198,0.000335198,0.000335198,0.000335198,0.000335198,0.000335198,0.00489559,0.00520231,0.00520231,0.00520231,0.00520231,0.00520231,0.00520231,0.00520231,0.00520231,0.00520231,0.00520231,0.00520231,0.00520231,0.00520231,0.00520231,0.00520231,0.00520231,0.00520231,0.00520231,0.00520231,0.00520231,0.00520231,0.00520231,0.00520231,0.00520231,0.00578161,0.00617999,0.00617999,0.00617999,0.00617999,0.00617999,0.00617999,0.00617999,0.00617999,0.00617999,0.00617999,0.00617999,0.00617999,0.00617999,0.00617999,0.00617999,0.00617999,0.00617999,0.00617999,0.00617999,0.00617999,0.00617999,0.00617999,0.00617999,0.00617999,0.00578161,0.00666874,nan,0.00837996
127,0.0348263,0.03444,0.03444,0.03444,0.03444,0.03444,0.03444,0.03444,0.03444,0.03444,0.03444,0.03444,0.03444,0.03444,0.03444,0.03444,0.03444,0.03444,0.03444,0.03444,0.03444,0.03444,0.03444,0.03444,0.03444,0.00026074,0.000332997,0.000332997,0.000332997,0.000332997,0.000332997,0.000332997,0.000332997,0.000332997,0.000332997,0.000332997,0.000332997,0.000332997,0.000332997,0.000332997,0.000332997,0.000332997,0.000332997,0.000332997,0.000332997,0.000332997,0.000332997,0.000332997,0.000332997,0.000332997,0.00491292,0.005227,0.005227,0.005227,0.005227,0.005227,0.005227,0.005227,0.005227,0.005227,0.005227,0.005227,0.005227,0.005227,0.005227,0.005227,0.005227,0.005227,0.005227,0.005227,0.005227,0.005227,0.005227,0.005227,0.005227,0.00580637,0.00621677,0.00621677,0.00621677,0.00621677,0.00621677,0.00621677,0.00621677,0.00621677,0.00621677,0.00621677,0.00621677,0.00621677,0.00621677,0.00621677,0.00621677,0.00621677,0.00621677,0.00621677,0.00621677,0.00621677,0.00621677,0.00621677,0.00621677,0.00621677,0.00580637,0.0065185,nan,0.00832494
128,0.0348154,0.0344173,0.0344173,0.0344173,0.0344173,0.0344173,0.0344173,0.0344173,0.0344173,0.0344173,0.0344173,0.0344173,0.0344173,0.0344173,0.0344173,0.0344173,0.0344173,0.0344173,0.0344173,0.0344173,0.0344173,0.0344173,0.0344173,0.0344173,0.0344173,0.000255086,0.000331283,0.000331283,0.000331283,0.000331283,0.000331283,0.000331283,0.000331283,0.000331283,0.000331283,0.000331283,0.000331283,0.000331283,0.000331283,0.000331283,0.000331283,0.000331283,0.000331283,0.000331283,0.000331283,0.000331283,0.000331283,0.000331283,0.000331283,0.000331283,0.00492953,0.0052514,0.0052514,0.0052514,0.0052514,0.0052514,0.0052514,0.0052514,0.0052514,0.0052514,0.0052514,0.0052514,0.0052514,0.0052514,0.0052514,0.0052514,0.0052514,0.0052514,0.0052514,0.0052514,0.0052514,0.0052514,0.0052514,0.0052514,0.0052514,0.00583081,0.00625381,0.00625381,0.00625381,0.00625381,0.00625381,0.00625381,0.00625381,0.00625381,0.00625381,0.00625381,0.00625381,0.00625381,0.00625381,0.00625381,0.00625381,0.00625381,0.00625381,0.00625381,0.00625381,0.00625381,0.00625381,0.00625381,0.00625381,0.00625381,0.00583081,0.00637715,nan,0.00828207
129,0.0348048,0.0343944,0.0343944,0.0343944,0.0343944,0.0343944,0.0343944,0.0343944,0.0343944,0.0343944,0.0343944,0.0343944,0.0343944,0.0343944,0.0343944,0.0343944,0.0343944,0.0343944,0.0343944,0.0343944,0.0343944,0.0343944,0.0343944,0.0343944,0.0343944,0.000249784,0.000330046,0.000330046,0.000330046,0.000330046,0.000330046,0.000330046,0.000330046,0.000330046,0.000330046,0.000330046,0.000330046,0.000330046,0.000330046,0.000330046,0.000330046,0.000330046,0.000330046,0.000330046,0.000330046,0.000330046,0.000330046,0.000330046,0.000330046,0.000330046,0.00494546,0.00527556,0.00527556,0.00527556,0.00527556,0.00527556,0.00527556,0.00527556,0.00527556,0.00527556,0.00527556,0.00527556,0.00527556,0.00527556,0.00527556,0.00527556,0.00527556,0.00527556,0.00527556,0.00527556,0.00527556,0.00527556,0.00527556,0.00527556,0.00527556,0.00585496,0.00629115,0.00629115,0.00629115,0.00629115,0.00629115,0.00629115,0.00629115,0.00629115,0.00629115,0.00629115,0.00629115,0.00629115,0.00629115,0.00629115,0.00629115,0.00629115,0.00629115,0.00629115,0.00629115,0.00629115,0.00629115,0.00629115,0.00629115,0.00629115,0.00585496,0.00624459,nan,0.00825114
130,0.0347944,0.0343712,0.0343712,0.0343712,0.0343712,0.0343712,0.0343712,0.0343712,0.0343712,0.0343712,0.0343712,0.0343712,0.0343712,0.0343712,0.0343712,0.0343712,0.0343712,0.0343712,0.0343712,0.0343712,0.0343712,0.0343712,0.0343712,0.0343712,0.0343712,0.000244829,0.00032928,0.00032928,0.00032928,0.00032928,0.00032928,0.00032928,0.00032928,0.00032928,0.00032928,0.00032928,0.00032928,0.00032928,0.00032928,0.00032928,0.00032928,0.00032928,0.00032928,0.00032928,0.00032928,0.00032928,0.00032928,0.00032928,0.00032928,0.00032928,0.00496074,0.00529954,0.00529954,0.00529954,0.00529954,0.00529954,0.00529954,0.00529954,0.00529954,0.00529954,0.00529954,0.00529954,0.00529954,0.00529954,0.00529954,0.00529954,0.00529954,0.00529954,0.00529954,0.00529954,0.00529954,0.00529954,0.00529954,0.00529954,0.00529954,0.00587886,0.00632885,0.00632885,0.00632885,0.00632885,0.00632885,0.00632885,0.00632885,0.00632885,0.00632885,0.00632885,0.00632885,0.00632885,0.00632885,0.00632885,0.00632885,0.00632885,0.00632885,0.00632885,0.00632885,0.00632885,0.00632885,0.00632885,0.00632885,0.00632885,0.00587886,0.00612072,nan,0.008232
131,0.0347844,0.0343476,0.0343476,0.0343476,0.0343476,0.0343476,0.0343476,0.0343476,0.0343476,0.0343476,0.0343476,0.0343476,0.0343476,0.0343476,0.0343476,0.0343476,0.0343476,0.0343476,0.0343476,0.0343476,0.0343476,0.0343476,0.0343476,0.0343476,0.0343476,0.000240216,0.000328982,0.000328982,0.000328982,0.000328982,0.000328982,0.000328982,0.000328982,0.000328982,0.000328982,0.000328982,0.000328982,0.000328982,0.000328982,0.000328982,0.000328982,0.000328982,0.000328982,0.000328982,0.000328982,0.000328982,0.000328982,0.000328982,0.000328982,0.000328982,0.00497543,0.00532339,0.00532339,0.00532339,0.00532339,0.00532339,0.00532339,0.00532339,0.00532339,0.00532339,0.00532339,0.00532339,0.00532339,0.00532339,0.00532339,0.00532339,0.00532339,0.00532339,0.00532339,0.00532339,0.00532339,0.00532339,0.00532339,0.00532339,0.00532339,0.00590255,0.00636695,0.00636695,0.00636695,0.00636695,0.00636695,0.00636695,0.00636695,0.00636695,0.00636695,0.00636695,0.00636695,0.00636695,0.00636695,0.00636695,0.00636695,0.00636695,0.00636695,0.00636695,0.00636695,0.00636695,0.00636695,0.00636695,0.00636695,0.00636695,0.00590255,0.00600541,nan,0.00822454
132,0.0347745,0.0343237,0.0343237,0.0343237,0.0343237,0.0343237,0.0343237,0.0343237,0.0343237,0.0343237,0.0343237,0.0343237,0.0343237,0.0343237,0.0343237,0.0343237,0.0343237,0.0343237,0.0343237,0.0343237,0.0343237,0.0343237,0.0343237,0.0343237,0.0343237,0.000235941,0.000329149,0.000329149,0.000329149,0.000329149,0.000329149,0.000329149,0.000329149,0.000329149,0.000329149,0.000329149,0.000329149,0.000329149,0.000329149,0.000329149,0.000329149,0.000329149,0.000329149,0.000329149,0.000329149,0.000329149,0.000329149,0.000329149,0.000329149,0.000329149,0.00498956,0.00534717,0.00534717,0.00534717,0.00534717,0.00534717,0.00534717,0.00534717,0.00534717,0.00534717,0.00534717,0.00534717,0.00534717,0.00534717,0.00534717,0.00534717,0.00534717,0.00534717,0.00534717,0.00534717,0.00534717,0.00534717,0.00534717,0.00534717,0.00534717,0.00592605,0.00640551,0.00640551,0.00640551,0.00640551,0.00640551,0.00640551,0.00640551,0.00640551,0.00640551,0.00640551,0.00640551,0.00640551,0.00640551,0.00640551,0.00640551,0.00640551,0.00640551,0.00640551,0.00640551,0.00640551,0.00640551,0.00640551,0.00640551,0.00640551,0.00592605,0.00589852,nan,0.00822871
133,0.0347648,0.0342993,0.0342993,0.0342993,0.0342993,0.0342993,0.0342993,0.0342993,0.0342993,0.0342993,0.0342993,0.0342993,0.0342993,0.0342993,0.0342993,0.0342993,0.0342993,0.0342993,0.0342993,0.0342993,0.0342993,0.0342993,0.0342993,0.0342993,0.0342993,0.000231997,0.00032978,0.00032978,0.00032978,0.00032978,0.00032978,0.00032978,0.00032978,0.00032978,0.00032978,0.00032978,0.00032978,0.00032978,0.00032978,0.00032978,0.00032978,0.00032978,0.00032978,0.00032978,0.00032978,0.00032978,0.00032978,0.00032978,0.00032978,0.00032978,0.00500317,0.00537093,0.00537093,0.00537093,0.00537093,0.00537093,0.00537093,0.00537093,0.00537093,0.00537093,0.00537093,0.00537093,0.00537093,0.00537093,0.00537093,0.00537093,0.00537093,0.00537093,0.00537093,0.00537093,0.00537093,0.00537093,0.00537093,0.00537093,0.00537093,0.00594941,0.00644459,0.00644459,0.00644459,0.00644459,0.00644459,0.00644459,0.00644459,0.00644459,0.00644459,0.00644459,0.00644459,0.00644459,0.00644459,0.00644459,0.00644459,0.00644459,0.00644459,0.00644459,0.00644459,0.00644459,0.00644459,0.00644459,0.00644459,0.00644459,0.00594941,0.00579992,nan,0.0082445
134,0.0347553,0.0342744,0.0342744,0.0342744,0.0342744,0.0342744,0.0342744,0.0342744,0.0342744,0.0342744,0.0342744,0.0342744,0.0342744,0.0342744,0.0342744,0.0342744,0.0342744,0.0342744,0.0342744,0.0342744,0.0342744,0.0342744,0.0342744,0.0342744,0.0342744,0.000228379,0.000330878,0.000330878,0.000330878,0.000330878,0.000330878,0.000330878,0.000330878,0.000330878,0.000330878,0.000330878,0.000330878,0.000330878,0.000330878,0.000330878,0.000330878,0.000330878,0.000330878,0.000330878,0.000330878,0.000330878,0.000330878,0.000330878,0.000330878,0.000330878,0.0050163,0.00539472,0.00539472,0.00539472,0.00539472,0.00539472,0.00539472,0.00539472,0.00539472,0.00539472,0.00539472,0.00539472,0.00539472,0.00539472,0.00539472,0.00539472,0.00539472,0.00539472,0.00539472,0.00539472,0.00539472,0.00539472,0.00539472,0.00539472,0.00539472,0.00597265,0.00648423,0.00648423,0.00648423,0.00648423,0.00648423,0.00648423,0.00648423,0.00648423,0.00648423,0.00648423,0.00648423,0.00648423,0.00648423,0.00648423,0.00648423,0.00648423,0.00648423,0.00648423,0.00648423,0.00648423,0.00648423,0.00648423,0.00648423,0.00648423,0.00597265,0.00570947,nan,0.00827196
135,0.0347459,0.0342489,0.0342489,0.0342489,0.0342489,0.0342489,0.0342489,0.0342489,0.0342489,0.0342489,0.0342489,0.0342489,0.0342489,0.0342489,0.0342489,0.0342489,0.0342489,0.0342489,0.0342489,0.0342489,0.0342489,0.0342489,0.0342489,0.0342489,0.0342489,0.000225081,0.000332447,0.000332447,0.000332447,0.000332447,0.000332447,0.000332447,0.000332447,0.000332447,0.000332447,0.000332447,0.000332447,0.000332447,0.000332447,0.000332447,0.000332447,0.000332447,0.000332447,0.000332447,0.000332447,0.000332447,0.000332447,0.000332447,0.000332447,0.000332447,0.00502899,0.00541861,0.00541861,0.00541861,0.00541861,0.00541861,0.00541861,0.00541861,0.00541861,0.00541861,0.00541861,0.00541861,0.00541861,0.00541861,0.00541861,0.00541861,0.00541861,0.00541861,0.00541861,0.00541861,0.00541861,0.00541861,0.00541861,0.00541861,0.00541861,0.0059958,0.00652449,0.00652449,0.00652449,0.00652449,0.00652449,0.00652449,0.00652449,0.00652449,0.00652449,0.00652449,0.00652449,0.00652449,0.00652449,0.00652449,0.00652449,0.00652449,0.00652449,0.00652449,0.00652449,0.00652449,0.00652449,0.00652449,0.00652449,0.00652449,0.0059958,0.00562702,nan,0.00831116
