t,Sv0,Ss0,Sg0,Sg1,Sg2,Sg3,Sg4,Sg5,Sg6,Sg7,Sg8,Sg9,Sg10,Sg11,Sg12,Sg13,Sg14,Sg15,Sg16,Sg17,Sg18,Sg19,Sg20,Sg21,Sg22,Iv0,Is0,Ig0,Ig1,Ig2,Ig3,Ig4,Ig5,Ig6,Ig7,Ig8,Ig9,Ig10,Ig11,Ig12,Ig13,Ig14,Ig15,Ig16,Ig17,Ig18,Ig19,Ig20,Ig21,Ig22,Rv0,Rs0,Rg0,Rg1,Rg2,Rg3,Rg4,Rg5,Rg6,Rg7,Rg8,Rg9,Rg10,Rg11,Rg12,Rg13,Rg14,Rg15,Rg16,Rg17,Rg18,Rg19,Rg20,Rg21,Rg22,cumIv0,cumIs0,cumIg0,cumIg1,cumIg2,cumIg3,cumIg4,cumIg5,cumIg6,cumIg7,cumIg8,cumIg9,cumIg10,cumIg11,cumIg12,cumIg13,cumIg14,cumIg15,cumIg16,cumIg17,cumIg18,cumIg19,cumIg20,cumIg21,cumIg22,cumIv, pIv,pIs,pIg
202,0.0320912,0.0245065,0.0225986,0.0225986,0.0225986,0.0225986,0.0225986,0.0225986,0.0225986,0.0225986,0.0225986,0.0225986,0.0225986,0.0225986,0.0225986,0.0225986,0.0225986,0.0225986,0.0225986,0.0225986,0.0225986,0.0225986,0.0225986,0.0225986,0.0225986,0.000916279,0.00318259,0.00371511,0.00371511,0.00371511,0.00371511,0.00371511,0.00371511,0.00371511,0.00371511,0.00371511,0.00371511,0.00371511,0.00371511,0.00371511,0.00371511,0.00371511,0.00371511,0.00371511,0.00371511,0.00371511,0.00371511,0.00371511,0.00371511,0.00371511,0.00699255,0.0123109,0.0136863,0.0136863,0.0136863,0.0136863,0.0136863,0.0136863,0.0136863,0.0136863,0.0136863,0.0136863,0.0136863,0.0136863,0.0136863,0.0136863,0.0136863,0.0136863,0.0136863,0.0136863,0.0136863,0.0136863,0.0136863,0.0136863,0.0136863,0.00968069,0.0175893,0.0195699,0.0195699,0.0195699,0.0195699,0.0195699,0.0195699,0.0195699,0.0195699,0.0195699,0.0195699,0.0195699,0.0195699,0.0195699,0.0195699,0.0195699,0.0195699,0.0195699,0.0195699,0.0195699,0.0195699,0.0195699,0.0195699,0.0195699,0.00968069,0.022907,0.0795647,0.0928778
203,0.031975,0.0240826,0.0221127,0.0221127,0.0221127,0.0221127,0.0221127,0.0221127,0.0221127,0.0221127,0.0221127,0.0221127,0.0221127,0.0221127,0.0221127,0.0221127,0.0221127,0.0221127,0.0221127,0.0221127,0.0221127,0.0221127,0.0221127,0.0221127,0.0221127,0.000943244,0.00326445,0.00380044,0.00380044,0.00380044,0.00380044,0.00380044,0.00380044,0.00380044,0.00380044,0.00380044,0.00380044,0.00380044,0.00380044,0.00380044,0.00380044,0.00380044,0.00380044,0.00380044,0.00380044,0.00380044,0.00380044,0.00380044,0.00380044,0.00380044,0.00708177,0.012653,0.0140869,0.0140869,0.0140869,0.0140869,0.0140869,0.0140869,0.0140869,0.0140869,0.0140869,0.0140869,0.0140869,0.0140869,0.0140869,0.0140869,0.0140869,0.0140869,0.0140869,0.0140869,0.0140869,0.0140869,0.0140869,0.0140869,0.0140869,0.00981616,0.0180474,0.0200938,0.0200938,0.0200938,0.0200938,0.0200938,0.0200938,0.0200938,0.0200938,0.0200938,0.0200938,0.0200938,0.0200938,0.0200938,0.0200938,0.0200938,0.0200938,0.0200938,0.0200938,0.0200938,0.0200938,0.0200938,0.0200938,0.0200938,0.00981616,0.0235811,0.0816111,0.0950109
204,0.0318566,0.023658,0.0216283,0.0216283,0.0216283,0.0216283,0.0216283,0.0216283,0.0216283,0.0216283,0.0216283,0.0216283,0.0216283,0.0216283,0.0216283,0.0216283,0.0216283,0.0216283,0.0216283,0.0216283,0.0216283,0.0216283,0.0216283,0.0216283,0.0216283,0.000969519,0.00333884,0.00387603,0.00387603,0.00387603,0.00387603,0.00387603,0.00387603,0.00387603,0.00387603,0.00387603,0.00387603,0.00387603,0.00387603,0.00387603,0.00387603,0.00387603,0.00387603,0.00387603,0.00387603,0.00387603,0.00387603,0.00387603,0.00387603,0.00387603,0.00717385,0.0130032,0.0144957,0.0144957,0.0144957,0.0144957,0.0144957,0.0144957,0.0144957,0.0144957,0.0144957,0.0144957,0.0144957,0.0144957,0.0144957,0.0144957,0.0144957,0.0144957,0.0144957,0.0144957,0.0144957,0.0144957,0.0144957,0.0144957,0.0144957,0.00995404,0.0185071,0.0206174,0.0206174,0.0206174,0.0206174,0.0206174,0.0206174,0.0206174,0.0206174,0.0206174,0.0206174,0.0206174,0.0206174,0.0206174,0.0206174,0.0206174,0.0206174,0.0206174,0.0206174,0.0206174,0.0206174,0.0206174,0.0206174,0.0206174,0.00995404,0.024238,0.083471,0.0969006
205,0.0317365,0.0232342,0.0211471,0.0211471,0.0211471,0.0211471,0.0211471,0.0211471,0.0211471,0.0211471,0.0211471,0.0211471,0.0211471,0.0211471,0.0211471,0.0211471,0.0211471,0.0211471,0.0211471,0.0211471,0.0211471,0.0211471,0.0211471,0.0211471,0.0211471,0.000994815,0.00340516,0.00394128,0.00394128,0.00394128,0.00394128,0.00394128,0.00394128,0.00394128,0.00394128,0.00394128,0.00394128,0.00394128,0.00394128,0.00394128,0.00394128,0.00394128,0.00394128,0.00394128,0.00394128,0.00394128,0.00394128,0.00394128,0.00394128,0.00394128,0.00726869,0.0133606,0.0149116,0.0149116,0.0149116,0.0149116,0.0149116,0.0149116,0.0149116,0.0149116,0.0149116,0.0149116,0.0149116,0.0149116,0.0149116,0.0149116,0.0149116,0.0149116,0.0149116,0.0149116,0.0149116,0.0149116,0.0149116,0.0149116,0.0149116,0.010094,0.018967,0.0211388,0.0211388,0.0211388,0.0211388,0.0211388,0.0211388,0.0211388,0.0211388,0.0211388,0.0211388,0.0211388,0.0211388,0.0211388,0.0211388,0.0211388,0.0211388,0.0211388,0.0211388,0.0211388,0.0211388,0.0211388,0.0211388,0.0211388,0.010094,0.0248704,0.0851289,0.0985321
206,0.031615,0.0228128,0.0206709,0.0206709,0.0206709,0.0206709,0.0206709,0.0206709,0.0206709,0.0206709,0.0206709,0.0206709,0.0206709,0.0206709,0.0206709,0.0206709,0.0206709,0.0206709,0.0206709,0.0206709,0.0206709,0.0206709,0.0206709,0.0206709,0.0206709,0.00101886,0.00346288,0.00399574,0.00399574,0.00399574,0.00399574,0.00399574,0.00399574,0.00399574,0.00399574,0.00399574,0.00399574,0.00399574,0.00399574,0.00399574,0.00399574,0.00399574,0.00399574,0.00399574,0.00399574,0.00399574,0.00399574,0.00399574,0.00399574,0.00399574,0.00736615,0.0137243,0.0153334,0.0153334,0.0153334,0.0153334,0.0153334,0.0153334,0.0153334,0.0153334,0.0153334,0.0153334,0.0153334,0.0153334,0.0153334,0.0153334,0.0153334,0.0153334,0.0153334,0.0153334,0.0153334,0.0153334,0.0153334,0.0153334,0.0153334,0.0102355,0.0194255,0.0216565,0.0216565,0.0216565,0.0216565,0.0216565,0.0216565,0.0216565,0.0216565,0.0216565,0.0216565,0.0216565,0.0216565,0.0216565,0.0216565,0.0216565,0.0216565,0.0216565,0.0216565,0.0216565,0.0216565,0.0216565,0.0216565,0.0216565,0.0102355,0.0254716,0.086572,0.0998936
207,0.0314925,0.0223952,0.0202012,0.0202012,0.0202012,0.0202012,0.0202012,0.0202012,0.0202012,0.0202012,0.0202012,0.0202012,0.0202012,0.0202012,0.0202012,0.0202012,0.0202012,0.0202012,0.0202012,0.0202012,0.0202012,0.0202012,0.0202012,0.0202012,0.0202012,0.00104141,0.00351161,0.00403908,0.00403908,0.00403908,0.00403908,0.00403908,0.00403908,0.00403908,0.00403908,0.00403908,0.00403908,0.00403908,0.00403908,0.00403908,0.00403908,0.00403908,0.00403908,0.00403908,0.00403908,0.00403908,0.00403908,0.00403908,0.00403908,0.00403908,0.00746605,0.0140932,0.0157597,0.0157597,0.0157597,0.0157597,0.0157597,0.0157597,0.0157597,0.0157597,0.0157597,0.0157597,0.0157597,0.0157597,0.0157597,0.0157597,0.0157597,0.0157597,0.0157597,0.0157597,0.0157597,0.0157597,0.0157597,0.0157597,0.0157597,0.0103783,0.0198813,0.0221687,0.0221687,0.0221687,0.0221687,0.0221687,0.0221687,0.0221687,0.0221687,0.0221687,0.0221687,0.0221687,0.0221687,0.0221687,0.0221687,0.0221687,0.0221687,0.0221687,0.0221687,0.0221687,0.0221687,0.0221687,0.0221687,0.0221687,0.0103783,0.0260354,0.0877902,0.100977
208,0.0313695,0.0219827,0.0197397,0.0197397,0.0197397,0.0197397,0.0197397,0.0197397,0.0197397,0.0197397,0.0197397,0.0197397,0.0197397,0.0197397,0.0197397,0.0197397,0.0197397,0.0197397,0.0197397,0.0197397,0.0197397,0.0197397,0.0197397,0.0197397,0.0197397,0.00106225,0.00355104,0.00407111,0.00407111,0.00407111,0.00407111,0.00407111,0.00407111,0.00407111,0.00407111,0.00407111,0.00407111,0.00407111,0.00407111,0.00407111,0.00407111,0.00407111,0.00407111,0.00407111,0.00407111,0.00407111,0.00407111,0.00407111,0.00407111,0.00407111,0.00756822,0.0144663,0.0161892,0.0161892,0.0161892,0.0161892,0.0161892,0.0161892,0.0161892,0.0161892,0.0161892,0.0161892,0.0161892,0.0161892,0.0161892,0.0161892,0.0161892,0.0161892,0.0161892,0.0161892,0.0161892,0.0161892,0.0161892,0.0161892,0.0161892,0.0105219,0.0203329,0.0226741,0.0226741,0.0226741,0.0226741,0.0226741,0.0226741,0.0226741,0.0226741,0.0226741,0.0226741,0.0226741,0.0226741,0.0226741,0.0226741,0.0226741,0.0226741,0.0226741,0.0226741,0.0226741,0.0226741,0.0226741,0.0226741,0.0226741,0.0105219,0.0265561,0.088776,0.101778
209,0.0312464,0.0215767,0.0192876,0.0192876,0.0192876,0.0192876,0.0192876,0.0192876,0.0192876,0.0192876,0.0192876,0.0192876,0.0192876,0.0192876,0.0192876,0.0192876,0.0192876,0.0192876,0.0192876,0.0192876,0.0192876,0.0192876,0.0192876,0.0192876,0.0192876,0.00108116,0.00358099,0.00409176,0.00409176,0.00409176,0.00409176,0.00409176,0.00409176,0.00409176,0.00409176,0.00409176,0.00409176,0.00409176,0.00409176,0.00409176,0.00409176,0.00409176,0.00409176,0.00409176,0.00409176,0.00409176,0.00409176,0.00409176,0.00409176,0.00409176,0.00767242,0.0148423,0.0166207,0.0166207,0.0166207,0.0166207,0.0166207,0.0166207,0.0166207,0.0166207,0.0166207,0.0166207,0.0166207,0.0166207,0.0166207,0.0166207,0.0166207,0.0166207,0.0166207,0.0166207,0.0166207,0.0166207,0.0166207,0.0166207,0.0166207,0.0106659,0.020779,0.0231711,0.0231711,0.0231711,0.0231711,0.0231711,0.0231711,0.0231711,0.0231711,0.0231711,0.0231711,0.0231711,0.0231711,0.0231711,0.0231711,0.0231711,0.0231711,0.0231711,0.0231711,0.0231711,0.0231711,0.0231711,0.0231711,0.0231711,0.0106659,0.027029,0.0895249,0.102294
210,0.0311236,0.0211783,0.0188462,0.0188462,0.0188462,0.0188462,0.0188462,0.0188462,0.0188462,0.0188462,0.0188462,0.0188462,0.0188462,0.0188462,0.0188462,0.0188462,0.0188462,0.0188462,0.0188462,0.0188462,0.0188462,0.0188462,0.0188462,0.0188462,0.0188462,0.00109799,0.00360141,0.00410114,0.00410114,0.00410114,0.00410114,0.00410114,0.00410114,0.00410114,0.00410114,0.00410114,0.00410114,0.00410114,0.00410114,0.00410114,0.00410114,0.00410114,0.00410114,0.00410114,0.00410114,0.00410114,0.00410114,0.00410114,0.00410114,0.00410114,0.00777842,0.0152203,0.0170527,0.0170527,0.0170527,0.0170527,0.0170527,0.0170527,0.0170527,0.0170527,0.0170527,0.0170527,0.0170527,0.0170527,0.0170527,0.0170527,0.0170527,0.0170527,0.0170527,0.0170527,0.0170527,0.0170527,0.0170527,0.0170527,0.0170527,0.0108099,0.0212186,0.0236586,0.0236586,0.0236586,0.0236586,0.0236586,0.0236586,0.0236586,0.0236586,0.0236586,0.0236586,0.0236586,0.0236586,0.0236586,0.0236586,0.0236586,0.0236586,0.0236586,0.0236586,0.0236586,0.0236586,0.0236586,0.0236586,0.0236586,0.0108099,0.0274496,0.0900352,0.102528
211,0.0310015,0.0207886,0.0184166,0.0184166,0.0184166,0.0184166,0.0184166,0.0184166,0.0184166,0.0184166,0.0184166,0.0184166,0.0184166,0.0184166,0.0184166,0.0184166,0.0184166,0.0184166,0.0184166,0.0184166,0.0184166,0.0184166,0.0184166,0.0184166,0.0184166,0.00111258,0.00361232,0.00409944,0.00409944,0.00409944,0.00409944,0.00409944,0.00409944,0.00409944,0.00409944,0.00409944,0.00409944,0.00409944,0.00409944,0.00409944,0.00409944,0.00409944,0.00409944,0.00409944,0.00409944,0.00409944,0.00409944,0.00409944,0.00409944,0.00409944,0.00788596,0.0155991,0.0174839,0.0174839,0.0174839,0.0174839,0.0174839,0.0174839,0.0174839,0.0174839,0.0174839,0.0174839,0.0174839,0.0174839,0.0174839,0.0174839,0.0174839,0.0174839,0.0174839,0.0174839,0.0174839,0.0174839,0.0174839,0.0174839,0.0174839,0.0109535,0.0216505,0.0241355,0.0241355,0.0241355,0.0241355,0.0241355,0.0241355,0.0241355,0.0241355,0.0241355,0.0241355,0.0241355,0.0241355,0.0241355,0.0241355,0.0241355,0.0241355,0.0241355,0.0241355,0.0241355,0.0241355,0.0241355,0.0241355,0.0241355,0.0109535,0.0278146,0.090308,0.102486
212,0.0308804,0.0204086,0.0179998,0.0179998,0.0179998,0.0179998,0.0179998,0.0179998,0.0179998,0.0179998,0.0179998,0.0179998,0.0179998,0.0179998,0.0179998,0.0179998,0.0179998,0.0179998,0.0179998,0.0179998,0.0179998,0.0179998,0.0179998,0.0179998,0.0179998,0.00112484,0.00361388,0.00408699,0.00408699,0.00408699,0.00408699,0.00408699,0.00408699,0.00408699,0.00408699,0.00408699,0.00408699,0.00408699,0.00408699,0.00408699,0.00408699,0.00408699,0.00408699,0.00408699,0.00408699,0.00408699,0.00408699,0.00408699,0.00408699,0.00408699,0.00799477,0.0159775,0.0179132,0.0179132,0.0179132,0.0179132,0.0179132,0.0179132,0.0179132,0.0179132,0.0179132,0.0179132,0.0179132,0.0179132,0.0179132,0.0179132,0.0179132,0.0179132,0.0179132,0.0179132,0.0179132,0.0179132,0.0179132,0.0179132,0.0179132,0.0110963,0.0220738,0.0246008,0.0246008,0.0246008,0.0246008,0.0246008,0.0246008,0.0246008,0.0246008,0.0246008,0.0246008,0.0246008,0.0246008,0.0246008,0.0246008,0.0246008,0.0246008,0.0246008,0.0246008,0.0246008,0.0246008,0.0246008,0.0246008,0.0246008,0.0110963,0.0281211,0.0903469,0.102175
213,0.0307607,0.0200391,0.0175966,0.0175966,0.0175966,0.0175966,0.0175966,0.0175966,0.0175966,0.0175966,0.0175966,0.0175966,0.0175966,0.0175966,0.0175966,0.0175966,0.0175966,0.0175966,0.0175966,0.0175966,0.0175966,0.0175966,0.0175966,0.0175966,0.0175966,0.00113469,0.00360632,0.00406423,0.00406423,0.00406423,0.00406423,0.00406423,0.00406423,0.00406423,0.00406423,0.00406423,0.00406423,0.00406423,0.00406423,0.00406423,0.00406423,0.00406423,0.00406423,0.00406423,0.00406423,0.00406423,0.00406423,0.00406423,0.00406423,0.00406423,0.00810458,0.0163546,0.0183392,0.0183392,0.0183392,0.0183392,0.0183392,0.0183392,0.0183392,0.0183392,0.0183392,0.0183392,0.0183392,0.0183392,0.0183392,0.0183392,0.0183392,0.0183392,0.0183392,0.0183392,0.0183392,0.0183392,0.0183392,0.0183392,0.0183392,0.011238,0.0224876,0.0250537,0.0250537,0.0250537,0.0250537,0.0250537,0.0250537,0.0250537,0.0250537,0.0250537,0.0250537,0.0250537,0.0250537,0.0250537,0.0250537,0.0250537,0.0250537,0.0250537,0.0250537,0.0250537,0.0250537,0.0250537,0.0250537,0.0250537,0.011238,0.0283672,0.090158,0.101606
214,0.0306429,0.0196808,0.0172075,0.0172075,0.0172075,0.0172075,0.0172075,0.0172075,0.0172075,0.0172075,0.0172075,0.0172075,0.0172075,0.0172075,0.0172075,0.0172075,0.0172075,0.0172075,0.0172075,0.0172075,0.0172075,0.0172075,0.0172075,0.0172075,0.0172075,0.00114206,0.00358998,0.00403166,0.00403166,0.00403166,0.00403166,0.00403166,0.00403166,0.00403166,0.00403166,0.00403166,0.00403166,0.00403166,0.00403166,0.00403166,0.00403166,0.00403166,0.00403166,0.00403166,0.00403166,0.00403166,0.00403166,0.00403166,0.00403166,0.00403166,0.00821508,0.0167292,0.0187609,0.0187609,0.0187609,0.0187609,0.0187609,0.0187609,0.0187609,0.0187609,0.0187609,0.0187609,0.0187609,0.0187609,0.0187609,0.0187609,0.0187609,0.0187609,0.0187609,0.0187609,0.0187609,0.0187609,0.0187609,0.0187609,0.0187609,0.0113782,0.0228912,0.0254936,0.0254936,0.0254936,0.0254936,0.0254936,0.0254936,0.0254936,0.0254936,0.0254936,0.0254936,0.0254936,0.0254936,0.0254936,0.0254936,0.0254936,0.0254936,0.0254936,0.0254936,0.0254936,0.0254936,0.0254936,0.0254936,0.0254936,0.0113782,0.0285515,0.0897496,0.100792
215,0.0305271,0.0193343,0.0168331,0.0168331,0.0168331,0.0168331,0.0168331,0.0168331,0.0168331,0.0168331,0.0168331,0.0168331,0.0168331,0.0168331,0.0168331,0.0168331,0.0168331,0.0168331,0.0168331,0.0168331,0.0168331,0.0168331,0.0168331,0.0168331,0.0168331,0.00114694,0.00356527,0.0039899,0.0039899,0.0039899,0.0039899,0.0039899,0.0039899,0.0039899,0.0039899,0.0039899,0.0039899,0.0039899,0.0039899,0.0039899,0.0039899,0.0039899,0.0039899,0.0039899,0.0039899,0.0039899,0.0039899,0.0039899,0.0039899,0.0039899,0.008326,0.0171004,0.019177,0.019177,0.019177,0.019177,0.019177,0.019177,0.019177,0.019177,0.019177,0.019177,0.019177,0.019177,0.019177,0.019177,0.019177,0.019177,0.019177,0.019177,0.019177,0.019177,0.019177,0.019177,0.019177,0.0115167,0.023284,0.0259199,0.0259199,0.0259199,0.0259199,0.0259199,0.0259199,0.0259199,0.0259199,0.0259199,0.0259199,0.0259199,0.0259199,0.0259199,0.0259199,0.0259199,0.0259199,0.0259199,0.0259199,0.0259199,0.0259199,0.0259199,0.0259199,0.0259199,0.0115167,0.0286736,0.0891316,0.0997475
216,0.0304136,0.0190001,0.0164738,0.0164738,0.0164738,0.0164738,0.0164738,0.0164738,0.0164738,0.0164738,0.0164738,0.0164738,0.0164738,0.0164738,0.0164738,0.0164738,0.0164738,0.0164738,0.0164738,0.0164738,0.0164738,0.0164738,0.0164738,0.0164738,0.0164738,0.00114934,0.00353263,0.00393959,0.00393959,0.00393959,0.00393959,0.00393959,0.00393959,0.00393959,0.00393959,0.00393959,0.00393959,0.00393959,0.00393959,0.00393959,0.00393959,0.00393959,0.00393959,0.00393959,0.00393959,0.00393959,0.00393959,0.00393959,0.00393959,0.00393959,0.00843704,0.0174673,0.0195866,0.0195866,0.0195866,0.0195866,0.0195866,0.0195866,0.0195866,0.0195866,0.0195866,0.0195866,0.0195866,0.0195866,0.0195866,0.0195866,0.0195866,0.0195866,0.0195866,0.0195866,0.0195866,0.0195866,0.0195866,0.0195866,0.0195866,0.0116531,0.0236656,0.0263324,0.0263324,0.0263324,0.0263324,0.0263324,0.0263324,0.0263324,0.0263324,0.0263324,0.0263324,0.0263324,0.0263324,0.0263324,0.0263324,0.0263324,0.0263324,0.0263324,0.0263324,0.0263324,0.0263324,0.0263324,0.0263324,0.0263324,0.0116531,0.0287334,0.0883159,0.0984897
217,0.0303028,0.0186785,0.0161298,0.0161298,0.0161298,0.0161298,0.0161298,0.0161298,0.0161298,0.0161298,0.0161298,0.0161298,0.0161298,0.0161298,0.0161298,0.0161298,0.0161298,0.0161298,0.0161298,0.0161298,0.0161298,0.0161298,0.0161298,0.0161298,0.0161298,0.00114928,0.00349261,0.00388143,0.00388143,0.00388143,0.00388143,0.00388143,0.00388143,0.00388143,0.00388143,0.00388143,0.00388143,0.00388143,0.00388143,0.00388143,0.00388143,0.00388143,0.00388143,0.00388143,0.00388143,0.00388143,0.00388143,0.00388143,0.00388143,0.00388143,0.00854791,0.0178289,0.0199888,0.0199888,0.0199888,0.0199888,0.0199888,0.0199888,0.0199888,0.0199888,0.0199888,0.0199888,0.0199888,0.0199888,0.0199888,0.0199888,0.0199888,0.0199888,0.0199888,0.0199888,0.0199888,0.0199888,0.0199888,0.0199888,0.0199888,0.0117872,0.0240355,0.0267306,0.0267306,0.0267306,0.0267306,0.0267306,0.0267306,0.0267306,0.0267306,0.0267306,0.0267306,0.0267306,0.0267306,0.0267306,0.0267306,0.0267306,0.0267306,0.0267306,0.0267306,0.0267306,0.0267306,0.0267306,0.0267306,0.0267306,0.0117872,0.0287319,0.0873153,0.0970359
218,0.0301949,0.0183698,0.0158011,0.0158011,0.0158011,0.0158011,0.0158011,0.0158011,0.0158011,0.0158011,0.0158011,0.0158011,0.0158011,0.0158011,0.0158011,0.0158011,0.0158011,0.0158011,0.0158011,0.0158011,0.0158011,0.0158011,0.0158011,0.0158011,0.0158011,0.00114681,0.00344575,0.00381617,0.00381617,0.00381617,0.00381617,0.00381617,0.00381617,0.00381617,0.00381617,0.00381617,0.00381617,0.00381617,0.00381617,0.00381617,0.00381617,0.00381617,0.00381617,0.00381617,0.00381617,0.00381617,0.00381617,0.00381617,0.00381617,0.00381617,0.00865833,0.0181845,0.0203827,0.0203827,0.0203827,0.0203827,0.0203827,0.0203827,0.0203827,0.0203827,0.0203827,0.0203827,0.0203827,0.0203827,0.0203827,0.0203827,0.0203827,0.0203827,0.0203827,0.0203827,0.0203827,0.0203827,0.0203827,0.0203827,0.0203827,0.0119187,0.0243936,0.0271145,0.0271145,0.0271145,0.0271145,0.0271145,0.0271145,0.0271145,0.0271145,0.0271145,0.0271145,0.0271145,0.0271145,0.0271145,0.0271145,0.0271145,0.0271145,0.0271145,0.0271145,0.0271145,0.0271145,0.0271145,0.0271145,0.0271145,0.0119187,0.0286703,0.0861439,0.0954041
219,0.03009,0.0180741,0.015488,0.015488,0.015488,0.015488,0.015488,0.015488,0.015488,0.015488,0.015488,0.015488,0.015488,0.015488,0.015488,0.015488,0.015488,0.015488,0.015488,0.015488,0.015488,0.015488,0.015488,0.015488,0.015488,0.00114201,0.00339265,0.00374453,0.00374453,0.00374453,0.00374453,0.00374453,0.00374453,0.00374453,0.00374453,0.00374453,0.00374453,0.00374453,0.00374453,0.00374453,0.00374453,0.00374453,0.00374453,0.00374453,0.00374453,0.00374453,0.00374453,0.00374453,0.00374453,0.00374453,0.00876803,0.0185332,0.0207675,0.0207675,0.0207675,0.0207675,0.0207675,0.0207675,0.0207675,0.0207675,0.0207675,0.0207675,0.0207675,0.0207675,0.0207675,0.0207675,0.0207675,0.0207675,0.0207675,0.0207675,0.0207675,0.0207675,0.0207675,0.0207675,0.0207675,0.0120474,0.0247395,0.0274841,0.0274841,0.0274841,0.0274841,0.0274841,0.0274841,0.0274841,0.0274841,0.0274841,0.0274841,0.0274841,0.0274841,0.0274841,0.0274841,0.0274841,0.0274841,0.0274841,0.0274841,0.0274841,0.0274841,0.0274841,0.0274841,0.0274841,0.0120474,0.0285503,0.0848163,0.0936133
220,0.0299883,0.0177916,0.0151901,0.0151901,0.0151901,0.0151901,0.0151901,0.0151901,0.0151901,0.0151901,0.0151901,0.0151901,0.0151901,0.0151901,0.0151901,0.0151901,0.0151901,0.0151901,0.0151901,0.0151901,0.0151901,0.0151901,0.0151901,0.0151901,0.0151901,0.00113498,0.00333391,0.00366728,0.00366728,0.00366728,0.00366728,0.00366728,0.00366728,0.00366728,0.00366728,0.00366728,0.00366728,0.00366728,0.00366728,0.00366728,0.00366728,0.00366728,0.00366728,0.00366728,0.00366728,0.00366728,0.00366728,0.00366728,0.00366728,0.00366728,0.00887673,0.0188745,0.0211426,0.0211426,0.0211426,0.0211426,0.0211426,0.0211426,0.0211426,0.0211426,0.0211426,0.0211426,0.0211426,0.0211426,0.0211426,0.0211426,0.0211426,0.0211426,0.0211426,0.0211426,0.0211426,0.0211426,0.0211426,0.0211426,0.0211426,0.0121733,0.0250733,0.0278393,0.0278393,0.0278393,0.0278393,0.0278393,0.0278393,0.0278393,0.0278393,0.0278393,0.0278393,0.0278393,0.0278393,0.0278393,0.0278393,0.0278393,0.0278393,0.0278393,0.0278393,0.0278393,0.0278393,0.0278393,0.0278393,0.0278393,0.0121733,0.0283744,0.0833477,0.0916821
221,0.02989,0.0175222,0.0149075,0.0149075,0.0149075,0.0149075,0.0149075,0.0149075,0.0149075,0.0149075,0.0149075,0.0149075,0.0149075,0.0149075,0.0149075,0.0149075,0.0149075,0.0149075,0.0149075,0.0149075,0.0149075,0.0149075,0.0149075,0.0149075,0.0149075,0.00112581,0.00327013,0.00358517,0.00358517,0.00358517,0.00358517,0.00358517,0.00358517,0.00358517,0.00358517,0.00358517,0.00358517,0.00358517,0.00358517,0.00358517,0.00358517,0.00358517,0.00358517,0.00358517,0.00358517,0.00358517,0.00358517,0.00358517,0.00358517,0.00358517,0.00898419,0.0192077,0.0215074,0.0215074,0.0215074,0.0215074,0.0215074,0.0215074,0.0215074,0.0215074,0.0215074,0.0215074,0.0215074,0.0215074,0.0215074,0.0215074,0.0215074,0.0215074,0.0215074,0.0215074,0.0215074,0.0215074,0.0215074,0.0215074,0.0215074,0.012296,0.0253949,0.0281804,0.0281804,0.0281804,0.0281804,0.0281804,0.0281804,0.0281804,0.0281804,0.0281804,0.0281804,0.0281804,0.0281804,0.0281804,0.0281804,0.0281804,0.0281804,0.0281804,0.0281804,0.0281804,0.0281804,0.0281804,0.0281804,0.0281804,0.012296,0.0281452,0.0817533,0.0896293
222,0.0297952,0.0172658,0.0146398,0.0146398,0.0146398,0.0146398,0.0146398,0.0146398,0.0146398,0.0146398,0.0146398,0.0146398,0.0146398,0.0146398,0.0146398,0.0146398,0.0146398,0.0146398,0.0146398,0.0146398,0.0146398,0.0146398,0.0146398,0.0146398,0.0146398,0.00111463,0.00320194,0.00349892,0.00349892,0.00349892,0.00349892,0.00349892,0.00349892,0.00349892,0.00349892,0.00349892,0.00349892,0.00349892,0.00349892,0.00349892,0.00349892,0.00349892,0.00349892,0.00349892,0.00349892,0.00349892,0.00349892,0.00349892,0.00349892,0.00349892,0.00909017,0.0195323,0.0218613,0.0218613,0.0218613,0.0218613,0.0218613,0.0218613,0.0218613,0.0218613,0.0218613,0.0218613,0.0218613,0.0218613,0.0218613,0.0218613,0.0218613,0.0218613,0.0218613,0.0218613,0.0218613,0.0218613,0.0218613,0.0218613,0.0218613,0.0124156,0.0257044,0.0285075,0.0285075,0.0285075,0.0285075,0.0285075,0.0285075,0.0285075,0.0285075,0.0285075,0.0285075,0.0285075,0.0285075,0.0285075,0.0285075,0.0285075,0.0285075,0.0285075,0.0285075,0.0285075,0.0285075,0.0285075,0.0285075,0.0285075,0.0124156,0.0278657,0.0800484,0.0874729
