 Iv,Is,Ig
0.0001,0.0001,0.0001
0.000108468,0.000108468,0.000108468
0.000117653,0.000117653,0.000117653
0.000127615,0.000127615,0.000127615
0.00013842,0.00013842,0.00013842
0.000150138,0.000150138,0.000150138
0.000162848,0.000162848,0.000162848
0.000176633,0.000176633,0.000176633
0.000191583,0.000191583,0.000191583
0.000207797,0.000207797,0.000207797
0.000225382,0.000225382,0.000225382
0.000244453,0.000244453,0.000244453
0.000265134,0.000265134,0.000265134
0.000287563,0.000287563,0.000287563
0.000311885,0.000311885,0.000311885
0.00033826,0.00033826,0.00033826
0.000366861,0.000366861,0.000366861
0.000397875,0.000397875,0.000397875
0.000431504,0.000431504,0.000431503
0.000467967,0.000467967,0.000467967
0.000507502,0.000507502,0.000507502
0.000550367,0.000550367,0.000550367
0.00059684,0.00059684,0.00059684
0.000647222,0.000647222,0.000647222
0.000701839,0.000701839,0.000701839
0.000761045,0.000761045,0.000761045
0.000825221,0.000825221,0.000825221
0.000894781,0.000894781,0.000894781
0.00097017,0.00097017,0.00097017
0.00105187,0.00105187,0.00105187
0.00114041,0.00114041,0.00114041
0.00123634,0.00123634,0.00123634
0.00134028,0.00134028,0.00134028
0.00145289,0.00145289,0.00145289
0.00157486,0.00157486,0.00157486
0.00170698,0.00170698,0.00170698
0.00185006,0.00185006,0.00185006
0.00200498,0.00200498,0.00200498
0.00217272,0.00217272,0.00217272
0.00235429,0.00235429,0.00235429
0.0025508,0.0025508,0.0025508
0.00276345,0.00276345,0.00276345
0.00299351,0.00299351,0.00299351
0.00324235,0.00324235,0.00324235
0.00351144,0.00351144,0.00351144
0.00380235,0.00380235,0.00380235
0.00411677,0.00411677,0.00411677
0.00445649,0.00445649,0.00445649
0.00482342,0.00482342,0.00482342
0.00521961,0.00521961,0.00521961
0.00564722,0.00564722,0.00564722
0.00610855,0.00610855,0.00610855
0.00660605,0.00660605,0.00660605
0.00714227,0.00714227,0.00714227
0.00771993,0.00771993,0.00771993
0.00834189,0.00834189,0.00834189
0.00901112,0.00901112,0.00901112
0.00973075,0.00973075,0.00973075
0.010504,0.010504,0.010504
0.0113342,0.0113342,0.0113342
0.0122249,0.0122249,0.0122249
0.0131796,0.0131796,0.0131796
0.0142019,0.0142019,0.0142019
0.0152954,0.0152954,0.0152954
0.0164638,0.0164638,0.0164638
0.0177107,0.0177107,0.0177107
0.0190396,0.0190396,0.0190396
0.020454,0.020454,0.020454
0.0219571,0.0219571,0.0219571
0.0235519,0.0235519,0.0235519
0.0252411,0.0252411,0.0252411
0.0270269,0.0270269,0.0270269
0.0266629,0.0267088,0.0269104
0.0258845,0.0259786,0.0264073
0.0251302,0.0252659,0.0259068
0.0243991,0.0245706,0.0254091
0.0236903,0.0238925,0.0249147
0.0230031,0.0232314,0.024424
0.0223368,0.0225871,0.0239373
0.0216906,0.0219594,0.0234548
0.021064,0.0213481,0.0229768
0.0204562,0.0207529,0.0225037
0.0198666,0.0201735,0.0220356
0.0192948,0.0196096,0.0215728
0.01874,0.0190609,0.0211154
0.0182018,0.0185271,0.0206638
0.0176796,0.0180079,0.020218
0.017173,0.0175029,0.0197782
0.0166814,0.0170119,0.0193445
0.0162044,0.0165344,0.018917
0.0157415,0.0160703,0.0184959
0.0152923,0.015619,0.0180813
0.0148564,0.0151805,0.0176732
0.0144333,0.0147542,0.0172717
0.0140227,0.01434,0.0168768
0.0136242,0.0139374,0.0164886
0.0132374,0.0135462,0.0161071
0.012862,0.0131661,0.0157324
0.0124975,0.0127968,0.0153644
0.0121438,0.012438,0.0150031
0.0118004,0.0120894,0.0146486
0.0114671,0.0117507,0.0143008
0.0111435,0.0114217,0.0139598
0.0108293,0.011102,0.0136254
0.0105244,0.0107915,0.0132976
0.0102283,0.0104899,0.0129764
0.00994079,0.0101968,0.0126617
0.00966167,0.00991217,0.0123536
0.00939066,0.00963565,0.0120518
