t,Sv0,Ss0,Sg0,Sg1,Sg2,Sg3,Sg4,Sg5,Sg6,Sg7,Sg8,Sg9,Sg10,Sg11,Sg12,Sg13,Sg14,Sg15,Sg16,Sg17,Sg18,Sg19,Sg20,Sg21,Sg22,Sg23,Sg24,Sg25,Sg26,Sg27,Sg28,Sg29,Sg30,Sg31,Sg32,Sg33,Sg34,Sg35,Sg36,Sg37,Sg38,Sg39,Sg40,Sg41,Sg42,Sg43,Sg44,Sg45,Sg46,Sg47,Iv0,Is0,Ig0,Ig1,Ig2,Ig3,Ig4,Ig5,Ig6,Ig7,Ig8,Ig9,Ig10,Ig11,Ig12,Ig13,Ig14,Ig15,Ig16,Ig17,Ig18,Ig19,Ig20,Ig21,Ig22,Ig23,Ig24,Ig25,Ig26,Ig27,Ig28,Ig29,Ig30,Ig31,Ig32,Ig33,Ig34,Ig35,Ig36,Ig37,Ig38,Ig39,Ig40,Ig41,Ig42,Ig43,Ig44,Ig45,Ig46,Ig47,Rv0,Rs0,Rg0,Rg1,Rg2,Rg3,Rg4,Rg5,Rg6,Rg7,Rg8,Rg9,Rg10,Rg11,Rg12,Rg13,Rg14,Rg15,Rg16,Rg17,Rg18,Rg19,Rg20,Rg21,Rg22,Rg23,Rg24,Rg25,Rg26,Rg27,Rg28,Rg29,Rg30,Rg31,Rg32,Rg33,Rg34,Rg35,Rg36,Rg37,Rg38,Rg39,Rg40,Rg41,Rg42,Rg43,Rg44,Rg45,Rg46,Rg47,cumIv0,cumIs0,cumIg0,cumIg1,cumIg2,cumIg3,cumIg4,cumIg5,cumIg6,cumIg7,cumIg8,cumIg9,cumIg10,cumIg11,cumIg12,cumIg13,cumIg14,cumIg15,cumIg16,cumIg17,cumIg18,cumIg19,cumIg20,cumIg21,cumIg22,cumIg23,cumIg24,cumIg25,cumIg26,cumIg27,cumIg28,cumIg29,cumIg30,cumIg31,cumIg32,cumIg33,cumIg34,cumIg35,cumIg36,cumIg37,cumIg38,cumIg39,cumIg40,cumIg41,cumIg42,cumIg43,cumIg44,cumIg45,cumIg46,cumIg47,cumIv, Iv,Is,Ig
0,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,0.019998,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,2.00E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
1,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,0.0199976,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.17E-06,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,2.43E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,4.13E-07,0.000108509,0.000108509,0.000108509
2,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,0.0199971,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,2.35E-06,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,5.06E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,8.62E-07,0.000117741,0.000117741,0.000117741
3,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,0.0199967,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,7.90E-07,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,0.000127759,0.000127759,0.000127759
4,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,0.0199961,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,2.77E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.10E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,1.88E-06,0.000138628,0.000138628,0.000138628
5,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,0.0199956,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,3.01E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,1.43E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,2.45E-06,0.00015042,0.00015042,0.00015042
6,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,0.0199949,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,1.79E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,3.07E-06,0.000163215,0.000163215,0.000163215
7,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,0.0199943,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,3.54E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,2.18E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,3.75E-06,0.000177098,0.000177098,0.000177098
8,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,0.0199935,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,2.61E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,4.48E-06,0.000192159,0.000192159,0.000192159
