t,Sv0,Ss0,Sg0,Sg1,Sg2,Iv0,Is0,Ig0,Ig1,Ig2,Rv0,Rs0,Rg0,Rg1,Rg2,cumIv0,cumIs0,cumIg0,cumIg1,cumIg2,cumIv, Iv,Is,Ig
68,0.188874,0.188874,0.188874,0.188874,0.188874,0.00449277,0.00449277,0.00449277,0.00449277,0.00449277,0.00663278,0.00663278,0.00663278,0.00663278,0.00663278,0.0113313,0.0113313,0.0113313,0.0113313,0.0113313,0.0113313,0.0224638,0.0224638,0.0224638
69,0.188023,0.188023,0.188023,0.188023,0.188023,0.00481964,0.00481964,0.00481964,0.00481964,0.00481964,0.00715705,0.00715705,0.00715705,0.00715705,0.00715705,0.0122013,0.0122013,0.0122013,0.0122013,0.0122013,0.0122013,0.0240982,0.0240982,0.0240982
70,0.187115,0.187115,0.187115,0.187115,0.187115,0.0051658,0.0051658,0.0051658,0.0051658,0.0051658,0.0077191,0.0077191,0.0077191,0.0077191,0.0077191,0.0131299,0.0131299,0.0131299,0.0131299,0.0131299,0.0131299,0.025829,0.025829,0.025829
71,0.186147,0.186147,0.186147,0.186147,0.186147,0.00553166,0.00553166,0.00553166,0.00553166,0.00553166,0.0083211,0.0083211,0.0083211,0.0083211,0.0083211,0.0141197,0.0141197,0.0141197,0.0141197,0.0141197,0.0141197,0.0276583,0.0276583,0.0276583
72,0.185599,0.185569,0.185559,0.185559,0.185559,0.00545689,0.00548561,0.00549517,0.00549517,0.00549517,0.00894377,0.00894514,0.0089456,0.0089456,0.0089456,0.0146913,0.0147213,0.0147314,0.0147314,0.0147314,0.0146913,0.0272844,0.027428,0.0274759
73,0.185156,0.18509,0.185069,0.185069,0.185069,0.0052985,0.00535723,0.00537676,0.00537676,0.00537676,0.00954591,0.00955241,0.00955458,0.00955458,0.00955458,0.0151603,0.0152256,0.0152473,0.0152473,0.0152473,0.0151603,0.0264925,0.0267861,0.0268838
74,0.184726,0.184626,0.184593,0.184593,0.184593,0.00514614,0.00523067,0.00525876,0.00525876,0.00525876,0.0101283,0.0101432,0.0101481,0.0101481,0.0101481,0.0156173,0.0157168,0.0157498,0.0157498,0.0157498,0.0156173,0.0257307,0.0261534,0.0262938
75,0.184309,0.184176,0.184132,0.184132,0.184132,0.00499935,0.00510599,0.00514138,0.00514138,0.00514138,0.0106917,0.0107177,0.0107263,0.0107263,0.0107263,0.0160624,0.0161952,0.0162392,0.0162392,0.0162392,0.0160624,0.0249968,0.0255299,0.0257069
76,0.183906,0.183741,0.183686,0.183686,0.183686,0.00485776,0.00498321,0.0050248,0.0050248,0.0050248,0.0112367,0.0112762,0.0112893,0.0112893,0.0112893,0.0164959,0.016661,0.0167158,0.0167158,0.0167158,0.0164959,0.0242888,0.0249161,0.025124
77,0.183515,0.183319,0.183254,0.183254,0.183254,0.00472103,0.00486238,0.00490919,0.00490919,0.00490919,0.011764,0.011819,0.0118372,0.0118372,0.0118372,0.016918,0.0171146,0.0171798,0.0171798,0.0171798,0.016918,0.0236051,0.0243119,0.024546
78,0.183137,0.18291,0.182835,0.182835,0.182835,0.00458884,0.00474352,0.0047947,0.0047947,0.0047947,0.0122742,0.0123463,0.0123702,0.0123702,0.0123702,0.017329,0.0175562,0.0176315,0.0176315,0.0176315,0.017329,0.0229442,0.0237176,0.0239735
79,0.182771,0.182515,0.18243,0.18243,0.18243,0.00446092,0.00462666,0.00468145,0.00468145,0.00468145,0.0127679,0.0128585,0.0128885,0.0128885,0.0128885,0.017729,0.017986,0.0180711,0.0180711,0.0180711,0.017729,0.0223046,0.0231333,0.0234072
80,0.182417,0.182132,0.182038,0.182038,0.182038,0.00433702,0.00451183,0.00456955,0.00456955,0.00456955,0.0132455,0.0133557,0.0133922,0.0133922,0.0133922,0.0181184,0.0184044,0.0184989,0.0184989,0.0184989,0.0181184,0.0216851,0.0225591,0.0228478
81,0.182075,0.181763,0.181659,0.181659,0.181659,0.00421694,0.00439903,0.00445911,0.00445911,0.00445911,0.0137077,0.0138384,0.0138816,0.0138816,0.0138816,0.0184974,0.0188115,0.0189153,0.0189153,0.0189153,0.0184974,0.0210847,0.0219952,0.0222955
82,0.181745,0.181405,0.181293,0.181293,0.181293,0.00410046,0.00428829,0.00435021,0.00435021,0.00435021,0.0141547,0.0143067,0.0143569,0.0143569,0.0143569,0.0188661,0.0192076,0.0193203,0.0193203,0.0193203,0.0188661,0.0205023,0.0214414,0.021751
83,0.181425,0.18106,0.180939,0.180939,0.180939,0.0039874,0.00417961,0.00424292,0.00424292,0.00424292,0.0145872,0.0147609,0.0148183,0.0148183,0.0148183,0.019225,0.019593,0.0197144,0.0197144,0.0197144,0.019225,0.019937,0.0208981,0.0212146
84,0.181117,0.180726,0.180597,0.180597,0.180597,0.00387762,0.00407301,0.00413731,0.00413731,0.00413731,0.0150056,0.0152013,0.015266,0.015266,0.015266,0.019574,0.0199678,0.0200977,0.0200977,0.0200977,0.019574,0.0193881,0.020365,0.0206866
85,0.180819,0.180403,0.180266,0.180266,0.180266,0.00377096,0.00396848,0.00403344,0.00403344,0.00403344,0.0154101,0.0156282,0.0157003,0.0157003,0.0157003,0.0199136,0.0203325,0.0204706,0.0204706,0.0204706,0.0199136,0.0188548,0.0198424,0.0201672
86,0.180531,0.180092,0.179947,0.179947,0.179947,0.00366729,0.00386603,0.00393134,0.00393134,0.00393134,0.0158013,0.0160419,0.0161214,0.0161214,0.0161214,0.0202439,0.0206871,0.0208332,0.0208332,0.0208332,0.0202439,0.0183365,0.0193301,0.0196567
87,0.180254,0.179792,0.179639,0.179639,0.179639,0.00356649,0.00376565,0.00383105,0.00383105,0.00383105,0.0161795,0.0164427,0.0165296,0.0165296,0.0165296,0.0205651,0.021032,0.0211858,0.0211858,0.0211858,0.0205651,0.0178325,0.0188283,0.0191553
88,0.179986,0.179502,0.179342,0.179342,0.179342,0.00346846,0.00366735,0.00373261,0.00373261,0.00373261,0.0165451,0.0168308,0.016925,0.016925,0.016925,0.0208775,0.0213673,0.0215286,0.0215286,0.0215286,0.0208775,0.0173423,0.0183367,0.0186631
89,0.179728,0.179222,0.179056,0.179056,0.179056,0.00337308,0.0035711,0.00363604,0.00363604,0.00363604,0.0168985,0.0172065,0.017308,0.017308,0.017308,0.0211813,0.0216934,0.0218619,0.0218619,0.0218619,0.0211813,0.0168654,0.0178555,0.0181802
90,0.17948,0.178953,0.17878,0.17878,0.17878,0.00328027,0.00347691,0.00354135,0.00354135,0.00354135,0.0172399,0.01757,0.0176789,0.0176789,0.0176789,0.0214767,0.0220104,0.022186,0.022186,0.022186,0.0214767,0.0164013,0.0173845,0.0177068
91,0.17924,0.178694,0.178514,0.178514,0.178514,0.00318994,0.00338475,0.00344856,0.00344856,0.00344856,0.0175697,0.0179217,0.0180377,0.0180377,0.0180377,0.0217638,0.0223186,0.022501,0.022501,0.022501,0.0217638,0.0159497,0.0169238,0.0172428
92,0.17901,0.178444,0.178257,0.178257,0.178257,0.00310201,0.00329462,0.00335767,0.00335767,0.00335767,0.0178882,0.0182619,0.0183849,0.0183849,0.0183849,0.022043,0.0226182,0.0228072,0.0228072,0.0228072,0.022043,0.0155101,0.0164731,0.0167884
93,0.178788,0.178203,0.178011,0.178011,0.178011,0.00301641,0.0032065,0.00326869,0.00326869,0.00326869,0.0181957,0.0185907,0.0187207,0.0187207,0.0187207,0.0223143,0.0229093,0.0231049,0.0231049,0.0231049,0.0223143,0.0150821,0.0160325,0.0163434
94,0.178574,0.177971,0.177773,0.177773,0.177773,0.00293307,0.00312037,0.00318161,0.00318161,0.00318161,0.0184926,0.0189084,0.0190453,0.0190453,0.0190453,0.0225781,0.0231923,0.0233941,0.0233941,0.0233941,0.0225781,0.0146653,0.0156018,0.0159081
95,0.178369,0.177748,0.177545,0.177545,0.177545,0.00285192,0.0030362,0.00309643,0.00309643,0.00309643,0.018779,0.0192154,0.019359,0.019359,0.019359,0.0228345,0.0234674,0.0236752,0.0236752,0.0236752,0.0228345,0.0142596,0.015181,0.0154821
96,0.178172,0.177534,0.177325,0.177325,0.177325,0.00277291,0.00295399,0.00301314,0.00301314,0.00301314,0.0190553,0.0195118,0.019662,0.019662,0.019662,0.0230836,0.0237346,0.0239484,0.0239484,0.0239484,0.0230836,0.0138645,0.0147699,0.0150657
97,0.177982,0.177328,0.177114,0.177114,0.177114,0.00269597,0.00287369,0.00293172,0.00293172,0.00293172,0.0193218,0.019798,0.0199545,0.0199545,0.0199545,0.0233257,0.0239943,0.0242138,0.0242138,0.0242138,0.0233257,0.0134798,0.0143685,0.0146586
98,0.1778,0.177131,0.176911,0.176911,0.176911,0.00262105,0.0027953,0.00285217,0.00285217,0.00285217,0.0195787,0.0200741,0.0202369,0.0202369,0.0202369,0.023561,0.0242467,0.0244717,0.0244717,0.0244717,0.023561,0.0131052,0.0139765,0.0142609
99,0.177626,0.176941,0.176716,0.176716,0.176716,0.00254809,0.00271878,0.00277447,0.00277447,0.00277447,0.0198263,0.0203404,0.0205094,0.0205094,0.0205094,0.0237896,0.0244919,0.0247222,0.0247222,0.0247222,0.0237896,0.0127405,0.0135939,0.0138723
100,0.177458,0.176759,0.176529,0.176529,0.176529,0.00247705,0.00264411,0.00269859,0.00269859,0.00269859,0.0200649,0.0205972,0.0207721,0.0207721,0.0207721,0.0240118,0.0247301,0.0249657,0.0249657,0.0249657,0.0240118,0.0123853,0.0132206,0.0134929
101,0.177298,0.176584,0.17635,0.17635,0.17635,0.00240788,0.00257126,0.00262452,0.00262452,0.00262452,0.0202946,0.0208447,0.0210254,0.0210254,0.0210254,0.0242276,0.0249615,0.0252022,0.0252022,0.0252022,0.0242276,0.0120394,0.0128563,0.0131226
102,0.177144,0.176417,0.176178,0.176178,0.176178,0.00234054,0.00250021,0.00255224,0.00255224,0.00255224,0.0205157,0.0210832,0.0212695,0.0212695,0.0212695,0.0244373,0.0251863,0.0254319,0.0254319,0.0254319,0.0244373,0.0117027,0.012501,0.0127612
103,0.176997,0.176256,0.176014,0.176014,0.176014,0.00227497,0.00243092,0.00248171,0.00248171,0.00248171,0.0207285,0.0213128,0.0215046,0.0215046,0.0215046,0.024641,0.0254047,0.0256551,0.0256551,0.0256551,0.024641,0.0113748,0.0121546,0.0124086
104,0.176856,0.176103,0.175856,0.175856,0.175856,0.00221113,0.00236336,0.00241292,0.00241292,0.00241292,0.0209331,0.0215338,0.021731,0.021731,0.021731,0.0248389,0.0256169,0.0258719,0.0258719,0.0258719,0.0248389,0.0110557,0.0118168,0.0120646
