t,Sv0,Ss0,Sg0,Sg1,Sg2,Iv0,Is0,Ig0,Ig1,Ig2,Rv0,Rs0,Rg0,Rg1,Rg2,cumIv0,cumIs0,cumIg0,cumIg1,cumIg2,cumIv, Iv,Is,Ig
0,0.19998,0.19998,0.19998,0.19998,0.19998,2.00E-05,2.00E-05,2.00E-05,2.00E-05,2.00E-05,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
1,0.199976,0.199976,0.199976,0.199976,0.199976,2.17E-05,2.17E-05,2.17E-05,2.17E-05,2.17E-05,2.43E-06,2.43E-06,2.43E-06,2.43E-06,2.43E-06,4.13E-06,4.13E-06,4.13E-06,4.13E-06,4.13E-06,4.13E-06,0.000108509,0.000108509,0.000108509
2,0.199971,0.199971,0.199971,0.199971,0.199971,2.35E-05,2.35E-05,2.35E-05,2.35E-05,2.35E-05,5.06E-06,5.06E-06,5.06E-06,5.06E-06,5.06E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,8.62E-06,0.000117741,0.000117741,0.000117741
3,0.199967,0.199967,0.199967,0.199967,0.199967,2.56E-05,2.56E-05,2.56E-05,2.56E-05,2.56E-05,7.90E-06,7.90E-06,7.90E-06,7.90E-06,7.90E-06,1.35E-05,1.35E-05,1.35E-05,1.35E-05,1.35E-05,1.35E-05,0.000127759,0.000127759,0.000127759
4,0.199961,0.199961,0.199961,0.199961,0.199961,2.77E-05,2.77E-05,2.77E-05,2.77E-05,2.77E-05,1.10E-05,1.10E-05,1.10E-05,1.10E-05,1.10E-05,1.88E-05,1.88E-05,1.88E-05,1.88E-05,1.88E-05,1.88E-05,0.000138628,0.000138628,0.000138628
5,0.199956,0.199956,0.199956,0.199956,0.199956,3.01E-05,3.01E-05,3.01E-05,3.01E-05,3.01E-05,1.43E-05,1.43E-05,1.43E-05,1.43E-05,1.43E-05,2.45E-05,2.45E-05,2.45E-05,2.45E-05,2.45E-05,2.45E-05,0.00015042,0.00015042,0.00015042
6,0.199949,0.199949,0.199949,0.199949,0.199949,3.26E-05,3.26E-05,3.26E-05,3.26E-05,3.26E-05,1.79E-05,1.79E-05,1.79E-05,1.79E-05,1.79E-05,3.07E-05,3.07E-05,3.07E-05,3.07E-05,3.07E-05,3.07E-05,0.000163215,0.000163215,0.000163215
7,0.199943,0.199943,0.199943,0.199943,0.199943,3.54E-05,3.54E-05,3.54E-05,3.54E-05,3.54E-05,2.18E-05,2.18E-05,2.18E-05,2.18E-05,2.18E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05,3.75E-05,0.000177098,0.000177098,0.000177098
8,0.199935,0.199935,0.199935,0.199935,0.199935,3.84E-05,3.84E-05,3.84E-05,3.84E-05,3.84E-05,2.61E-05,2.61E-05,2.61E-05,2.61E-05,2.61E-05,4.48E-05,4.48E-05,4.48E-05,4.48E-05,4.48E-05,4.48E-05,0.000192159,0.000192159,0.000192159
9,0.199928,0.199928,0.199928,0.199928,0.199928,4.17E-05,4.17E-05,4.17E-05,4.17E-05,4.17E-05,3.07E-05,3.07E-05,3.07E-05,3.07E-05,3.07E-05,5.27E-05,5.27E-05,5.27E-05,5.27E-05,5.27E-05,5.27E-05,0.000208501,0.000208501,0.000208501
10,0.199919,0.199919,0.199919,0.199919,0.199919,4.52E-05,4.52E-05,4.52E-05,4.52E-05,4.52E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,3.57E-05,6.13E-05,6.13E-05,6.13E-05,6.13E-05,6.13E-05,6.13E-05,0.000226229,0.000226229,0.000226229
11,0.19991,0.19991,0.19991,0.19991,0.19991,4.91E-05,4.91E-05,4.91E-05,4.91E-05,4.91E-05,4.11E-05,4.11E-05,4.11E-05,4.11E-05,4.11E-05,7.07E-05,7.07E-05,7.07E-05,7.07E-05,7.07E-05,7.07E-05,0.000245464,0.000245464,0.000245464
12,0.1999,0.1999,0.1999,0.1999,0.1999,5.33E-05,5.33E-05,5.33E-05,5.33E-05,5.33E-05,4.69E-05,4.69E-05,4.69E-05,4.69E-05,4.69E-05,8.08E-05,8.08E-05,8.08E-05,8.08E-05,8.08E-05,8.08E-05,0.000266331,0.000266331,0.000266331
13,0.199889,0.199889,0.199889,0.199889,0.199889,5.78E-05,5.78E-05,5.78E-05,5.78E-05,5.78E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,5.32E-05,9.18E-05,9.18E-05,9.18E-05,9.18E-05,9.18E-05,9.18E-05,0.000288969,0.000288969,0.000288969
14,0.199877,0.199877,0.199877,0.199877,0.199877,6.27E-05,6.27E-05,6.27E-05,6.27E-05,6.27E-05,6.01E-05,6.01E-05,6.01E-05,6.01E-05,6.01E-05,0.000103766,0.000103766,0.000103766,0.000103766,0.000103766,0.000103766,0.000313527,0.000313527,0.000313527
15,0.199864,0.199864,0.199864,0.199864,0.199864,6.80E-05,6.80E-05,6.80E-05,6.80E-05,6.80E-05,6.76E-05,6.76E-05,6.76E-05,6.76E-05,6.76E-05,0.000116718,0.000116718,0.000116718,0.000116718,0.000116718,0.000116718,0.000340169,0.000340169,0.000340169
16,0.199851,0.199851,0.199851,0.199851,0.199851,7.38E-05,7.38E-05,7.38E-05,7.38E-05,7.38E-05,7.56E-05,7.56E-05,7.56E-05,7.56E-05,7.56E-05,0.00013077,0.00013077,0.00013077,0.00013077,0.00013077,0.00013077,0.000369069,0.000369069,0.000369069
17,0.199836,0.199836,0.199836,0.199836,0.199836,8.01E-05,8.01E-05,8.01E-05,8.01E-05,8.01E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,0.000146014,0.000146014,0.000146014,0.000146014,0.000146014,0.000146014,0.00040042,0.00040042,0.00040042
18,0.199819,0.199819,0.199819,0.199819,0.199819,8.69E-05,8.69E-05,8.69E-05,8.69E-05,8.69E-05,9.39E-05,9.39E-05,9.39E-05,9.39E-05,9.39E-05,0.000162552,0.000162552,0.000162552,0.000162552,0.000162552,0.000162552,0.000434426,0.000434426,0.000434426
19,0.199802,0.199802,0.199802,0.199802,0.199802,9.43E-05,9.43E-05,9.43E-05,9.43E-05,9.43E-05,0.000104184,0.000104184,0.000104184,0.000104184,0.000104184,0.000180493,0.000180493,0.000180493,0.000180493,0.000180493,0.000180493,0.000471313,0.000471313,0.000471313
20,0.199782,0.199782,0.199782,0.199782,0.199782,0.000102264,0.000102264,0.000102264,0.000102264,0.000102264,0.000115343,0.000115343,0.000115343,0.000115343,0.000115343,0.000199955,0.000199955,0.000199955,0.000199955,0.000199955,0.000199955,0.000511322,0.000511322,0.000511322
